eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
-5,5,case_weighted,185,4,0.8607138484822711,0.9559532741468569,1.5345558614748727,60.01187644558919,58.08957336357885,18.326385629271204,12.011899865987587,0.6706089977327866,12.011899865987587,26.55135135135135,60.01187644558919,58.08957336357885,18.326385629271204,12.011899865987587,0.5299145299145299,0.014705882352941176,0.2723102061337355
-5,10,case_weighted,185,4,0.8909511464030346,0.9753671612195806,1.148629552015541,28.192548432836837,28.72971872819594,14.970059120669385,10.272286163968122,0.5454725235627295,10.272286163968122,24.45945945945946,28.192548432836837,28.72971872819594,14.970059120669385,10.272286163968122,0.5982905982905983,0.3088235294117647,0.4535570638511815
-5,15,case_weighted,185,4,0.8992818689205131,0.9783213038482861,0.9686110022074983,8.918489604987245,13.846184319953473,12.268211091938577,9.116804235254413,0.47073912459596595,9.116804235254413,25.356756756756756,8.918489604987245,13.846184319953473,12.268211091938577,9.116804235254413,0.6153846153846154,0.8235294117647058,0.7194570135746606
-5,20,case_weighted,185,4,0.899236023714744,0.9757429004582647,1.0105002825962783,9.024242930259932,14.024331929849769,13.128801121264159,9.281604269379672,0.4403355756528832,9.281604269379672,24.762162162162163,9.024242930259932,14.024331929849769,15.016837965153163,11.202523137643752,0.5641025641025641,0.9558823529411765,0.7599924585218703
0,-10,case_weighted,185,4,0.7783043144828282,0.894470385908305,1.8332182670989419,74.52845804144683,78.41365332047066,21.48104553182264,20.206095706300385,0.6864434597864258,20.30527989601967,29.513513513513512,74.52845804144683,78.41365332047066,21.48104553182264,20.206095706300385,0.2905982905982906,0.0,0.1452991452991453
0,-5,case_weighted,185,4,0.8183220964976184,0.9252821166470224,1.7496164851272193,71.72783853659692,75.59745413164198,21.18643013246768,18.77033183034027,0.7223687040995023,18.87597867384904,29.102702702702704,71.72783853659692,75.59745413164198,21.18643013246768,18.77033183034027,0.3076923076923077,0.0,0.15384615384615385
0,0,case_weighted,185,4,0.8514563168327238,0.9513510308636078,1.6268433008614305,66.60719406366913,69.73093524264068,20.01541201499226,16.9043689581714,0.736355570126844,16.90135389110781,27.486486486486488,66.60719406366913,69.73093524264068,20.01541201499226,16.9043689581714,0.36752136752136755,0.0,0.18376068376068377
0,5,case_weighted,185,4,0.8728778764098156,0.9683380995944546,1.434103600370512,57.38221821805414,58.12062088304519,17.84445967823776,12.46007298744509,0.6772718640463542,12.374602897286552,26.978378378378377,57.38221821805414,58.12062088304519,17.84445967823776,12.46007298744509,0.5470085470085471,0.029411764705882353,0.2882101558572147
0,10,case_weighted,185,4,0.897184580219762,0.9765537952632989,1.0761134956043659,24.14336940713992,25.06530276312251,14.43354952541987,9.447185543233692,0.5786313709365636,9.309958933678812,26.675675675675677,24.14336940713992,25.06530276312251,14.43354952541987,9.447185543233692,0.6324786324786325,0.3088235294117647,0.4706510809451986
0,15,case_weighted,185,4,0.8918724305476727,0.9827271958070776,0.9497525239040345,8.203753820076363,14.353958722985082,12.656462213286183,10.266280857276804,0.4566750622244603,10.266280857276804,24.443243243243245,8.203753820076363,14.353958722985082,14.548536141858758,12.178783686328092,0.5641025641025641,0.8382352941176471,0.7011689291101055
0,20,case_weighted,185,4,0.9013824586700019,0.9814577630564587,0.9724457453852818,7.827633205046887,12.91433242444057,12.749735023095214,9.349063963220914,0.4552901283311534,9.349063963220914,25.205405405405404,7.827633205046887,12.91433242444057,12.749735023095214,9.349063963220914,0.5726495726495726,0.9558823529411765,0.7642659627953745
5,-10,case_weighted,185,4,0.8121582965936608,0.9223074304422075,1.7486209607480603,73.81331550941687,78.133557530126,21.22939783792533,18.68363577928303,0.6176121787092906,18.573194099243864,30.90810810810811,73.81331550941687,78.133557530126,21.22939783792533,18.68363577928303,0.3333333333333333,0.0,0.16666666666666666
5,-5,case_weighted,185,4,0.8407822772342795,0.9421568850777946,1.64980831100027,69.29905132634062,71.50869655438188,19.997134841735605,16.653653508430416,0.6618032269261797,16.436788607216627,29.308108108108108,69.29905132634062,71.50869655438188,19.997134841735605,16.653653508430416,0.42735042735042733,0.0,0.21367521367521367
