eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
0,-5,deep_only,case_weighted_within_scenario,15,1,0.8006666666666665,0.9996361377351792,1.4946953258202804,nan,nan,14.767278657384994,8.714045360670399,0.9427115705703094,8.714045360670399,30.066666666666666,nan,nan,14.767278657384994,8.714045360670399,0.6666666666666666,nan,nan
0,-5,deep_plus_surface,case_weighted_within_scenario,68,1,0.7752566002030646,0.9315132129310139,1.7740308471974964,77.32247040432091,81.7841465640697,21.75763207533642,17.802747398111297,0.7329035075516898,18.253408461555697,29.191176470588236,77.32247040432091,81.7841465640697,21.75763207533642,17.802747398111297,0.27941176470588236,nan,nan
0,-5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.7554751293020576,0.8515724650409972,1.8063455003097402,50.60896525035716,54.2115560665602,22.876004838678462,25.142097666711408,0.7348353357021918,24.604324971896894,29.08823529411765,50.60896525035716,54.2115560665602,22.876004838678462,25.142097666711408,0.20588235294117646,nan,nan
0,-5,surface_only,case_weighted_within_scenario,68,1,0.8967056564997213,0.9395042238671855,1.753070224136331,76.6926433119928,80.1037107317552,nan,nan,0.6569955407715274,nan,28.808823529411764,76.6926433119928,80.1037107317552,nan,nan,nan,0.0,nan
0,0,deep_only,case_weighted_within_scenario,15,1,0.8119999999999999,0.9995740149094784,1.4135956674708037,nan,nan,13.031294529675735,8.714045360670399,0.9751222366316852,8.714045360670399,25.0,nan,nan,13.031294529675735,8.714045360670399,0.6666666666666666,nan,nan
0,0,deep_plus_surface,case_weighted_within_scenario,68,1,0.792996390322965,0.9505937556135038,1.6581583695156494,71.9124887364896,76.25809400939285,20.894449780841835,17.548253141386866,0.7539364330785835,17.543065452468632,27.33823529411765,71.9124887364896,76.25809400939285,20.894449780841835,17.548253141386866,0.3382352941176471,nan,nan
0,0,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8136993287305293,0.9217163722496671,1.6690605366646682,48.048874170858966,51.267777106417576,21.338564785638646,19.229978649461504,0.7205570566331271,19.229978649461504,27.794117647058822,48.048874170858966,51.267777106417576,21.338564785638646,19.229978649461504,0.29411764705882354,nan,nan
0,0,surface_only,case_weighted_within_scenario,68,1,0.9374983366949158,0.9562882124693871,1.621459533435878,70.5810593372537,72.43535554400006,nan,nan,0.6740048463106012,nan,28.029411764705884,70.5810593372537,72.43535554400006,nan,nan,nan,0.0,nan
0,5,deep_only,case_weighted_within_scenario,15,1,0.8306666666666664,0.9996538871139511,1.2655694585731136,nan,nan,10.421052491592063,7.771236280387092,0.9590937938226692,7.104569601127137,18.4,nan,nan,10.421052491592063,7.771236280387092,0.7333333333333333,nan,nan
0,5,deep_plus_surface,case_weighted_within_scenario,68,1,0.818376621724309,0.9694818731826589,1.450840374279594,59.57860333225513,55.75326172791211,19.1066595965819,13.168546722527214,0.7201425496439927,13.168546722527214,29.985294117647058,59.57860333225513,55.75326172791211,19.1066595965819,13.168546722527214,0.5441176470588235,nan,nan
0,5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8555376941510167,0.9523277947583767,1.500670217838938,48.01465597832266,46.726635566404646,18.595092423893178,13.111729946865253,0.741725967366817,13.111729936287336,25.323529411764707,48.01465597832266,46.726635566404646,18.595092423893178,13.111729946865253,0.47058823529411764,nan,nan
0,5,surface_only,case_weighted_within_scenario,68,1,0.945360518491593,0.9682915841185182,1.421260166653114,59.86961422371892,66.18497269649856,nan,nan,0.5400075246319443,nan,26.691176470588236,59.86961422371892,66.18497269649856,nan,nan,nan,0.029411764705882353,nan
0,10,deep_only,case_weighted_within_scenario,15,1,0.8473333333333332,0.9997337593184239,1.1269162338631378,nan,nan,10.269511655360548,7.771236280387092,0.9822712926501848,7.771236280387092,15.466666666666667,nan,nan,10.269511655360548,7.771236280387092,0.7333333333333333,nan,nan
0,10,deep_plus_surface,case_weighted_within_scenario,68,1,0.84806473716319,0.9731446589477173,1.1196970209008024,28.647119256877005,29.6836404658216,14.520517493690857,9.606183001497639,0.7118007250991658,9.370072511528216,23.985294117647058,28.647119256877005,29.6836404658216,14.520517493690857,9.606183001497639,0.6176470588235294,nan,nan
0,10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.876455822655738,0.9645921415683482,1.1570409829483221,22.229819084649062,25.855147313446313,16.096689119786426,9.868580007373415,0.6673779926853186,9.868580007373415,28.205882352941178,22.229819084649062,25.855147313446313,16.096689119786426,9.868580007373415,0.6176470588235294,nan,nan
0,10,surface_only,case_weighted_within_scenario,68,1,0.9676654006362351,0.9808305310612551,0.9808597402553398,20.596394718648266,20.052042785261506,nan,nan,0.3120504878745203,nan,31.073529411764707,20.596394718648266,20.052042785261506,nan,nan,nan,0.3088235294117647,nan
0,15,deep_only,case_weighted_within_scenario,15,1,0.842,0.999724884629038,1.0690268918694812,nan,nan,11.1284443423312,7.983127787433671,0.9988626852396095,7.983127787433671,13.4,nan,nan,11.1284443423312,7.983127787433671,0.7333333333333333,nan,nan
0,15,deep_plus_surface,case_weighted_within_scenario,68,1,0.8486025333288567,0.982872981448634,0.9915517039857065,10.760050234840039,14.077990904231184,11.938151097027772,9.955723545904872,0.68049138192336,9.955723545904872,21.558823529411764,10.760050234840039,14.077990904231184,15.20419463760497,13.250920432822113,0.6176470588235294,nan,nan
0,15,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8549266879501997,0.9685046199029799,0.9985560644256881,6.423888846075206,19.153835059967882,14.746083179569663,11.885534854617006,0.5854406040277229,11.885534854617006,27.58823529411765,6.423888846075206,19.153835059967882,14.746083179569663,11.885534854617006,0.38235294117647056,nan,nan
0,15,surface_only,case_weighted_within_scenario,68,1,0.964616470509565,0.9859432079362556,0.8572410512162167,6.53738989231327,12.229988373247583,nan,nan,0.0488757606647051,nan,28.191176470588236,6.53738989231327,12.229988373247583,nan,nan,nan,0.8382352941176471,nan
0,20,deep_only,case_weighted_within_scenario,15,1,0.8353333333333332,0.9996982605608804,1.108581663499103,nan,nan,11.378510370308504,7.983127787433671,1.0,7.983127787433671,14.266666666666667,nan,nan,11.378510370308504,7.983127787433671,0.7333333333333333,nan,nan
0,20,deep_plus_surface,case_weighted_within_scenario,68,1,0.8684310012270436,0.9804874839198386,0.9864706468544429,9.182698345266232,12.632419561840361,11.816431903345617,9.109704141809118,0.687170796106725,9.109704141809118,23.029411764705884,9.182698345266232,12.632419561840361,11.816431903345617,9.109704141809118,0.5882352941176471,nan,nan
0,20,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8723705660857118,0.96797504848625,1.0308473561624225,8.719501606601037,18.636162915695053,15.221293315294444,10.430402507127113,0.6021495726984004,10.430402507127113,27.823529411764707,8.719501606601037,18.636162915695053,15.221293315294444,10.430402507127113,0.47058823529411764,nan,nan
0,20,surface_only,case_weighted_within_scenario,68,1,0.9634095224058409,0.9851457603227954,0.8991900565906785,6.026633864050463,10.335330041413538,nan,nan,0.029823149033241896,nan,28.485294117647058,6.026633864050463,10.335330041413538,nan,nan,nan,0.9558823529411765,nan
5,-10,deep_only,case_weighted_within_scenario,15,1,0.7706666666666666,0.9995030173943913,1.5245527932031337,nan,nan,15.324792174895249,10.209139207522094,0.9135999316409927,10.209139207522094,30.4,nan,nan,15.324792174895249,10.209139207522094,0.5333333333333333,nan,nan
5,-10,deep_plus_surface,case_weighted_within_scenario,68,1,0.76499536785845,0.9192286007611539,1.7806774416689297,80.34024408965973,84.17611128466802,21.885365774358657,19.451978048838317,0.5931272364911907,19.451978048838317,30.38235294117647,80.34024408965973,84.17611128466802,21.885365774358657,19.451978048838317,0.3235294117647059,nan,nan
5,-10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.783410266282781,0.8833766320178075,1.7930395683198426,52.88440595122522,61.023481818375075,22.522435051689598,20.885699727714066,0.616145136552795,20.505650416991045,32.85294117647059,52.88440595122522,61.023481818375075,22.522435051689598,20.885699727714066,0.2647058823529412,nan,nan
5,-10,surface_only,case_weighted_within_scenario,68,1,0.8828478059093842,0.9278232210371854,1.743781977705622,77.75084170826983,80.64604163145943,nan,nan,0.5775392259177633,nan,30.573529411764707,77.75084170826983,80.64604163145943,nan,nan,nan,0.0,nan
5,-5,deep_only,case_weighted_within_scenario,15,1,0.7806666666666667,0.9995118920837772,1.4267240401094028,nan,nan,12.930939424835781,8.161760614452156,0.9840282331982416,8.161760614452156,21.4,nan,nan,12.930939424835781,8.161760614452156,0.8,nan,nan
