method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_active_count,deep_active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
MNE,-10,-10,case_weighted,4,4,0.6349220742781349,0.7345328152005577,0.6736874582823539,0.9555555555555556,1.961094480460695,69.54672234643004,94.44597812146202,24.68364798674182,11.380712376273687,0.23375848095612967,11.380712376273687,251.75,235.75,16.0,69.54672234643004,94.44597812146202,164.21267994098287,156.0194079041849,0.3333333333333333,0.0,0.16666666666666666
MNE,-10,20,case_weighted,4,4,0.859024716865626,0.9222420863545628,0.8973254590161911,0.8222222222222223,1.877947663693691,27.74239774905851,32.64236915230782,16.71824059747105,9.42809068781605,0.4656008249864917,9.42809068781605,415.75,407.0,8.75,27.74239774905851,32.64236915230782,160.22534404833382,156.0194079041849,0.3333333333333333,0.0,0.16666666666666666
MNE,5,5,case_weighted,4,4,0.8349178761520932,0.9053547328013635,0.8768042046810788,0.7333333333333334,1.8387171982156203,25.86794408252749,17.66186707825661,21.508687328027985,13.333334064731323,0.44301367940494846,13.333334064731323,321.5,309.75,11.75,25.86794408252749,17.66186707825661,161.0915511274762,156.0194079041849,0.3333333333333333,0.0,0.16666666666666666
MNE,20,-10,case_weighted,4,4,0.8514481196646602,0.9557616193936376,0.9504087847780994,0.8666666666666667,1.775810862570581,17.221093634931265,20.019515958627316,22.12814927641367,13.333334064731323,0.2652604535208835,13.333334064731323,419.5,408.5,11.0,17.221093634931265,20.019515958627316,163.50881769767997,156.0194079041849,0.3333333333333333,1.0,0.6666666666666666
MNE,20,20,case_weighted,4,4,0.8645180232459274,0.9323822253803585,0.9112622090673052,0.7333333333333334,1.7768035735970655,21.565555614881344,19.92818556636649,19.137198737972195,13.333334064731323,0.44855451732455337,13.333334064731323,305.25,296.75,8.5,21.565555614881344,19.92818556636649,161.19401748682063,156.0194079041849,0.3333333333333333,0.0,0.16666666666666666
OASTER-ERP-v4,-10,-10,case_weighted,4,4,0.6237498405774922,0.7111652282006626,0.9757667440717253,0.5,1.8355786471956081,46.14780757411821,53.45367395754935,nan,nan,0.0,nan,8.0,8.0,0.0,46.14780757411821,53.45367395754935,234.02911185627735,234.02911185627735,0.0,1.0,0.5
OASTER-ERP-v4,-10,20,case_weighted,4,4,0.7628799569771791,0.9710798198908916,0.98977009173288,0.6666666666666666,1.1668227402186602,8.466127912215478,12.005186758160528,0.0,0.0,0.25,0.0,4.75,4.5,0.25,8.466127912215478,12.005186758160528,156.0194079041849,156.0194079041849,0.3333333333333333,1.0,0.6666666666666666
OASTER-ERP-v4,5,5,case_weighted,4,4,0.8173947545743632,0.9729129529601043,0.9922129624525016,0.6666666666666666,1.1599899532993356,5.446787986826922,9.158185925446638,0.0,0.0,0.25,0.0,6.25,6.0,0.25,5.446787986826922,9.158185925446638,156.0194079041849,156.0194079041849,0.3333333333333333,1.0,0.6666666666666666
OASTER-ERP-v4,20,-10,case_weighted,4,4,0.8181392045454545,0.9714838754314747,0.9902611818731306,0.6666666666666666,1.1085083613241835,8.609660119816917,13.786303950426499,0.0,0.0,0.25,0.0,11.25,11.0,0.25,8.609660119816917,13.786303950426499,156.0194079041849,156.0194079041849,0.3333333333333333,1.0,0.6666666666666666
OASTER-ERP-v4,20,20,case_weighted,4,4,0.8878556981855593,0.9774267631245126,0.9985233429319186,0.6555555555555556,0.7984031654239869,0.8930436998498162,6.797335853596095,8.660254199163468,8.660254199163468,0.3471059224415525,8.660254199163468,8.5,8.0,0.5,0.8930436998498162,6.797335853596095,156.0194079041849,156.0194079041849,0.3333333333333333,1.0,0.6666666666666666
RAP-MUSIC,-10,-10,case_weighted,4,4,0.6286489898989899,0.6291010222112543,0.505659473174268,0.6666666666666666,1.5581721064671195,4.480406469219816,8.069002495839529,0.0,0.0,0.25,0.0,1.75,1.5,0.25,4.480406469219816,8.069002495839529,156.0194079041849,156.0194079041849,0.3333333333333333,1.0,0.6666666666666666
RAP-MUSIC,-10,20,case_weighted,4,4,0.637464050224467,0.642594669075,0.5241383798884688,0.6666666666666666,1.4653997811252149,4.515161688252362,7.258527055993274,0.0,0.0,0.25,0.0,2.0,1.75,0.25,4.515161688252362,7.258527055993274,156.0194079041849,156.0194079041849,0.3333333333333333,1.0,0.6666666666666666
RAP-MUSIC,5,5,case_weighted,4,4,0.6246896043771044,0.6248498330688244,0.49979936679451537,0.6666666666666666,1.504816164396328,8.324569913674424,8.048154664836838,0.0,0.0,0.25,0.0,2.0,1.75,0.25,8.324569913674424,8.048154664836838,156.0194079041849,156.0194079041849,0.3333333333333333,1.0,0.6666666666666666
RAP-MUSIC,20,-10,case_weighted,4,4,0.6248726851851851,0.6248498330688244,0.49979936679451537,0.6666666666666666,1.5010398228186825,8.780087778330142,12.838441143503223,0.0,0.0,0.25,0.0,1.25,1.0,0.25,8.780087778330142,12.838441143503223,156.0194079041849,156.0194079041849,0.3333333333333333,1.0,0.6666666666666666
RAP-MUSIC,20,20,case_weighted,4,4,0.624643308080808,0.6248498330688244,0.49979936679451537,0.6666666666666666,1.5001647676475982,11.962062583292004,8.048154664836838,0.0,0.0,0.25,0.0,2.5,2.25,0.25,11.962062583292004,8.048154664836838,156.0194079041849,156.0194079041849,0.3333333333333333,1.0,0.6666666666666666
dSPM,-10,-10,case_weighted,4,4,0.7375569457198247,0.7865384773159787,0.7189911999875195,0.888888888888889,1.9590495714056044,67.1237279915041,19.54501565092426,25.95856134194304,14.714045892456516,0.5485599457641203,14.714045892456516,7509.25,7493.25,16.0,67.1237279915041,19.54501565092426,164.85824638355874,159.35274142036772,0.3333333333333333,0.0,0.16666666666666666
dSPM,-10,20,case_weighted,4,4,0.8643276621433186,0.931212485044133,0.9116723683192912,0.6222222222222222,1.8846076437029904,16.890633262842275,14.245493956416569,18.65922807303163,15.500939210199801,0.4156448639991798,15.500939210199801,446.25,436.5,9.75,16.890633262842275,14.245493956416569,160.9963899327599,159.35274142036772,0.3333333333333333,0.0,0.16666666666666666
dSPM,5,5,case_weighted,4,4,0.8245897633744856,0.9320764573244297,0.9161033580574681,0.3333333333333333,1.8406204349934077,19.605135224254095,16.31148307734264,23.871549547377555,16.666667580914154,0.46516894392253016,16.666667580914154,746.5,733.5,13.0,19.605135224254095,16.31148307734264,162.4946683180783,159.35274142036772,0.3333333333333333,0.0,0.16666666666666666
dSPM,20,-10,case_weighted,4,4,0.8617327313539435,0.9370998538410581,0.9205803196220588,0.35555555555555557,1.7961079423383204,18.0273237338488,26.555275335407057,25.731773944965763,19.106836864173633,0.4107587460666955,19.106836864173633,313.75,300.75,13.0,18.0273237338488,26.555275335407057,234.02911185627735,234.02911185627735,0.0,0.0,0.0
dSPM,20,20,case_weighted,4,4,0.867098616637758,0.9361256364768911,0.9179147925566863,0.5333333333333333,1.7896041928532473,19.56014361463562,17.319486118696023,20.35908482357163,16.666667580914154,0.4726527844500966,16.666667580914154,397.25,387.75,9.5,19.56014361463562,17.319486118696023,161.92360344421533,159.35274142036772,0.3333333333333333,0.0,0.16666666666666666
eLORETA,-10,-10,case_weighted,4,4,0.6795324775533109,0.8003758587009288,0.7802349244430129,1.0,1.9538540646414164,68.75256168538584,22.42966976128626,26.139114256733123,0.0,0.4719700858758052,0.0,7041.25,7025.25,16.0,68.75256168538584,22.42966976128626,26.139114256733123,0.0,1.0,0.0,0.5
eLORETA,-10,20,case_weighted,4,4,0.8723339136312621,0.9343448399881629,0.9149679478272041,0.6444444444444445,1.8685421582377204,23.10164533829959,6.875509140641121,19.325713767714355,9.42809068781605,0.5055321433685835,9.42809068781605,725.75,715.0,10.75,23.10164533829959,6.875509140641121,161.12105342442464,156.0194079041849,0.3333333333333333,0.0,0.16666666666666666
eLORETA,5,5,case_weighted,4,4,0.8218933335884093,0.930312950583384,0.9173117250397628,0.7111111111111111,1.8152869554360738,16.95612320681677,7.654315747084873,24.807016016671046,13.333334064731323,0.4076150822534462,13.333334064731323,931.25,916.5,14.75,16.95612320681677,7.654315747084873,162.9055023386055,156.0194079041849,0.3333333333333333,0.0,0.16666666666666666
eLORETA,20,-10,case_weighted,4,4,0.8749783291670917,0.945456034508348,0.9313711429876399,0.7999999999999999,1.7801987122468996,19.068085046745708,7.654315747084873,23.615425886888307,13.333334064731323,0.4005520344794704,13.333334064731323,755.5,743.25,12.25,19.068085046745708,7.654315747084873,163.95624957215512,156.0194079041849,0.3333333333333333,0.0,0.16666666666666666
eLORETA,20,20,case_weighted,4,4,0.8663785264258749,0.9362729302337008,0.9184661209135289,0.7111111111111111,1.751503624839579,16.21730206900612,7.654315747084873,21.540215603991072,13.333334064731323,0.40826051771494276,13.333334064731323,431.75,420.75,11.0,16.21730206900612,7.654315747084873,162.39956013137007,156.0194079041849,0.3333333333333333,0.0,0.16666666666666666
sLORETA,-10,-10,case_weighted,4,4,0.6966736918851818,0.6906621871533576,0.5907252621933411,0.9555555555555556,1.963017218494739,62.29468331948991,74.83284064038538,26.355057110247696,5.773502799442312,0.5398817999386778,12.440169831807973,2533.25,2517.25,16.0,62.29468331948991,74.83284064038538,164.73921711971252,156.0194079041849,0.3333333333333333,0.0,0.16666666666666666
sLORETA,-10,20,case_weighted,4,4,0.8321508328231814,0.8904795730737363,0.8534193042860782,0.6444444444444445,1.910840491216511,31.418441957384754,12.137832020089393,19.725228144252256,9.42809068781605,0.5867773626288212,9.42809068781605,498.75,487.75,11.0,31.418441957384754,12.137832020089393,161.04411206215016,156.0194079041849,0.3333333333333333,0.0,0.16666666666666666
sLORETA,5,5,case_weighted,4,4,0.8366401812740196,0.8828033945011147,0.8437380958768005,0.5555555555555556,1.8559094559634246,27.711875596212355,19.92818556636649,23.836010380022017,13.333334064731323,0.5046815205269164,13.333334064731323,431.5,417.75,13.75,27.711875596212355,19.92818556636649,162.33360742413592,156.0194079041849,0.3333333333333333,0.0,0.16666666666666666
sLORETA,20,-10,case_weighted,4,4,0.8740073823249328,0.9402595286571416,0.9230992319904617,0.7999999999999999,1.8011690570458145,21.387454371214417,13.887501987024947,23.450422156907806,13.333334064731323,0.46137234860110476,13.333334064731323,662.25,650.0,12.25,21.387454371214417,13.887501987024947,163.97001330734938,156.0194079041849,0.3333333333333333,0.0,0.16666666666666666
sLORETA,20,20,case_weighted,4,4,0.8535538678026052,0.9135438102869282,0.8851653083716403,0.6444444444444445,1.8144224493428727,26.62401509697092,19.92818556636649,20.83022265477091,13.333334064731323,0.5047439926212999,13.333334064731323,331.5,321.0,10.5,26.62401509697092,19.92818556636649,162.0600200663565,156.0194079041849,0.3333333333333333,0.0,0.16666666666666666
