method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
LCMV,-5,20,case_weighted,186,4,0.7677181254668248,0.7128067153296761,1.8462516282794688,52.209276865366505,49.36837020022015,11.494187983701169,3.4206437708136814,0.5570278438362758,2.4216859977169922,358.005376344086,52.209276865366505,49.36837020022015,11.494187983701169,3.4206437708136814,0.7966101694915254,0.5882352941176471,0.6924227318045862
LCMV,0,-10,case_weighted,186,4,0.754018251367085,0.7014288413472322,1.9504148393401333,57.19894606836336,54.41165766600474,22.29681884755047,15.598520276427507,0.0,nan,1435.3440860215053,57.19894606836336,54.41165766600474,22.29681884755047,15.598520276427507,0.0,1.0,0.5
LCMV,0,-5,case_weighted,186,4,0.7530518135351228,0.6982833994071679,1.9482337110458203,56.55186609718897,52.50894775453192,21.844622342303378,15.681659061031956,0.0,nan,1350.516129032258,56.55186609718897,52.50894775453192,21.844622342303378,15.681659061031956,0.0,1.0,0.5
LCMV,0,0,case_weighted,186,4,0.7625770199569375,0.7062136667029729,1.944493356137777,54.85760635605814,50.76143317112579,20.541859229814808,12.736217887637206,0.0,nan,1167.784946236559,54.85760635605814,50.76143317112579,20.541859229814808,12.736217887637206,0.0,1.0,0.5
LCMV,0,5,case_weighted,186,4,0.7609899378629086,0.706547405767336,1.937756895614799,53.72857979682698,47.77129232577587,19.2104865831874,11.026937911997166,0.0,nan,900.7849462365591,53.72857979682698,47.77129232577587,19.2104865831874,11.026937911997166,0.0,1.0,0.5
LCMV,0,10,case_weighted,186,4,0.7658332482332153,0.7134402529727653,1.9218537701211271,52.83940261839429,50.36855716533738,17.01464702253509,8.858979183096066,0.0,nan,716.0752688172043,52.83940261839429,50.36855716533738,17.01464702253509,8.858979183096066,0.0,1.0,0.5
LCMV,0,15,case_weighted,186,4,0.7671193902800435,0.7123643908769489,1.893624218945077,52.309734192132346,50.95710394436848,14.445497437316188,5.82058321003467,0.062137389273031036,0.8333333490749443,530.3602150537635,52.309734192132346,50.95710394436848,14.445497437316188,5.82058321003467,0.1016949152542373,1.0,0.5508474576271186
LCMV,0,20,case_weighted,186,4,0.7698076287448549,0.7141695651689494,1.8462054238166365,52.198317657270145,49.75991826017891,11.322961375969754,3.876670875648026,0.5610067069411032,2.0872201919547324,411.1774193548387,52.198317657270145,49.75991826017891,11.322961375969754,3.876670875648026,0.7796610169491526,0.6029411764705882,0.6913010967098704
LCMV,5,-10,case_weighted,186,4,0.7568929976310463,0.7039372651928558,1.946108564594906,56.69524011329094,52.114049823533115,21.48535728074218,12.710355893139907,0.0,nan,1211.1236559139784,56.69524011329094,52.114049823533115,21.48535728074218,12.710355893139907,0.0,1.0,0.5
LCMV,5,-5,case_weighted,186,4,0.7635886588595224,0.7049401761615063,1.9452194877810463,55.96175225542669,50.88928379818686,21.36986836043439,14.376570984491373,0.0,nan,1241.3387096774193,55.96175225542669,50.88928379818686,21.36986836043439,14.376570984491373,0.0,1.0,0.5
LCMV,5,0,case_weighted,186,4,0.7676363269787705,0.7059577000444793,1.941038405788128,54.928952882434714,49.23427119908066,20.08468001042585,11.5941591551394,0.0,nan,1147.8763440860216,54.928952882434714,49.23427119908066,20.08468001042585,11.5941591551394,0.0,1.0,0.5
LCMV,5,5,case_weighted,186,4,0.7662438393029346,0.701301990760353,1.9348783303524935,53.821173329176645,49.28418601363548,18.544775237201506,9.255912190316169,0.0,nan,1025.263440860215,53.821173329176645,49.28418601363548,18.544775237201506,9.255912190316169,0.0,1.0,0.5
LCMV,5,10,case_weighted,186,4,0.7697242532700337,0.7095869056497001,1.9195623095303802,53.06447102154075,48.83536896592557,16.642388325678546,6.021366645015058,0.0,nan,880.4677419354839,53.06447102154075,48.83536896592557,16.642388325678546,6.021366645015058,0.0,1.0,0.5
LCMV,5,15,case_weighted,186,4,0.7709061684677113,0.7115358605057506,1.890252258762625,52.427812508488636,49.872613950334916,14.07633887300844,4.851071542525908,0.0967741935483871,0.7856741737278781,664.6720430107526,52.427812508488636,49.872613950334916,14.07633887300844,4.851071542525908,0.1440677966101695,1.0,0.5720338983050848
LCMV,5,20,case_weighted,186,4,0.7704347901664063,0.7112063584146503,1.839350574377536,52.24048133608725,50.317671019376874,11.21187440784602,3.402720614286032,0.623652411065687,2.0495769452926864,500.8225806451613,52.24048133608725,50.317671019376874,11.21187440784602,3.402720614286032,0.8389830508474576,0.5294117647058824,0.6841974077766699
LCMV,10,-10,case_weighted,186,4,0.7708539802199291,0.7094738258010577,1.940142249356025,55.406708735024004,49.91737371752815,19.723630752566297,8.650766653248809,0.0,nan,980.3172043010753,55.406708735024004,49.91737371752815,19.723630752566297,8.650766653248809,0.0,1.0,0.5
LCMV,10,-5,case_weighted,186,4,0.7698651634992119,0.7058419367708892,1.9398670359731771,54.696901326451865,48.790116443686756,19.60959233513915,8.062029789969987,0.0,nan,1008.4139784946236,54.696901326451865,48.790116443686756,19.60959233513915,8.062029789969987,0.0,1.0,0.5
LCMV,10,0,case_weighted,186,4,0.7705101526502885,0.703531698330637,1.933769918111313,54.15453063330703,48.85201079034902,18.490854329847153,6.650980327608944,0.0,nan,1005.8118279569892,54.15453063330703,48.85201079034902,18.490854329847153,6.650980327608944,0.0,1.0,0.5
LCMV,10,5,case_weighted,186,4,0.7730694125972312,0.7028505713579498,1.9246574830151366,53.44276829309788,47.70466751354409,17.317889326633118,6.069576640220166,0.0,nan,968.9354838709677,53.44276829309788,47.70466751354409,17.317889326633118,6.069576640220166,0.0,1.0,0.5
LCMV,10,10,case_weighted,186,4,0.7722889360863757,0.7027594988889726,1.906152183993853,52.6553380553904,47.25691494928602,15.485940505412982,4.302285131372329,0.0,nan,914.9462365591398,52.6553380553904,47.25691494928602,15.485940505412982,4.302285131372329,0.0,1.0,0.5
LCMV,10,15,case_weighted,186,4,0.7761332283596877,0.7099798568252452,1.880658942672943,52.41789755900887,49.03219754853096,13.533899731754827,2.835878616226018,0.15053763440860216,0.0,803.2849462365591,52.41789755900887,49.03219754853096,13.533899731754827,2.835878616226018,0.23728813559322035,1.0,0.6186440677966102
LCMV,10,20,case_weighted,186,4,0.7738945832934747,0.7103063485976694,1.8326702659066267,52.03190654436039,49.26217642565197,10.611685619935953,2.025380927652697,0.600906288959536,1.1131327436265275,620.4139784946236,52.03190654436039,49.26217642565197,10.611685619935953,2.025380927652697,0.8305084745762712,0.5588235294117647,0.694666001994018
LCMV,15,-10,case_weighted,186,4,0.7765955885162868,0.7143453258642418,1.926060684585334,53.54507120402555,48.374683763227985,17.13999938392101,4.2702155203843395,0.010752688172043012,0.0,818.752688172043,53.54507120402555,48.374683763227985,17.13999938392101,4.2702155203843395,0.01694915254237288,1.0,0.5084745762711864
LCMV,15,-5,case_weighted,186,4,0.7752620433569067,0.7092678612224295,1.9223610662020907,54.07619992245983,49.210400837612134,16.534699530285064,3.960218931708375,0.016129032258064516,0.0,840.010752688172,54.07619992245983,49.210400837612134,16.534699530285064,3.960218931708375,0.025423728813559324,1.0,0.5127118644067796
LCMV,15,0,case_weighted,186,4,0.7747949770111685,0.7072707435094657,1.9191505683174261,53.89733654310604,47.6223474646794,15.9968083348504,4.200566823963673,0.015954977292471813,0.0,906.0591397849462,53.89733654310604,47.6223474646794,15.9968083348504,4.200566823963673,0.025423728813559324,1.0,0.5127118644067796
LCMV,15,5,case_weighted,186,4,0.7747221162330665,0.7050759247243162,1.9083288447947886,53.15354345384054,47.40705494619146,15.184716587666694,3.8234016926634298,0.02400932995573698,0.0,870.3494623655914,53.15354345384054,47.40705494619146,15.184716587666694,3.8234016926634298,0.0423728813559322,1.0,0.521186440677966
LCMV,15,10,case_weighted,186,4,0.7798184277771376,0.7054940110921954,1.8920361620858583,53.09468025549271,46.43435422994983,13.703115369935308,2.2033276554426524,0.04241762772429391,0.0,904.8548387096774,53.09468025549271,46.43435422994983,13.703115369935308,2.2033276554426524,0.06779661016949153,1.0,0.5338983050847458
