method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_score,deep_peak_distance_mm,active_count,deep_sensitivity,deep_specificity,deep_balanced_accuracy
MNE,-10,10,scenario_macro,186,4,0.8399019050140103,0.925125784580698,1.8621458237588928,39.250235067135314,37.356445580354226,20.445597127507142,16.178357156041063,39.250235067135314,37.356445580354226,20.445597127507142,16.178357156041063,0.36333123990822724,16.496690506863875,316.69393382352945,0.3700980392156863,0.1323529411764706,0.2512254901960784
MNE,-10,15,scenario_macro,186,4,0.8592573254825544,0.9365616366587027,1.8319410041237534,24.93985574991632,22.340735630175633,19.56864501735065,17.270109285886676,24.93985574991632,22.340735630175633,19.56864501735065,17.270109285886676,0.39573750236757177,17.2202452618707,407.1516544117647,0.36519607843137253,0.11764705882352941,0.24142156862745096
MNE,-10,20,scenario_macro,186,4,0.8701362782914646,0.9397013291329573,1.8152571769149701,21.336674029823133,17.988709714001363,19.27122923323193,16.346584145132066,21.336674029823133,17.988709714001363,19.27122923323193,16.346584145132066,0.4082959139525,16.346584145132066,407.6433823529411,0.375,0.08823529411764706,0.23161764705882354
MNE,-5,-10,scenario_macro,186,4,0.5909393131615999,0.7502549849636253,1.9436318556272847,68.40986779748573,67.51327394419984,23.87041510497059,20.794392940274545,68.40986779748573,67.51327394419984,23.87041510497059,20.794392940274545,0.24671684523795348,20.78600512069431,1266.3722426470588,0.26348039215686275,0.04411764705882353,0.15379901960784315
MNE,-5,-5,scenario_macro,186,4,0.6656236658944467,0.8167985777647981,1.927159481792412,64.44096924723895,57.7065812425684,23.20610131433909,20.20097458959917,64.44096924723895,57.7065812425684,23.20610131433909,20.20097458959917,0.25229674516851636,18.734362234825714,618.9319852941176,0.33455882352941174,0.029411764705882353,0.18198529411764705
MNE,-5,0,scenario_macro,186,4,0.7396164489361117,0.8689274293923626,1.9069577717201367,59.18694347289253,55.33535677910396,22.68363195941842,18.396256998022114,59.18694347289253,55.33535677910396,22.68363195941842,18.396256998022114,0.24339472110382826,17.812108813213438,259.3391544117647,0.31495098039215685,0.029411764705882353,0.1721813725490196
MNE,-5,5,scenario_macro,186,4,0.7997682260078806,0.903870942359719,1.8827463617499385,51.61976248863792,50.6165869247852,22.06718056051973,16.949771926832664,51.61976248863792,50.6165869247852,22.06718056051973,16.949771926832664,0.26178162114895975,16.34936218538277,186.73621323529412,0.4448529411764706,0.10294117647058823,0.27389705882352944
MNE,-5,10,scenario_macro,186,4,0.8433703177989144,0.9287104775273839,1.8526497889397076,39.11911065964809,35.20715653342071,20.63691774180572,16.795521206390422,39.11911065964809,35.20715653342071,20.63691774180572,16.795521206390422,0.33234572828274456,16.98784088527053,239.03125,0.3406862745098039,0.19117647058823528,0.26593137254901955
MNE,-5,15,scenario_macro,186,4,0.861354944005959,0.9379450444826044,1.8273356587680982,26.155440294855612,23.85889197684884,19.915294053248164,17.12164242250297,26.155440294855612,23.85889197684884,19.915294053248164,17.12164242250297,0.3936783543993533,17.06939234707657,380.5321691176471,0.3602941176470588,0.16176470588235295,0.2610294117647059
MNE,-5,20,scenario_macro,186,4,0.870711467808299,0.9396939153041607,1.8128862411251494,20.99767082741874,18.57622023610592,19.245084032097044,15.408863906358567,20.99767082741874,18.57622023610592,19.245084032097044,15.408863906358567,0.3989305019561499,14.94399553074686,369.59375,0.43137254901960786,0.16176470588235295,0.2965686274509804
