method,eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
LCMV,-10,-5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.7972047694034471,0.6481410667538429,1.9617716365100013,41.6982618091046,45.743605707057625,22.883841143168457,18.783281506579847,0.0,nan,1139.5294117647059,41.6982618091046,45.743605707057625,22.883841143168457,18.783281506579847,0.0,nan,nan
LCMV,-10,-5,surface_only,case_weighted_within_scenario,68,1,0.5658438293579179,0.6659793486234766,1.9592074102543995,58.0393660712579,58.56115498576406,nan,nan,0.0,nan,1127.5588235294117,58.0393660712579,58.56115498576406,nan,nan,nan,1.0,nan
LCMV,-10,0,deep_only,case_weighted_within_scenario,16,1,0.995,0.998993411420205,1.8686257321776634,nan,nan,12.47325650082075,3.6427669936280878,0.0,nan,328.375,nan,nan,12.47325650082075,3.6427669936280878,0.0,nan,nan
LCMV,-10,0,deep_plus_surface,case_weighted_within_scenario,68,1,0.807683055762545,0.6811123589198189,1.9600039511756056,56.54631963667517,55.162048028630124,22.13587039960997,17.201105569001825,0.0,nan,789.9852941176471,56.54631963667517,55.162048028630124,22.13587039960997,17.201105569001825,0.0,nan,nan
LCMV,-10,0,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.7992456220692308,0.6583126788067555,1.958225279636972,41.16547590136837,46.619510504809725,22.61841822246574,17.771917569209943,0.0,nan,897.9705882352941,41.16547590136837,46.619510504809725,22.61841822246574,17.771917569209943,0.0,nan,nan
LCMV,-10,0,surface_only,case_weighted_within_scenario,68,1,0.5780560100419723,0.6753289951297514,1.9611252759831728,56.76275882961372,56.90529006589134,nan,nan,0.0,nan,793.5294117647059,56.76275882961372,56.90529006589134,nan,nan,nan,1.0,nan
LCMV,-10,5,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,1.7559870945669807,nan,nan,7.415885193983898,0.0,0.0,nan,251.8125,nan,nan,7.415885193983898,0.0,0.0,nan,nan
LCMV,-10,5,deep_plus_surface,case_weighted_within_scenario,68,1,0.8223729191683927,0.6833706666777773,1.9597318478454127,55.73751635502623,55.603091055964846,21.013006605464803,13.915999555929332,0.0,nan,543.0588235294117,55.73751635502623,55.603091055964846,21.013006605464803,13.915999555929332,0.0,nan,nan
LCMV,-10,5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8044928113480613,0.6739593176695968,1.956714720833908,40.44175619958641,43.90604057722754,21.3675130804414,14.267296645790248,0.0,nan,623.1470588235294,40.44175619958641,43.90604057722754,21.3675130804414,14.267296645790248,0.0,nan,nan
LCMV,-10,5,surface_only,case_weighted_within_scenario,68,1,0.5713198341403883,0.6720005968974802,1.9681806434356672,55.53416943277145,51.856224686179864,nan,nan,0.0,nan,565.1470588235294,55.53416943277145,51.856224686179864,nan,nan,nan,1.0,nan
LCMV,-10,10,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,1.5559810706929524,nan,nan,2.565171628719288,0.0,0.0,nan,233.75,nan,nan,2.565171628719288,0.0,0.0,nan,nan
LCMV,-10,10,deep_plus_surface,case_weighted_within_scenario,68,1,0.8405032557319673,0.6899253304246394,1.9542466175138922,55.5523025219942,53.207729835707944,19.106858844403376,8.952015602980419,0.0,nan,431.22058823529414,55.5523025219942,53.207729835707944,19.106858844403376,8.952015602980419,0.0,nan,nan
LCMV,-10,10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8199736190361224,0.6857079963775558,1.9509602664319814,40.31372521459434,43.83550539096751,19.947717597942773,12.132547692867233,0.0,nan,477.3235294117647,40.31372521459434,43.83550539096751,19.947717597942773,12.132547692867233,0.0,nan,nan
LCMV,-10,10,surface_only,case_weighted_within_scenario,68,1,0.5740497668859367,0.6752762705788304,1.9753281317391729,55.23910018212407,52.19562383565002,nan,nan,0.0,nan,445.25,55.23910018212407,52.19562383565002,nan,nan,nan,1.0,nan
LCMV,-10,15,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,1.3321758473812655,nan,nan,0.9426349598055347,0.0,0.0,nan,254.125,nan,nan,0.9426349598055347,0.0,0.0,nan,nan
LCMV,-10,15,deep_plus_surface,case_weighted_within_scenario,68,1,0.8585439703379679,0.695940348800192,1.935636625690655,55.119131732545135,54.00026324021467,16.3422820057446,7.24342730761123,0.1323529411764706,0.0,354.97058823529414,55.119131732545135,54.00026324021467,16.3422820057446,7.24342730761123,0.1323529411764706,nan,nan
LCMV,-10,15,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8261823980748327,0.6794078249879205,1.9350879974292847,40.129844248773054,42.22431592128851,17.171832806117532,9.39179668663883,0.17647058823529413,2.357022589676961,373.7647058823529,40.129844248773054,42.22431592128851,17.171832806117532,9.39179668663883,0.14705882352941177,nan,nan
LCMV,-10,15,surface_only,case_weighted_within_scenario,68,1,0.5716648343801605,0.6748909562924706,1.9814045162692613,55.21820215072545,54.230937590531575,nan,nan,0.0,nan,411.36764705882354,55.21820215072545,54.230937590531575,nan,nan,nan,1.0,nan
LCMV,-10,20,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.8957031665142938,nan,nan,0.0,0.0,0.4375,0.0,283.1875,nan,nan,0.0,0.0,0.4375,nan,nan
LCMV,-10,20,deep_plus_surface,case_weighted_within_scenario,68,1,0.8731739658221432,0.7019781107986169,1.9029673870893669,54.80736317249665,54.49016370578579,12.742918119344074,4.9337906376813825,0.825523054649526,3.0808802336059005,287.79411764705884,54.80736317249665,54.49016370578579,12.742918119344074,4.9337906376813825,0.8088235294117647,nan,nan
LCMV,-10,20,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8360155713507115,0.6853439785441539,1.9087283637313746,40.0277529369753,43.217697819602876,14.609475396450243,6.786606719918668,0.8167180564772063,4.051767059320078,330.1470588235294,40.0277529369753,43.217697819602876,14.609475396450243,6.786606719918668,0.8235294117647058,nan,nan
LCMV,-10,20,surface_only,case_weighted_within_scenario,68,1,0.575543965729297,0.6767354487508216,1.9846783367462255,55.40952324549515,51.17577882086781,nan,nan,0.18124658006928912,nan,387.54411764705884,55.40952324549515,51.17577882086781,nan,nan,nan,0.5588235294117647,nan
LCMV,-5,-10,deep_only,case_weighted_within_scenario,16,1,0.975,0.9972547584187408,1.9366345388238233,nan,nan,19.115335204016787,8.881724572422614,0.0,nan,766.375,nan,nan,19.115335204016787,8.881724572422614,0.0,nan,nan
LCMV,-5,-10,deep_plus_surface,case_weighted_within_scenario,68,1,0.8219510737965287,0.6758760339086722,1.9594414241834404,60.57422164803243,61.204354661120924,23.3041156769785,20.190874136490944,0.0,nan,1528.1617647058824,60.57422164803243,61.204354661120924,23.3041156769785,20.190874136490944,0.0,nan,nan
LCMV,-5,-10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.7930138720873413,0.642505642174653,1.958697880025127,43.02706205552219,48.58326937373303,23.919180246246107,22.046612735736154,0.0,nan,1761.4705882352941,43.02706205552219,48.58326937373303,23.919180246246107,22.046612735736154,0.0,nan,nan
LCMV,-5,-10,surface_only,case_weighted_within_scenario,68,1,0.5874263054769495,0.6686991951684655,1.9553518060478878,61.656856164752355,63.03536412559626,nan,nan,0.0,nan,1629.7941176470588,61.656856164752355,63.03536412559626,nan,nan,nan,1.0,nan
LCMV,-5,-5,deep_only,case_weighted_within_scenario,16,1,0.990625,0.9991348329562093,1.9136893170185283,nan,nan,16.78418031461055,3.9016504798214084,0.0,nan,593.0,nan,nan,16.78418031461055,3.9016504798214084,0.0,nan,nan
LCMV,-5,-5,deep_plus_surface,case_weighted_within_scenario,68,1,0.8230272245038951,0.6768360919896853,1.9582323308084062,59.45999348987584,60.624854749914874,22.961645964257507,20.15627052489808,0.0,nan,1323.3088235294117,59.45999348987584,60.624854749914874,22.961645964257507,20.15627052489808,0.0,nan,nan
LCMV,-5,-5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8036654508313724,0.6497978474865022,1.955102438794455,41.94936590018716,45.42022692124576,22.7034535861695,15.385920097249382,0.0,nan,1357.8823529411766,41.94936590018716,45.42022692124576,22.7034535861695,15.385920097249382,0.0,nan,nan
LCMV,-5,-5,surface_only,case_weighted_within_scenario,68,1,0.5745895636674511,0.6629892709895486,1.954910403336757,59.37044193910666,54.89568654343759,nan,nan,0.0,nan,1297.235294117647,59.37044193910666,54.89568654343759,nan,nan,nan,1.0,nan
LCMV,-5,0,deep_only,case_weighted_within_scenario,16,1,1.0,0.9999334486889392,1.845709466330801,nan,nan,11.958872036281342,2.500000047224834,0.0,nan,420.875,nan,nan,11.958872036281342,2.500000047224834,0.0,nan,nan
LCMV,-5,0,deep_plus_surface,case_weighted_within_scenario,68,1,0.8335361989229579,0.6827558970129531,1.9576782809206592,57.42547711382064,55.558556947927876,21.988442296502107,15.9719629912353,0.0,nan,989.1764705882352,57.42547711382064,55.558556947927876,21.988442296502107,15.9719629912353,0.0,nan,nan
