metric,metric_label,direction,method,n_snr_pairs,mean,sd_across_snr_pairs,median,q25,q75,min,max,bootstrap_mean_ci_low,bootstrap_mean_ci_high
rmse,Squared relative error (historical RMSE field),lower,dSPM,49,1.827657527563278,0.05546565515651144,1.8140149820880103,1.7833146009460243,1.8651284107806412,1.751509003568454,1.955349919990595,1.8123771329372553,1.8435506274075022
rmse,Squared relative error (historical RMSE field),lower,sLORETA,49,1.824345129433743,0.057767031978543416,1.8159272249426937,1.7832361719378573,1.8645468042391038,1.7370672144483503,1.9528953402299327,1.80857933151157,1.8405467417475287
rmse,Squared relative error (historical RMSE field),lower,eLORETA,49,1.8127222117702708,0.0632987024826788,1.7979194425833258,1.7623377465138663,1.8591248312471162,1.7200025209445964,1.9530151371068478,1.7953437172169924,1.8307460717290442
rmse,Squared relative error (historical RMSE field),lower,LCMV,49,1.836906122761683,0.09767285680308344,1.8513676648311532,1.7550170911903091,1.9243545873085885,1.5920046100478071,1.9624161777005313,1.8097233476869936,1.8633309188497413
rmse,Squared relative error (historical RMSE field),lower,Dipole fitting (grid),49,1.2489855864557096,0.06727664175258814,1.2254595935599188,1.2029692620245525,1.2649300473273601,1.181730964269069,1.4992864128173364,1.2314738660698221,1.2683722897639202
rmse,Squared relative error (historical RMSE field),lower,RAP-MUSIC,49,1.161586404456453,0.10169953790380087,1.1171189733266775,1.0872778794590552,1.20196447426006,1.0590805831563896,1.5214553662138577,1.1348818601234694,1.1918162842618372
surface_sd_mm_penalized,Surface penalized SD (mm),lower,OASTER V19,49,3.5182735519399873,1.154952280863843,3.1524002720584967,2.537856796258296,4.543157970058936,2.0570642525098504,6.007060755942137,3.2048739863640487,3.843090893772579
surface_sd_mm_penalized,Surface penalized SD (mm),lower,SISSES,49,33.54324401329467,25.94642515651266,27.60078903370668,7.976277938639243,60.81160496798966,5.265633914410472,72.03748453961292,26.339203668008174,40.75322494537397
surface_sd_mm_penalized,Surface penalized SD (mm),lower,MNE,49,34.821188769038315,17.42539816346382,26.90250519852893,20.129705802852598,48.86943139592859,17.144164528814073,70.11554255266878,30.131379913015024,39.818535630639175
surface_sd_mm_penalized,Surface penalized SD (mm),lower,dSPM,49,26.680234165485626,12.170966354928387,21.060856052445143,19.829766959234558,26.985003623302948,18.84077988778836,64.3114838810917,23.506388409935845,30.34529143520553
surface_sd_mm_penalized,Surface penalized SD (mm),lower,sLORETA,49,32.38084389528593,12.950127213095767,25.694592167940062,22.98921082670192,40.35913545005186,21.08667119141343,61.15380485956109,28.96003569823175,36.19833531354461
surface_sd_mm_penalized,Surface penalized SD (mm),lower,eLORETA,49,29.88737496758394,15.281249172900559,22.831610722558782,19.302776727508217,34.034661574479294,17.792119850731883,67.14488631873473,25.8354903534524,34.382824128003115
surface_sd_mm_penalized,Surface penalized SD (mm),lower,LCMV,49,51.76296142341414,1.5512538852342912,51.251877476110394,50.562790178712646,52.675505853903125,49.89871198502045,55.60932563222779,51.35355200117307,52.20865979140682
surface_sd_mm_penalized,Surface penalized SD (mm),lower,Dipole fitting (grid),49,6.214693646267027,2.9168408541171527,5.455003233236394,4.539203698942476,6.711888712587154,4.051607999972446,21.956808977441924,5.523970090940073,7.117247094562236
surface_sd_mm_penalized,Surface penalized SD (mm),lower,RAP-MUSIC,49,4.6323425870569,1.9559395956349903,4.2360093238597205,3.710150550405191,4.83718866847185,2.9663050536929503,14.874246470642289,4.165029044671121,5.243912339233024
surface_dle_mm_penalized,Surface penalized DLE (mm),lower,OASTER V19,49,8.54425057589872,1.0878299168632228,8.368116361230362,7.833747234657018,8.980320733688403,6.7650095119233695,11.777513003568961,8.250469983258265,8.857347463977183
surface_dle_mm_penalized,Surface penalized DLE (mm),lower,SISSES,49,38.67488703461582,23.918840166191448,29.265687874670736,15.153938112482217,63.9141544154351,12.297710859016837,75.28187824483418,32.085988743602535,45.333837118151166
surface_dle_mm_penalized,Surface penalized DLE (mm),lower,MNE,49,30.334612289556873,16.94125583092257,22.293568809015444,18.670740899708033,38.54741954334886,13.44768567923188,71.36850737703044,25.861773665872125,35.16561089915309
surface_dle_mm_penalized,Surface penalized DLE (mm),lower,dSPM,49,16.20416373124479,2.310384670105619,15.748302831898586,14.13463133392125,17.627749092046262,13.198653521122106,21.529671198914972,15.578900538024234,16.867680605345704
surface_dle_mm_penalized,Surface penalized DLE (mm),lower,sLORETA,49,20.52292797174411,9.950115439076333,17.46765576882034,15.872918215383784,18.043818478621326,13.679702659339588,61.72381131372853,18.01369200290411,23.48677478382506
