metric,metric_label,direction,baseline,n_snr_pairs,oaster_mean,baseline_mean,mean_oriented_difference,median_oriented_difference,bootstrap_difference_ci_low,bootstrap_difference_ci_high,oaster_wins,ties,oaster_losses,win_rate_excluding_ties,common_language_win_probability,wilcoxon_p_value,holm_p_value_within_metric,paired_rank_biserial
auc,Parcel AUC,positive difference favors OASTER,RAP-MUSIC,49,0.9281813802530532,0.6923130261311518,0.23586835412190146,0.23261001210827548,0.22920108373004583,0.2426134718240745,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
rmse,Squared relative error (historical RMSE field),positive difference favors OASTER,SISSES,49,0.6734688199533594,1.2524151019806506,0.5789462820272913,0.44417720385787307,0.49076259807516587,0.6738568516038411,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
rmse,Squared relative error (historical RMSE field),positive difference favors OASTER,MNE,49,0.6734688199533594,1.805369492511184,1.1319006725578247,1.1147894672354604,1.1102813371930598,1.1534260282278692,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
rmse,Squared relative error (historical RMSE field),positive difference favors OASTER,dSPM,49,0.6734688199533594,1.827657527563278,1.1541887076099187,1.1650114434889312,1.1332377524844321,1.1745889021278622,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
rmse,Squared relative error (historical RMSE field),positive difference favors OASTER,sLORETA,49,0.6734688199533594,1.824345129433743,1.150876309480383,1.1501992920090347,1.1324018053185352,1.169574233140904,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
rmse,Squared relative error (historical RMSE field),positive difference favors OASTER,eLORETA,49,0.6734688199533594,1.8127222117702708,1.1392533918169114,1.1359807616423714,1.1178801741590536,1.160252203945473,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
rmse,Squared relative error (historical RMSE field),positive difference favors OASTER,LCMV,49,0.6734688199533594,1.836906122761683,1.1634373028083238,1.183044009914262,1.1314426074926653,1.194307935108956,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
rmse,Squared relative error (historical RMSE field),positive difference favors OASTER,Dipole fitting (grid),49,0.6734688199533594,1.2489855864557096,0.5755167665023501,0.5878040856247866,0.5535572979195513,0.5978005361543354,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
rmse,Squared relative error (historical RMSE field),positive difference favors OASTER,RAP-MUSIC,49,0.6734688199533594,1.161586404456453,0.48811758450309356,0.489236187503031,0.45736462469694233,0.5203673729538496,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
surface_sd_mm_penalized,Surface penalized SD (mm),positive difference favors OASTER,SISSES,49,3.5182735519399873,33.54324401329467,30.024970461354677,22.64669851406673,22.85629822643448,37.278347639596205,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
surface_sd_mm_penalized,Surface penalized SD (mm),positive difference favors OASTER,MNE,49,3.5182735519399873,34.821188769038315,31.302915217098327,21.998474612151927,26.586431323834606,36.273664311410904,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
surface_sd_mm_penalized,Surface penalized SD (mm),positive difference favors OASTER,dSPM,49,3.5182735519399873,26.680234165485626,23.161960613545638,18.48859864323085,19.985568883164905,26.78646461704771,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
surface_sd_mm_penalized,Surface penalized SD (mm),positive difference favors OASTER,sLORETA,49,3.5182735519399873,32.38084389528593,28.86257034334594,21.32057133772509,25.32939315057125,32.57115387663473,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
surface_sd_mm_penalized,Surface penalized SD (mm),positive difference favors OASTER,eLORETA,49,3.5182735519399873,29.88737496758394,26.369101415643946,18.16235916030856,22.348767175816683,30.830484400079275,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
surface_sd_mm_penalized,Surface penalized SD (mm),positive difference favors OASTER,LCMV,49,3.5182735519399873,51.76296142341414,48.244687871474156,48.18721671463467,47.66772579778645,48.82106805289255,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
surface_sd_mm_penalized,Surface penalized SD (mm),positive difference favors OASTER,Dipole fitting (grid),49,3.5182735519399873,6.214693646267027,2.696420094327039,2.0962071312549675,2.1132783498550074,3.457885794602363,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
surface_sd_mm_penalized,Surface penalized SD (mm),positive difference favors OASTER,RAP-MUSIC,49,3.5182735519399873,4.6323425870569,1.114069035116913,1.1730418224293144,0.6151470531897731,1.660378623434961,34,0,15,0.6938775510204082,0.6938775510204082,1.7853493719854896e-05,1.7853493719854896e-05,0.6702040816326531
