case_id,configuration_id,scenario,eeg_snr_db,meg_snr_db,method,status,has_surface_true,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,deep_sd_mm,surface_dle_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count
erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,LCMV [train20],ok,0,0.78,0.9494210035937708,nan,0.19999999999999996,1.9740425958234626,nan,29.277579303921424,nan,33.166248402824905,1,0.0,nan,0,0,946,930,16
erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,Dipole fitting (grid) [train20],ok,0,0.5,0.4999334486889392,nan,0.5,2.0000000000000004,nan,nan,nan,nan,1,0.0,nan,0,0,1,1,0
erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,RAP-MUSIC [train20],ok,0,0.5,0.4999334486889392,nan,0.5,2.0000000000000004,nan,nan,nan,nan,1,0.0,nan,0,0,1,1,0
erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,MNE [combined40],ok,0,0.5,0.8664980700119792,nan,1.0,1.9836760274225878,nan,26.833917604066748,nan,0.0,1,0.17895898453034087,0.0,1,0,194,178,16
erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,dSPM [combined40],ok,0,0.67,0.9054971382936243,nan,0.2666666666666667,1.9855856673991825,nan,27.810557585043178,nan,10.00000054854849,1,0.6837371426954745,33.166248402824905,0,0,7514,7498,16
erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,sLORETA [combined40],ok,0,0.74,0.939305204312525,nan,0.6,1.9772663331781473,nan,28.59094077374955,nan,33.166248402824905,1,0.5711551098181696,33.166248402824905,0,0,2643,2627,16
erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,eLORETA [combined40],ok,0,0.39,0.7030480500465859,nan,0.9333333333333333,1.9866470470534319,nan,28.435802635761043,nan,33.166248402824905,1,0.5166932185548653,33.166248402824905,0,0,7315,7299,16
erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,LCMV [combined40],ok,0,0.9,0.9820311460135764,nan,0.6,1.9582506409851115,nan,28.69105377434905,nan,31.622777392010047,1,0.0,nan,0,0,917,901,16
erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,Dipole fitting (grid) [combined40],ok,0,1.0,1.0,nan,1.0,0.37655386592417417,nan,0.0,nan,0.0,1,1.0,0.0,1,0,1,0,1
erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,RAP-MUSIC [combined40],ok,0,1.0,1.0,nan,1.0,0.37655386592417417,nan,0.0,nan,0.0,1,1.0,0.0,1,0,1,0,1
erp-v6-development-03-eeg-10-meg-10,erp-v6-development-03,deep_plus_surface,-10,-10,v6-surface-only,ok,1,0.48569444444444443,0.9298023243565885,0.9673796791443849,0.5,1.9998685680323616,8.138648375203974,nan,11.822374003563763,nan,1,0.0,nan,0,0,10,10,0
erp-v6-development-03-eeg-10-meg-10,erp-v6-development-03,deep_plus_surface,-10,-10,v6-full-ungated,ok,1,0.7381944444444444,0.9690741195884974,0.9674242424242424,1.0,0.9017545602567408,8.138812803796691,27.607259785725166,11.822374003563763,0.0,1,1.0,0.0,1,0,12,10,2
