method,eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_active_count,deep_active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
eLORETA,-10,15,deep_plus_two_surface,case_weighted_within_scenario,67,1,0.8706108262194892,0.8728961622196773,0.8757387201624546,0.6119402985074627,1.8040806911135132,22.2191004083992,12.677232326292195,22.509922946375127,19.344632438497406,0.32110404734573195,19.04360298757187,693.9104477611941,679.5074626865671,14.402985074626866,22.2191004083992,55.62610447390126,185.76419268057663,182.67931066060655,0.22388059701492538,nan,nan
eLORETA,-10,15,surface_only,case_weighted_within_scenario,136,1,0.8642843618346755,0.9429834228376012,0.9430409053469949,nan,1.7627801754242554,23.364852054275428,7.1409920722211275,nan,nan,0.32637695193687594,nan,584.4558823529412,571.2941176470588,13.161764705882353,23.364852054275428,7.1409920722211275,nan,nan,nan,0.11029411764705882,nan
eLORETA,-10,20,deep_only,case_weighted_within_scenario,30,1,1.0,1.0,nan,1.0,1.8934222465401016,nan,nan,13.688154797950498,0.0,1.0,0.0,1174.3333333333333,1164.7333333333333,9.6,nan,nan,13.688154797950498,0.0,1.0,nan,nan
eLORETA,-10,20,deep_plus_surface,case_weighted_within_scenario,136,1,0.8335431115749663,0.9336708515122979,0.9432932715089812,0.6117647058823529,1.796888588937365,24.20607320484677,6.877337082725961,21.690685618344713,20.73812512027455,0.3531000068717995,20.634138832465283,599.4485294117648,587.9632352941177,11.485294117647058,24.20607320484677,6.877337082725961,187.48049457013457,185.4798316520959,0.21323529411764705,nan,nan
eLORETA,-10,20,deep_plus_two_surface,case_weighted_within_scenario,67,1,0.8661140400775001,0.8716312652361834,0.8748079156829395,0.6000000000000002,1.7955117796983862,22.366096633704323,12.237319392397353,22.18672732083371,19.60510810600626,0.32325591371022044,19.60510810600626,668.7164179104477,655.8656716417911,12.850746268656716,22.366096633704323,65.20252356287614,185.180817646053,182.53005693822814,0.22388059701492538,nan,nan
eLORETA,-10,20,surface_only,case_weighted_within_scenario,136,1,0.8625850278004771,0.9418435766243369,0.9419002285355726,nan,1.751649756674207,23.61053596953184,6.667139193368352,nan,nan,0.3330874238089534,nan,576.625,566.4779411764706,10.147058823529411,23.61053596953184,6.667139193368352,nan,nan,nan,0.08823529411764706,nan
eLORETA,-5,-10,deep_only,case_weighted_within_scenario,30,1,0.5103333333333333,0.7316695505568126,nan,0.9022222222222223,1.9812369895701378,nan,nan,22.291604713513813,10.196162051020114,0.6502122712656813,6.773442837011719,7315.433333333333,7299.433333333333,16.0,nan,nan,64.62695218552344,52.89520828329064,0.8,nan,nan
eLORETA,-5,-10,deep_plus_surface,case_weighted_within_scenario,136,1,0.5793668803728766,0.7541575221709822,0.7904609194042981,0.5553921568627451,1.9356873031794137,75.41057499853075,46.30531997508887,24.09274898313861,25.68783798802981,0.35487764382160275,23.431646152066016,5854.411764705882,5838.411764705882,16.0,75.41057499853075,46.30531997508887,196.97849206420716,195.79245789098064,0.17647058823529413,nan,nan
eLORETA,-5,-10,deep_plus_two_surface,case_weighted_within_scenario,67,1,0.7014845329787796,0.6735809847763236,0.6890169235682096,0.5343283582089553,1.9343214926651087,51.90514054577991,42.53800110960563,24.08148808343859,26.46180226353917,0.33120946095272275,23.52313960020558,5940.3432835820895,5924.3432835820895,16.0,51.90514054577991,42.53800110960563,208.85988463656315,208.40290861886842,0.11940298507462686,nan,nan
eLORETA,-5,-10,surface_only,case_weighted_within_scenario,136,1,0.7078667580947244,0.7891263332375792,0.788784182614297,nan,1.9175779601442875,74.46978764540519,39.25434144060625,nan,nan,0.34027307525434286,nan,5700.470588235294,5684.470588235294,16.0,74.46978764540519,39.25434144060625,nan,nan,nan,0.014705882352941176,nan
