method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_score,deep_peak_distance_mm,active_count,surface_active_count,deep_active_count,deep_sensitivity,deep_specificity,deep_balanced_accuracy
LCMV,10,-5,scenario_macro,369,4,0.8188720193605189,0.7658961519645437,0.6792824910227434,0.8891059408838163,1.906743976227848,52.52012973000234,47.74249730433519,16.890656426157925,6.410710004114361,52.52012973000234,49.66360783831218,234.02911185627735,234.02911185627735,0.0,nan,892.2521272314896,879.0685231928592,13.183604038630378,0.0,1.0,0.5
LCMV,10,0,scenario_macro,369,4,0.8181572703365279,0.7618798592859378,0.673520476046888,0.9060872110038045,1.8975569416995608,51.884420946235046,45.661674946527235,15.865423209782444,6.269988213271887,51.884420946235046,47.59749199829877,234.02911185627735,234.02911185627735,0.0,nan,924.6693792069066,911.9787642669007,12.690614940005853,0.0,1.0,0.5
LCMV,10,5,scenario_macro,369,4,0.8203298043346761,0.7634098947459971,0.6757012869147875,0.9325139010828213,1.8709091215737166,51.794143907645235,47.59336726311455,14.082531781814863,5.062929257492393,51.794143907645235,49.517122193668065,234.02911185627735,234.02911185627735,0.0,nan,891.3328650863331,879.3353947175885,11.997470368744512,0.0,1.0,0.5
LCMV,10,10,scenario_macro,369,4,0.8217312015720126,0.7637295252541125,0.6760595089546949,0.9510608721100381,1.8266682167909898,51.046583111026145,45.64792311090056,12.630588408683186,4.092180509101271,51.046583111026145,48.52459136572356,234.02911185627735,234.02911185627735,0.0,nan,821.8080479953176,810.4271949078138,11.380853087503658,0.0,1.0,0.5
LCMV,10,15,scenario_macro,369,4,0.8237203501835957,0.7668156560626413,0.680242354655631,0.96472539264462,1.7555617522931524,50.706056343654645,48.20312218624866,10.458028101551369,3.122804488074182,50.706056343654645,52.033390957216376,200.95070033880543,199.2702705163023,0.11379940046180861,0.6661733999356514,697.6778167983612,687.6133962540241,10.064420544337137,0.15038776704711734,1.0,0.5751938835235587
LCMV,10,20,scenario_macro,369,4,0.8257969884160081,0.7715461262148877,0.6867757024435908,0.9746366208174813,1.6493027310007704,50.44149703212306,48.026830139538255,8.449309787325376,2.3103825415858483,50.44149703212306,50.901082610336,62.01468759853706,56.6642143722238,0.636590882689774,1.353732958202129,553.3775479221539,544.6522680714077,8.725279850746269,0.765427763145059,0.6029411764705882,0.6841844698078237
LCMV,15,-10,scenario_macro,369,4,0.8238587741362055,0.7681406807717548,0.6820571001738042,0.9656009169837091,1.8841064240458998,51.278389072608896,46.308880356460314,14.277892987444522,3.169426652348926,51.278389072608896,53.09163108637898,225.58231726017414,224.8845457387512,0.030467162435608867,0.6428243675509558,725.8868488440153,713.8451145010242,12.041734342990928,0.03943517705589699,1.0,0.5197175885279485
LCMV,15,-5,scenario_macro,369,4,0.8230483531865924,0.766077487234054,0.6791934405356712,0.9526948590381427,1.878779044592422,51.40207746868188,47.0366914536506,13.941661540884505,3.3297195780353532,51.40207746868188,51.812534001429874,226.67322707387908,226.1496737957685,0.025664888727293486,4.368867371991345,770.8592039800996,758.9646125987708,11.89459138132865,0.03438688908399181,1.0,0.5171934445419959
LCMV,15,0,scenario_macro,369,4,0.8237762040289491,0.7662796297708772,0.6795191291821983,0.9620622378304554,1.8647980632886787,50.87745358639588,46.58199895076379,13.230928710449673,2.931287846878618,50.87745358639588,51.39256161559234,226.1059241606049,225.44799420730396,0.026933833916942276,0.7071068043060514,769.0552586333041,757.4405179982441,11.614740635059995,0.03698419666374012,1.0,0.51849209833187
LCMV,15,5,scenario_macro,369,4,0.8251596550016056,0.7663221387564771,0.6794766306917926,0.9746512535362405,1.8413085765980761,50.87821590485101,45.02178671959651,12.22728210254869,2.4952125039515445,50.87821590485101,50.82298900897822,224.4336179756158,223.73734421004397,0.036209948598509345,0.5439282899254526,792.3610294117648,781.0857093210419,11.275320090722856,0.04433713784021071,0.9926470588235294,0.51849209833187
