metric,metric_label,direction,method,n_snr_pairs,mean,sd_across_snr_pairs,median,q25,q75,min,max,bootstrap_mean_ci_low,bootstrap_mean_ci_high
rmse,Squared relative error (historical RMSE field),lower,MNE,49,1.833032134046787,0.05983741657000049,1.8239879574161708,1.7904907804805614,1.8775649464592608,1.7361916581510726,1.957795676454858,1.8167152549308203,1.8501396194519657
rmse,Squared relative error (historical RMSE field),lower,LCMV,49,1.8146026963307835,0.11341507836821713,1.8446269077209378,1.7476137645789467,1.910441845544924,1.5573178385936224,1.9583475917703845,1.7820631753216032,1.8454316526731278
rmse,Squared relative error (historical RMSE field),lower,RAP-MUSIC,49,1.1831925151323686,0.09809031350931142,1.152000726036868,1.118397407683986,1.2189465253515261,1.0810398244085877,1.5413289689622496,1.157772875916392,1.2115061029196288
rmse,Squared relative error (historical RMSE field),lower,Dipole fitting (grid),49,1.2617041447394914,0.06902307774566033,1.2542520176730236,1.2216078007237179,1.2669953150984388,1.1832924672878822,1.5746963362251776,1.2442102538476025,1.2822329737691762
surface_sd_mm_penalized,Surface penalized SD (mm),lower,OASTER,49,3.5303524673770847,0.7749923986506487,3.432092723923828,2.769837960333548,4.124739133858844,2.2969318684601636,4.945858894016923,3.317518896276328,3.7467690240795846
surface_sd_mm_penalized,Surface penalized SD (mm),lower,dSPM,49,26.47618663769686,12.241168190554319,20.91117450194844,19.639833312469193,26.29861909076577,18.52509284449128,64.40282677893846,23.311567981190528,30.070373156765832
surface_sd_mm_penalized,Surface penalized SD (mm),lower,eLORETA,49,29.432929388848603,15.447530131914325,22.23600250954676,18.711945962362233,34.274940118779035,17.40181764675033,67.22740270247519,25.361822990700023,33.774470509544386
surface_sd_mm_penalized,Surface penalized SD (mm),lower,sLORETA,49,32.01327041564092,13.082641145935296,24.954439568513607,22.596893345133022,39.890173227980256,20.620950869724386,61.30646404329888,28.54312564791646,35.77802142794202
surface_sd_mm_penalized,Surface penalized SD (mm),lower,MNE,49,34.373579025427055,17.63193839452852,26.1609001655351,19.612869794291367,48.48192497550608,16.366900972618023,70.28198511440111,29.626575893312992,39.28895773479409
surface_sd_mm_penalized,Surface penalized SD (mm),lower,LCMV,49,51.47331269267675,1.617367343555042,50.92242151650222,50.25954832835016,52.534037645058014,49.281187398674795,55.51589738056389,51.04582541636557,51.927753604263806
surface_sd_mm_penalized,Surface penalized SD (mm),lower,RAP-MUSIC,49,4.596915935825391,1.5173152441482147,4.3208310755763035,3.8130197241912493,4.855234135101404,3.054950085164638,12.354414793879803,4.2299121806518585,5.069510892706188
surface_sd_mm_penalized,Surface penalized SD (mm),lower,Dipole fitting (grid),49,6.048823040744499,2.7978401085282485,5.3317513474735705,4.463487830841403,6.472833903051186,3.6193960524700195,19.996695523435637,5.364925534577342,6.901609072882867
surface_dle_mm_penalized,Surface penalized DLE (mm),lower,OASTER,49,8.498676553053896,0.8235393821679717,8.496255470119637,7.904418134034219,9.266082149124928,6.943004774448962,10.146550917685225,8.270563271163873,8.729795792406518
surface_dle_mm_penalized,Surface penalized DLE (mm),lower,dSPM,49,15.890145769357977,2.622464145988529,15.42674228568943,13.640500093063388,17.37325556080381,12.37185277440188,21.98406983044285,15.171064616684173,16.62383531162055
surface_dle_mm_penalized,Surface penalized DLE (mm),lower,eLORETA,49,12.971502208647507,7.898944809243946,10.508960877772749,9.01264394283868,11.094913177483166,8.287652014232128,47.59590192345822,10.995797366170247,15.321918196556604
surface_dle_mm_penalized,Surface penalized DLE (mm),lower,sLORETA,49,20.183651183523946,9.996773071775516,16.814702565732635,15.690049512450523,18.028612599947653,13.801254226633835,62.47782856840947,17.606274250724752,23.126403596684916
surface_dle_mm_penalized,Surface penalized DLE (mm),lower,MNE,49,30.09201392374785,17.180609379892395,22.003172362103896,18.23958632917945,38.38460777645708,13.544885436760097,72.41944236509862,25.579553906177487,35.024530377998644
