metric,metric_label,direction,baseline,n_snr_pairs,oaster_mean,baseline_mean,mean_oriented_difference,median_oriented_difference,bootstrap_difference_ci_low,bootstrap_difference_ci_high,oaster_wins,ties,oaster_losses,win_rate_excluding_ties,common_language_win_probability,wilcoxon_p_value,holm_p_value_within_metric,paired_rank_biserial
surface_sd_mm_penalized,Surface penalized SD (mm),positive difference favors OASTER,LCMV,49,3.5303524673770847,51.47331269267675,47.942960225299665,47.425091986916165,47.4395572996485,48.47414748600059,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
surface_sd_mm_penalized,Surface penalized SD (mm),positive difference favors OASTER,RAP-MUSIC,49,3.5303524673770847,4.596915935825391,1.0665634684483063,0.7687593996745026,0.7364631686577451,1.47781377745921,45,0,4,0.9183673469387755,0.9183673469387755,2.573656843196659e-10,2.573656843196659e-10,0.9069387755102041
surface_sd_mm_penalized,Surface penalized SD (mm),positive difference favors OASTER,Dipole fitting (grid),49,3.5303524673770847,6.048823040744499,2.5184705733674146,1.8419303701059464,1.900699026251374,3.3001495843117947,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
surface_dle_mm_penalized,Surface penalized DLE (mm),positive difference favors OASTER,dSPM,49,8.498676553053896,15.890145769357977,7.3914692163040785,7.757102480022882,6.673564923524172,8.107842788812738,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
surface_dle_mm_penalized,Surface penalized DLE (mm),positive difference favors OASTER,eLORETA,49,8.498676553053896,12.971502208647507,4.472825655593613,1.9698166451127674,2.51285703873308,6.8963430796985845,40,0,9,0.8163265306122449,0.8163265306122449,2.6237607642087823e-09,5.247521528417565e-09,0.8710204081632653
surface_dle_mm_penalized,Surface penalized DLE (mm),positive difference favors OASTER,sLORETA,49,8.498676553053896,20.183651183523946,11.684974630470052,8.32027391138844,9.226875432440528,14.637539464225014,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
surface_dle_mm_penalized,Surface penalized DLE (mm),positive difference favors OASTER,MNE,49,8.498676553053896,30.09201392374785,21.59333737069396,12.686909804248907,16.99019718664876,26.538036450682185,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
surface_dle_mm_penalized,Surface penalized DLE (mm),positive difference favors OASTER,LCMV,49,8.498676553053896,47.91279125255336,39.414114699499464,39.2382157946142,38.67650587943474,40.20356472972619,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
surface_dle_mm_penalized,Surface penalized DLE (mm),positive difference favors OASTER,RAP-MUSIC,49,8.498676553053896,8.534294206727424,0.03561765367352769,-0.12011870241463463,-0.20864739034254215,0.30545994538479154,21,0,28,0.42857142857142855,0.42857142857142855,0.6932526045224776,0.6932526045224776,-0.06612244897959184
surface_dle_mm_penalized,Surface penalized DLE (mm),positive difference favors OASTER,Dipole fitting (grid),49,8.498676553053896,9.618396283881635,1.11971973082774,1.0232096857306532,0.8762817475333071,1.384892321982986,44,0,5,0.8979591836734694,0.8979591836734694,2.2737367544323206e-12,6.821210263296962e-12,0.9624489795918367
