metric,metric_label,baseline,eeg_snr_db,meg_snr_db,oaster_value,baseline_value,oriented_difference_positive_favors_oaster,outcome
rmse,Squared relative error (historical RMSE field),MNE,10,0,0.6226173229370938,1.822097556745105,1.199480233808011,win
rmse,Squared relative error (historical RMSE field),MNE,10,5,0.5923454747885838,1.7971319444365237,1.20478646964794,win
rmse,Squared relative error (historical RMSE field),MNE,10,10,0.6039769023947166,1.7802839400467247,1.1763070376520082,win
rmse,Squared relative error (historical RMSE field),MNE,10,15,0.6349879384137691,1.7721166766640126,1.1371287382502435,win
rmse,Squared relative error (historical RMSE field),MNE,10,20,0.6576726369861842,1.771490279285042,1.1138176422988577,win
rmse,Squared relative error (historical RMSE field),MNE,15,-10,0.697351973167986,1.8369751666385765,1.1396231934705905,win
rmse,Squared relative error (historical RMSE field),MNE,15,-5,0.6779916585121482,1.8239879574161708,1.1459962989040227,win
rmse,Squared relative error (historical RMSE field),MNE,15,0,0.6333890657344358,1.8010338993976531,1.1676448336632173,win
rmse,Squared relative error (historical RMSE field),MNE,15,5,0.6293727404083085,1.7732024231680428,1.1438296827597343,win
rmse,Squared relative error (historical RMSE field),MNE,15,10,0.594594623672385,1.7571469436062024,1.1625523199338175,win
rmse,Squared relative error (historical RMSE field),MNE,15,15,0.5978393124780448,1.7526397369380278,1.154800424459983,win
rmse,Squared relative error (historical RMSE field),MNE,15,20,0.6219974903205909,1.7558653569055187,1.1338678665849278,win
rmse,Squared relative error (historical RMSE field),MNE,20,-10,0.6982005314815768,1.8128229520168477,1.1146224205352708,win
rmse,Squared relative error (historical RMSE field),MNE,20,-5,0.6695561626522084,1.8033956098912018,1.1338394472389934,win
rmse,Squared relative error (historical RMSE field),MNE,20,0,0.6679378988492979,1.7872771643669898,1.119339265517692,win
rmse,Squared relative error (historical RMSE field),MNE,20,5,0.6129545051130852,1.764506068640892,1.1515515635278066,win
rmse,Squared relative error (historical RMSE field),MNE,20,10,0.6086436234034852,1.7420789930693243,1.1334353696658392,win
rmse,Squared relative error (historical RMSE field),MNE,20,15,0.5851992524163374,1.7361916581510726,1.1509924057347352,win
rmse,Squared relative error (historical RMSE field),MNE,20,20,0.5912052088669877,1.7408714324329972,1.1496662235660096,win
rmse,Squared relative error (historical RMSE field),LCMV,-10,-10,0.800315860269666,1.9583475917703845,1.1580317315007185,win
rmse,Squared relative error (historical RMSE field),LCMV,-10,-5,0.7712560505025302,1.9491576939935187,1.1779016434909884,win
rmse,Squared relative error (historical RMSE field),LCMV,-10,0,0.7851552014310887,1.9336123264416072,1.1484571250105184,win
rmse,Squared relative error (historical RMSE field),LCMV,-10,5,0.7919584337362544,1.9018068227063443,1.1098483889700899,win
