case_id,scenario,method,auc,rmse,surface_sd_mm,deep_sd_mm,dle_mm,active_count,deep_grid,eeg_drop,meg_drop
mixed_01,mixed,V9b_balanced,1.0,0.29703668488711743,2.589555887507302,0.0,7.058084458636592,48,coarse,nan,nan
mixed_01,mixed,V11_range,0.9999826388888888,0.30726205370418347,2.4750913477820835,0.0,10.765931859745383,46,coarse,nan,nan
mixed_01,mixed,V11_compact_refined,0.978298611111111,0.2869733484223974,1.8983871108223584,0.0,5.765932160068607,30,coarse,0.32489195423176687,0.35169677891288176
mixed_02,mixed,SISSES_0.10,0.49764756944444444,0.8408182575285658,8.710630879082606,79.89693081002325,44.241310842206936,173,coarse,nan,nan
mixed_02,mixed,V9b_balanced,0.4986024305555556,0.7109287216140812,6.323203638668747,14.142136086121031,13.40455511684371,113,coarse,nan,nan
mixed_02,mixed,V11_range,0.46592013888888895,0.7250180114128316,3.471562792781788,14.14213608612103,13.487377462752939,66,coarse,nan,nan
mixed_02,mixed,V11_compact_refined,0.9231380208333334,0.718994470151103,2.991771938249304,0.0,6.416309419692423,34,coarse,0.38520748520077,0.2248862206348482
mixed_03,mixed,SISSES_0.10,0.46535590277777783,0.617044564912166,2.6868216714346267,77.22741382592783,38.96193992863515,55,coarse,nan,nan
mixed_03,mixed,V9b_balanced,0.4992534722222222,0.430499550736268,2.7465575640232553,9.999999399353554,7.83439808955092,61,coarse,nan,nan
mixed_03,mixed,V11_range,0.4996788194444444,0.2772434633300764,2.3065559365721957,9.999999399353554,7.83439808955092,49,coarse,nan,nan
mixed_03,mixed,V11_compact_refined,0.47818576388888884,0.2901131334493353,1.3889708225225865,9.99999939935355,7.83439808955092,28,coarse,0.1607324600694997,0.10207236168824196
mixed_04,mixed,SISSES_0.10,0.499140625,0.40077310944792854,3.472528841345864,68.62805173231051,40.75410692963048,69,coarse,nan,nan
mixed_04,mixed,V9b_balanced,0.9997309027777778,0.28711609495598656,2.2639874756890688,0.0,1.416653332734736,55,coarse,nan,nan
mixed_04,mixed,V11_range,0.9998697916666668,0.21679252835295912,2.0385855870557252,0.0,2.184658996525538,45,coarse,nan,nan
mixed_04,mixed,V11_compact_refined,0.97828125,0.1781399103945595,1.3140621504962653,0.0,2.184658996525538,26,coarse,0.2827562325284284,0.20816375580538204
mixed_05,mixed,SISSES_0.10,0.4979427083333334,0.6093303893280564,3.81284649684841,117.69289924698862,43.5437791603206,56,coarse,nan,nan
mixed_05,mixed,V9b_balanced,0.9985590277777777,0.3993038673147309,3.4885079533918115,0.0,6.536839172221004,56,coarse,nan,nan
mixed_05,mixed,V11_range,0.9997135416666667,0.3405980642540782,3.406092959437964,0.0,7.225519494841758,54,coarse,nan,nan
mixed_05,mixed,V11_compact_refined,0.9890842013888891,0.22740182413459117,2.366132242724408,0.0,7.225519494841758,29,coarse,0.26552165167856634,0.2909818223490017
surface_00,surface,SISSES_0.10,0.9999652777777777,0.24182977543810943,1.4713645687593315,nan,6.20221239824218,29,coarse,nan,nan
surface_00,surface,V9b_balanced,1.0,0.033492758797050166,0.8591159667889723,nan,9.67586482623675,27,coarse,nan,nan
surface_00,surface,V11_range,0.9999652777777777,0.07566904558348628,1.1128439230495226,nan,9.67586482623675,29,coarse,nan,nan
surface_00,surface,V11_compact_refined,0.9348958333333335,0.14185825880410974,0.0,nan,9.67586482623675,21,none,nan,nan
surface_01,surface,SISSES_0.10,0.9673003472222225,1.028704290538866,7.925827526083856,nan,23.21085424301604,118,coarse,nan,nan
surface_01,surface,V9b_balanced,1.0,0.22757402628723775,2.4377071915625015,nan,4.116169517919631,50,coarse,nan,nan
surface_01,surface,V11_range,0.9999305555555555,0.17417225186743848,1.4821882609370765,nan,5.415978113565305,43,coarse,nan,nan
surface_01,surface,V11_compact_refined,0.9131944444444444,0.24512985071375104,0.8355618083549852,nan,5.415978113565305,22,none,nan,nan
surface_02,surface,SISSES_0.10,0.9954513888888888,0.8630991394445167,8.862215797507377,nan,23.005484883171675,219,coarse,nan,nan
surface_02,surface,V9b_balanced,0.9990972222222223,0.4146585960779238,3.147062121390934,nan,4.145292825022541,70,coarse,nan,nan
surface_02,surface,V11_range,0.9996354166666667,0.17085845994338578,1.9872882552303104,nan,4.145292825022541,48,coarse,nan,nan
surface_02,surface,V11_compact_refined,0.9347135416666669,0.22445030823054987,1.0046184845568955,nan,4.145292825022541,24,none,nan,nan
surface_03,surface,SISSES_0.10,0.9302083333333334,0.6968515010688412,2.7490799093295775,nan,10.982664758647948,58,coarse,nan,nan
surface_03,surface,V9b_balanced,0.9772395833333337,0.21902752000437112,1.939055827128403,nan,5.668796779748288,45,coarse,nan,nan
surface_03,surface,V11_range,0.9779861111111114,0.18142225068234888,1.4575924183728874,nan,5.668796779748288,39,coarse,nan,nan
surface_03,surface,V11_compact_refined,0.934826388888889,0.17879284714581503,0.704029637062422,nan,5.668796779748288,23,none,nan,nan
surface_04,surface,SISSES_0.10,0.9769704861111115,0.38075246712567856,3.469600820817686,nan,2.7600131335844793,66,coarse,nan,nan
surface_04,surface,V9b_balanced,0.9776302083333337,0.2715580291425471,2.0422465423903264,nan,2.833306665469472,43,coarse,nan,nan
surface_04,surface,V11_range,0.9779079861111114,0.22950902529558456,1.9041698191763954,nan,6.039958034647713,39,coarse,nan,nan
surface_04,surface,V11_compact_refined,0.9564236111111112,0.22049932742818107,1.4878409570846156,nan,6.039958034647713,26,none,nan,nan
