dataset,case_id,label_posthoc,eeg_snr_db_posthoc,meg_snr_db_posthoc,candidate,family,score
current15,erp-v6-localization-v5-development-04-eeg-10-meg-10,1,-10,-10,adaptive_balance_p0p5,adaptive_balance,0.001451148968153097
current15,erp-v6-localization-v5-development-04-eeg-10-meg-10,1,-10,-10,adaptive_balance_p1,adaptive_balance,0.0013430316250208013
current15,erp-v6-localization-v5-development-04-eeg-10-meg-10,1,-10,-10,adaptive_balance_p2,adaptive_balance,0.0011313599107651172
current15,erp-v6-localization-v5-development-04-eeg-10-meg-10,1,-10,-10,reference_global_sqrt_fixed_3_to_1,reference_global,0.001462019742497853
current15,erp-v6-localization-v5-development-04-eeg-10-meg-10,1,-10,-10,reference_snr_blind_consensus,reference_consensus,-0.022553436886814902
current15,erp-v6-localization-v5-development-05-eeg-10-meg+20,0,-10,20,per_modality_fixed_3_to_1_e05,per_modality_exponent,-0.062048951359842876
current15,erp-v6-localization-v5-development-05-eeg-10-meg+20,0,-10,20,per_modality_fixed_3_to_1_e0625,per_modality_exponent,-0.048991161045151985
current15,erp-v6-localization-v5-development-05-eeg-10-meg+20,0,-10,20,per_modality_fixed_3_to_1_e075,per_modality_exponent,-0.04201374951186454
current15,erp-v6-localization-v5-development-05-eeg-10-meg+20,0,-10,20,per_modality_fixed_3_to_1_e0875,per_modality_exponent,-0.038280266785551575
current15,erp-v6-localization-v5-development-05-eeg-10-meg+20,0,-10,20,per_modality_fixed_3_to_1_e10,per_modality_exponent,-0.03627744855222583
current15,erp-v6-localization-v5-development-05-eeg-10-meg+20,0,-10,20,sqrt_weight_eeg_0p5,sqrt_weight,-0.07862030864783857
current15,erp-v6-localization-v5-development-05-eeg-10-meg+20,0,-10,20,sqrt_weight_eeg_0p6,sqrt_weight,-0.0719917657326403
current15,erp-v6-localization-v5-development-05-eeg-10-meg+20,0,-10,20,sqrt_weight_eeg_0p666667,sqrt_weight,-0.06757273712250811
current15,erp-v6-localization-v5-development-05-eeg-10-meg+20,0,-10,20,sqrt_weight_eeg_0p75,sqrt_weight,-0.062048951359842876
current15,erp-v6-localization-v5-development-05-eeg-10-meg+20,0,-10,20,adaptive_balance_p0p5,adaptive_balance,-0.07727407791214762
current15,erp-v6-localization-v5-development-05-eeg-10-meg+20,0,-10,20,adaptive_balance_p1,adaptive_balance,-0.07851094300190975
current15,erp-v6-localization-v5-development-05-eeg-10-meg+20,0,-10,20,adaptive_balance_p2,adaptive_balance,-0.07861958686963408
current15,erp-v6-localization-v5-development-05-eeg-10-meg+20,0,-10,20,reference_global_sqrt_fixed_3_to_1,reference_global,-0.030711651417921683
current15,erp-v6-localization-v5-development-05-eeg-10-meg+20,0,-10,20,reference_snr_blind_consensus,reference_consensus,-0.3926619507114937
current15,erp-v6-localization-v5-development-06-eeg-10-meg+20,0,-10,20,per_modality_fixed_3_to_1_e05,per_modality_exponent,-0.0013445812583342868
current15,erp-v6-localization-v5-development-06-eeg-10-meg+20,0,-10,20,per_modality_fixed_3_to_1_e0625,per_modality_exponent,-0.0002683493422667867
current15,erp-v6-localization-v5-development-06-eeg-10-meg+20,0,-10,20,per_modality_fixed_3_to_1_e075,per_modality_exponent,0.00029745757403521866
current15,erp-v6-localization-v5-development-06-eeg-10-meg+20,0,-10,20,per_modality_fixed_3_to_1_e0875,per_modality_exponent,0.0005924983342360552
current15,erp-v6-localization-v5-development-06-eeg-10-meg+20,0,-10,20,per_modality_fixed_3_to_1_e10,per_modality_exponent,0.0007439334106940531
current15,erp-v6-localization-v5-development-06-eeg-10-meg+20,0,-10,20,sqrt_weight_eeg_0p5,sqrt_weight,-0.003985865576746213
current15,erp-v6-localization-v5-development-06-eeg-10-meg+20,0,-10,20,sqrt_weight_eeg_0p6,sqrt_weight,-0.002929351849381443
current15,erp-v6-localization-v5-development-06-eeg-10-meg+20,0,-10,20,sqrt_weight_eeg_0p666667,sqrt_weight,-0.002225009364471596
current15,erp-v6-localization-v5-development-06-eeg-10-meg+20,0,-10,20,sqrt_weight_eeg_0p75,sqrt_weight,-0.0013445812583342868
current15,erp-v6-localization-v5-development-06-eeg-10-meg+20,0,-10,20,adaptive_balance_p0p5,adaptive_balance,-0.003766378703093079
current15,erp-v6-localization-v5-development-06-eeg-10-meg+20,0,-10,20,adaptive_balance_p1,adaptive_balance,-0.0039676265377415094
current15,erp-v6-localization-v5-development-06-eeg-10-meg+20,0,-10,20,adaptive_balance_p2,adaptive_balance,-0.003985739629478252
current15,erp-v6-localization-v5-development-06-eeg-10-meg+20,0,-10,20,reference_global_sqrt_fixed_3_to_1,reference_global,-0.002236292953933307
current15,erp-v6-localization-v5-development-06-eeg-10-meg+20,0,-10,20,reference_snr_blind_consensus,reference_consensus,-0.0329218386729456
current15,erp-v6-localization-v5-development-07-eeg-10-meg+20,1,-10,20,per_modality_fixed_3_to_1_e05,per_modality_exponent,0.06848077730357634
current15,erp-v6-localization-v5-development-07-eeg-10-meg+20,1,-10,20,per_modality_fixed_3_to_1_e0625,per_modality_exponent,0.050115258369460194
current15,erp-v6-localization-v5-development-07-eeg-10-meg+20,1,-10,20,per_modality_fixed_3_to_1_e075,per_modality_exponent,0.038491973178137545
current15,erp-v6-localization-v5-development-07-eeg-10-meg+20,1,-10,20,per_modality_fixed_3_to_1_e0875,per_modality_exponent,0.03113575530466082
current15,erp-v6-localization-v5-development-07-eeg-10-meg+20,1,-10,20,per_modality_fixed_3_to_1_e10,per_modality_exponent,0.02648010584658359
current15,erp-v6-localization-v5-development-07-eeg-10-meg+20,1,-10,20,sqrt_weight_eeg_0p5,sqrt_weight,0.112356233087904
current15,erp-v6-localization-v5-development-07-eeg-10-meg+20,1,-10,20,sqrt_weight_eeg_0p6,sqrt_weight,0.09480605077417294
current15,erp-v6-localization-v5-development-07-eeg-10-meg+20,1,-10,20,sqrt_weight_eeg_0p666667,sqrt_weight,0.08310592923168555
current15,erp-v6-localization-v5-development-07-eeg-10-meg+20,1,-10,20,sqrt_weight_eeg_0p75,sqrt_weight,0.06848077730357634
current15,erp-v6-localization-v5-development-07-eeg-10-meg+20,1,-10,20,adaptive_balance_p0p5,adaptive_balance,0.10531701534167584
current15,erp-v6-localization-v5-development-07-eeg-10-meg+20,1,-10,20,adaptive_balance_p1,adaptive_balance,0.11122688672344952
current15,erp-v6-localization-v5-development-07-eeg-10-meg+20,1,-10,20,adaptive_balance_p2,adaptive_balance,0.11232716391498929
current15,erp-v6-localization-v5-development-07-eeg-10-meg+20,1,-10,20,reference_global_sqrt_fixed_3_to_1,reference_global,0.05298747704689665
current15,erp-v6-localization-v5-development-07-eeg-10-meg+20,1,-10,20,reference_snr_blind_consensus,reference_consensus,0.08002462598875662
current15,erp-v6-localization-v5-development-08-eeg-10-meg+20,1,-10,20,per_modality_fixed_3_to_1_e05,per_modality_exponent,0.023261012928751542
current15,erp-v6-localization-v5-development-08-eeg-10-meg+20,1,-10,20,per_modality_fixed_3_to_1_e0625,per_modality_exponent,0.01670413391594981
current15,erp-v6-localization-v5-development-08-eeg-10-meg+20,1,-10,20,per_modality_fixed_3_to_1_e075,per_modality_exponent,0.013141391902725444
current15,erp-v6-localization-v5-development-08-eeg-10-meg+20,1,-10,20,per_modality_fixed_3_to_1_e0875,per_modality_exponent,0.011163743348751384
current15,erp-v6-localization-v5-development-08-eeg-10-meg+20,1,-10,20,per_modality_fixed_3_to_1_e10,per_modality_exponent,0.010026183086113423
current15,erp-v6-localization-v5-development-08-eeg-10-meg+20,1,-10,20,sqrt_weight_eeg_0p5,sqrt_weight,0.03345202150170667
current15,erp-v6-localization-v5-development-08-eeg-10-meg+20,1,-10,20,sqrt_weight_eeg_0p6,sqrt_weight,0.029375618072524617
current15,erp-v6-localization-v5-development-08-eeg-10-meg+20,1,-10,20,sqrt_weight_eeg_0p666667,sqrt_weight,0.02665801578640325
current15,erp-v6-localization-v5-development-08-eeg-10-meg+20,1,-10,20,sqrt_weight_eeg_0p75,sqrt_weight,0.02326101292875154
