version,manifest_sha256,chunk_index,chunk_file,case_number,case_id,configuration_number,configuration_id,pair_index,eeg_snr_db,meg_snr_db,scenario,surface_centers,deep_index,deep_surface_ratio,correlation,method,status,error,elapsed_seconds,temporal_rank,selected_templates,has_surface_true,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count,original_deep_detected,original_deep_false_positive,original_deep_threshold,comparison_deep_threshold,solver_converged,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized
v5,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1214,erp-v3-development-01214-deep_plus_surface-eeg-10-meg+20,86,erp-v3-development-source-086-deep_plus_surface,6,-10,20,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v5,ok,,572.2324067000882,10,0,1,0.9301543209876544,0.9979424879744391,0.998083778966132,0.9333333333333333,1.1881361444569616,2.231160636897264,6.34456081436325,10.554095375485021,14.142136031724077,1,1.0,14.142136031724077,0,0,6,4,2,0,0,0.14,0.14,1,2.231160636897264,6.34456081436325,234.02911185627735,234.02911185627735
v3,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1282,erp-v3-development-01282-deep_plus_two_surface-eeg-10-meg+20,154,erp-v3-development-source-154-deep_plus_two_surface,6,-10,20,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v3,ok,,2.904805399986799,3,4,1,0.9445922184811074,0.9725592374844112,0.9717868338557993,1.0,0.7670187292646273,2.312781055846577,4.0899374079944915,0.0,0.0,1,0.9919119324332736,0.0,1,0,13,12,1,1,0,0.125,0.14,,2.312781055846577,4.0899374079944915,0.0,0.0
v4,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1282,erp-v3-development-01282-deep_plus_two_surface-eeg-10-meg+20,154,erp-v3-development-source-154-deep_plus_two_surface,6,-10,20,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v4,ok,,43.76054579997435,3,0,1,0.6038192106247663,0.9490802601104575,0.9817360030655444,0.5,1.6473542267742909,12.04376212083947,12.237695848670121,nan,nan,1,0.0,nan,0,0,10,10,0,0,0,0.14,0.14,0,12.04376212083947,12.237695848670121,234.02911185627735,234.02911185627735
v5,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1282,erp-v3-development-01282-deep_plus_two_surface-eeg-10-meg+20,154,erp-v3-development-source-154-deep_plus_two_surface,6,-10,20,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v5,ok,,468.97551560000284,10,0,1,0.7930751113831921,0.9885489043292357,0.98839340538594,1.0,1.336993400921262,5.576758958340522,11.592156564316303,18.975776985873143,0.0,1,1.0,0.0,1,0,7,4,3,1,0,0.14,0.14,1,5.576758958340522,11.592156564316303,18.975776985873143,0.0
v3,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,OASTER-ERP-v3,ok,,2.328601000001072,3,3,1,0.9971913580246914,0.9992736867069845,0.9992721330956625,nan,0.608575450423863,3.4428197319374862,11.506110153272395,nan,nan,0,0.04430796908649249,nan,0,0,40,24,16,0,0,0.125,0.14,,3.4428197319374862,11.506110153272395,nan,nan
v4,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,OASTER-ERP-v4,ok,,37.25389120000182,3,0,1,0.9985802469135803,0.9989105300604768,0.9989081996434939,nan,1.012969221679224,1.593894759106314,4.627401780579963,nan,nan,0,0.0,nan,0,0,3,3,0,0,0,0.14,0.14,1,1.593894759106314,4.627401780579963,nan,nan
v5,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,OASTER-ERP-v5,ok,,175.59518580004806,10,0,1,0.59820987654321,0.9843546187596348,0.9847222222222223,nan,1.970122914221202,8.024522275602841,11.94345982554302,nan,nan,0,0.8561504511227531,nan,0,1,5,2,3,0,1,0.14,0.14,1,8.024522275602841,11.94345982554302,nan,nan
v3,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4580,erp-v3-development-04580-deep_only-eeg+05-meg+05,68,erp-v3-development-source-068-deep_only,24,5,5,deep_only,[],7498,,,OASTER-ERP-v3,ok,,1.4718007999908878,3,2,0,1.0,1.0,nan,1.0,0.3626092241394308,nan,nan,0.0,0.0,1,1.0,0.0,1,0,541,540,1,1,0,0.125,0.14,,nan,nan,0.0,0.0
v4,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4580,erp-v3-development-04580-deep_only-eeg+05-meg+05,68,erp-v3-development-source-068-deep_only,24,5,5,deep_only,[],7498,,,OASTER-ERP-v4,ok,,25.4626618999755,3,0,0,1.0,1.0,nan,1.0,0.020378535595606307,nan,nan,0.0,0.0,1,1.0,0.0,1,0,9,8,1,1,0,0.14,0.14,1,nan,nan,0.0,0.0
v5,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4580,erp-v3-development-04580-deep_only-eeg+05-meg+05,68,erp-v3-development-source-068-deep_only,24,5,5,deep_only,[],7498,,,OASTER-ERP-v5,ok,,131.79988190007862,10,0,0,1.0,1.0,nan,1.0,0.02836604949049709,nan,nan,0.0,0.0,1,1.0,0.0,1,0,2,1,1,1,0,0.14,0.14,1,nan,nan,0.0,0.0
