eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
-10,20,deep_plus_surface,case_weighted_within_scenario,68,1,0.7851674478916217,0.9443324822180889,0.9913263960579279,4.9731433641958995,5.9216352557596865,12.025541351971025,10.83383090252972,0.24376545817604148,10.83383090252972,15.470588235294118,4.9731433641958995,5.9216352557596865,12.025541351971025,10.83383090252972,0.38235294117647056,nan,nan
-10,20,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.7787736602698262,0.8913216564512224,1.2742252113215498,5.6052660473852765,13.548273502122449,15.206613380392378,13.919991923583334,0.15192255252307602,13.919991923583334,17.08823529411765,5.6052660473852765,13.548273502122449,15.206613380392378,13.919991923583334,0.29411764705882354,nan,nan
-10,20,surface_only,case_weighted_within_scenario,68,1,0.9103188339497404,0.9643550679428001,0.8685771470110832,3.4339676517991906,6.231361673427743,nan,nan,0.004330037498175683,nan,18.5,3.4339676517991906,6.231361673427743,nan,nan,nan,1.0,nan
-5,-10,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.29255154228059777,nan,nan,0.0,0.0,1.0,0.0,203.125,nan,nan,0.0,0.0,1.0,nan,nan
-5,-10,deep_plus_surface,case_weighted_within_scenario,68,1,0.767103655047521,0.9628129257216991,0.8370585230820361,3.3385367201813336,6.264290204605237,15.259665545462909,14.783968373965738,0.2712323071166858,14.783968373965738,17.75,3.3385367201813336,6.264290204605237,15.259665545462909,14.783968373965738,0.29411764705882354,nan,nan
-5,-10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.797893124285644,0.9174526017102254,1.0454722814673318,4.730010826698915,14.931278589113898,18.967712805117966,17.31590586871934,0.13895845256022019,17.31590586871934,17.441176470588236,4.730010826698915,14.931278589113898,18.967712805117966,17.31590586871934,0.17647058823529413,nan,nan
-5,-10,surface_only,case_weighted_within_scenario,68,1,0.9541494787756205,0.9884836096506295,0.6421098618511919,2.2269988859374945,4.846231329350034,nan,nan,0.0024643788945573506,nan,17.86764705882353,2.2269988859374945,4.846231329350034,nan,nan,nan,1.0,nan
-5,-5,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.27244288797814553,nan,nan,0.0,0.0,1.0,0.0,263.4375,nan,nan,0.0,0.0,1.0,nan,nan
-5,-5,deep_plus_surface,case_weighted_within_scenario,68,1,0.770116863514321,0.9550541230735088,0.8469980713368924,3.6452672218755517,6.39078268522805,14.258101675297704,13.81467578305933,0.29626832086153154,13.81467578305933,15.808823529411764,3.6452672218755517,6.39078268522805,14.258101675297704,13.81467578305933,0.3382352941176471,nan,nan
-5,-5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8003769008067959,0.9217013590262114,1.0794988988936975,2.3570053661986647,14.632258075242234,16.22057534132238,14.116280160475293,0.18217656192665288,14.116280160475293,12.235294117647058,2.3570053661986647,14.632258075242234,16.22057534132238,14.116280160475293,0.2647058823529412,nan,nan
-5,-5,surface_only,case_weighted_within_scenario,68,1,0.9520036775363548,0.9843830434597791,0.6812159085118467,2.2965865698376677,4.727059473926419,nan,nan,0.002544300919893416,nan,17.426470588235293,2.2965865698376677,4.727059473926419,nan,nan,nan,1.0,nan
-5,0,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.31639104688126196,nan,nan,0.0,0.0,1.0,0.0,428.3125,nan,nan,0.0,0.0,1.0,nan,nan
-5,0,deep_plus_surface,case_weighted_within_scenario,68,1,0.792313644824497,0.9558188637481699,0.8441012200125784,4.376491579498881,6.006928008267048,11.976118597688822,11.666795718688762,0.33070271516817484,11.666795718688762,14.397058823529411,4.376491579498881,6.006928008267048,11.976118597688822,11.666795718688762,0.4264705882352941,nan,nan
-5,0,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8191789452991779,0.9141351920480473,1.0825421749355975,3.1084930225744953,14.764079185587905,14.151050296893015,13.271808536254555,0.2351543449233777,13.271808536254555,13.529411764705882,3.1084930225744953,14.764079185587905,14.151050296893015,13.271808536254555,0.3235294117647059,nan,nan
-5,0,surface_only,case_weighted_within_scenario,68,1,0.9350777858092731,0.9807141968823891,0.7135373879192617,2.578462087036857,4.631441090998669,nan,nan,0.003307083884020126,nan,17.544117647058822,2.578462087036857,4.631441090998669,nan,nan,nan,1.0,nan
-5,5,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.2908043019645644,nan,nan,0.0,0.0,1.0,0.0,358.4375,nan,nan,0.0,0.0,1.0,nan,nan
-5,5,deep_plus_surface,case_weighted_within_scenario,68,1,0.7888452835745078,0.9510112262163352,0.8891687678944303,3.909053210038068,6.767406182074286,11.605983318244071,11.227467208150403,0.32369675423755295,11.227467208150403,15.220588235294118,3.909053210038068,6.767406182074286,11.605983318244071,11.227467208150403,0.47058823529411764,nan,nan
-5,5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8199552914678938,0.9142615931571054,1.0894775188668224,3.317836187244988,11.643685053665479,14.972516897968559,13.61832683798788,0.19307510777287287,13.61832683798788,15.647058823529411,3.317836187244988,11.643685053665479,14.972516897968559,13.61832683798788,0.29411764705882354,nan,nan
-5,5,surface_only,case_weighted_within_scenario,68,1,0.9239336231802666,0.969200354901164,0.7925034648732442,2.833603846894601,6.020077491588635,nan,nan,0.004328073025360398,nan,16.529411764705884,2.833603846894601,6.020077491588635,nan,nan,nan,1.0,nan
-5,10,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.3099514722121509,nan,nan,0.0,0.0,1.0,0.0,424.8125,nan,nan,0.0,0.0,1.0,nan,nan
-5,10,deep_plus_surface,case_weighted_within_scenario,68,1,0.8166030867243216,0.9556586861435752,0.9110414631745898,4.098166860737187,7.231249014807059,9.596803391928315,9.922707334260917,0.3487567197477331,9.922707334260917,15.588235294117647,4.098166860737187,7.231249014807059,9.596803391928315,9.922707334260917,0.5294117647058824,nan,nan
-5,10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.7646914244605963,0.8934437391099593,1.1417437583631749,5.708844095021214,12.056914873494515,16.79551058040114,16.14474546823954,0.1051796090637078,16.14474546823954,18.352941176470587,5.708844095021214,12.056914873494515,16.79551058040114,16.14474546823954,0.14705882352941177,nan,nan
-5,10,surface_only,case_weighted_within_scenario,68,1,0.934716641664863,0.9741615467536512,0.7608044253378955,2.621990959761606,5.764434121546826,nan,nan,0.005177126119440886,nan,17.073529411764707,2.621990959761606,5.764434121546826,nan,nan,nan,1.0,nan
-5,15,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.30488929735198195,nan,nan,0.0,0.0,1.0,0.0,427.4375,nan,nan,0.0,0.0,1.0,nan,nan
-5,15,deep_plus_surface,case_weighted_within_scenario,68,1,0.8126957603173965,0.9532545638801057,0.9454130009243331,4.53467924324772,7.313615362311304,9.899872148541036,7.966481754393161,0.33981766634663685,7.966481754393161,16.308823529411764,4.53467924324772,7.313615362311304,9.899872148541036,7.966481754393161,0.5441176470588235,nan,nan
-5,15,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.7861770883946362,0.874297260808174,1.2286256263445392,5.803071069223786,15.488658616099247,15.86532270110677,13.013648180736544,0.16701231281511533,13.013648180736544,14.647058823529411,5.803071069223786,15.488658616099247,15.86532270110677,13.013648180736544,0.23529411764705882,nan,nan
-5,15,surface_only,case_weighted_within_scenario,68,1,0.9083729036849645,0.9664644184390141,0.8724400949721742,1.9091324118003523,5.617049723662108,nan,nan,0.004283439730003745,nan,15.5,1.9091324118003523,5.617049723662108,nan,nan,nan,1.0,nan
