subject,run,component,lock,method,n_trials,baseline_start_ms,baseline_stop_ms,window_start_ms,window_stop_ms,sensor_gfp_peak_ms,localization_available,aggregation,roi,roi_vertices,roi_mass_pct,roi_enrichment,peak_distance_to_roi_mm,peak_label,peak_hemi,roi_used_before_inverse,available_runs
sm09,pooled_1_2_3,MF_response_-80_-20ms,response,eLORETA,113,-1500.0,-1000.0,-80.0,-20.0,,True,trial_weighted_source_power_RMS,right_postcentral,117,2.078437785160113,0.834750354911741,20.59328430297865,paracentral-rh,right,False,1;2;3
sm09,pooled_1_2_3,MEFI_response_20_60ms,response,OASTER-ERP,113,-1500.0,-1000.0,20.0,60.0,,True,trial_weighted_source_power_RMS,right_precentral,147,0.0,0.0,18.10901360534062,superiorfrontal-rh,right,False,1;2;3
sm09,pooled_1_2_3,MEFI_response_20_60ms,response,OASTER-ERP,113,-1500.0,-1000.0,20.0,60.0,,True,trial_weighted_source_power_RMS,right_postcentral,117,15.493289426456684,6.222475813241022,35.06929005623241,superiorfrontal-rh,right,False,1;2;3
sm09,pooled_1_2_3,MEFI_response_20_60ms,response,dSPM,113,-1500.0,-1000.0,20.0,60.0,,True,trial_weighted_source_power_RMS,right_precentral,147,9.312928096843091,2.9769693283718155,0.0,precentral-rh,right,False,1;2;3
sm09,pooled_1_2_3,MEFI_response_20_60ms,response,dSPM,113,-1500.0,-1000.0,20.0,60.0,,True,trial_weighted_source_power_RMS,right_postcentral,117,6.679748643990174,2.68274691265896,14.878107447067968,precentral-rh,right,False,1;2;3
sm09,pooled_1_2_3,MEFI_response_20_60ms,response,eLORETA,113,-1500.0,-1000.0,20.0,60.0,,True,trial_weighted_source_power_RMS,right_precentral,147,10.218340241170663,3.266393251242242,6.218277396610623,postcentral-rh,right,False,1;2;3
sm09,pooled_1_2_3,MEFI_response_20_60ms,response,eLORETA,113,-1500.0,-1000.0,20.0,60.0,,True,trial_weighted_source_power_RMS,right_postcentral,117,8.547989474126389,3.4330771400786246,0.0,postcentral-rh,right,False,1;2;3
sm09,pooled_1_2_3,MEFII_response_120_180ms,response,OASTER-ERP,75,-1500.0,-1000.0,120.0,180.0,,True,trial_weighted_source_power_RMS,right_precentral,147,0.0,0.0,14.978703412200945,superiorfrontal-rh,right,False,1;3
sm09,pooled_1_2_3,MEFII_response_120_180ms,response,OASTER-ERP,75,-1500.0,-1000.0,120.0,180.0,,True,trial_weighted_source_power_RMS,right_postcentral,117,0.0,0.0,32.429475091288936,superiorfrontal-rh,right,False,1;3
sm09,pooled_1_2_3,MEFII_response_120_180ms,response,dSPM,113,-1500.0,-1000.0,120.0,180.0,,True,trial_weighted_source_power_RMS,right_precentral,147,6.034043161464867,1.9288414160356064,26.36727587551495,posteriorcingulate-lh,left,False,1;2;3
sm09,pooled_1_2_3,MEFII_response_120_180ms,response,dSPM,113,-1500.0,-1000.0,120.0,180.0,,True,trial_weighted_source_power_RMS,right_postcentral,117,3.120114285365601,1.2531125664045264,37.53890409934789,posteriorcingulate-lh,left,False,1;2;3
sm09,pooled_1_2_3,MEFII_response_120_180ms,response,eLORETA,113,-1500.0,-1000.0,120.0,180.0,,True,trial_weighted_source_power_RMS,right_precentral,147,6.652954132407119,2.1266824128014323,36.72363665448639,superiorfrontal-lh,left,False,1;2;3
sm09,pooled_1_2_3,MEFII_response_120_180ms,response,eLORETA,113,-1500.0,-1000.0,120.0,180.0,,True,trial_weighted_source_power_RMS,right_postcentral,117,3.856262970334582,1.548767495521556,47.56426337901854,superiorfrontal-lh,left,False,1;2;3
