source_index,original_4mm_grid_index,mni_x_mm,mni_y_mm,mni_z_mm,rest_beta_power,hold_beta_power,hold_vs_rest_db,rest_vs_hold_erd_db
61,7760,-42.0,-64.0,-56.0,2.4143195479288153e-23,2.8380958993128434e-23,0.7023231545646097,-0.7023231545646097
62,7762,-34.0,-64.0,-56.0,2.663013223908257e-23,3.171513860313791e-23,0.7589329066341726,-0.7589329066341726
63,7764,-26.000000000000007,-64.0,-56.0,2.8068413696531175e-23,3.36773006889131e-23,0.791194056357229,-0.791194056357229
64,7766,-18.0,-64.0,-56.0,2.799669763565152e-23,3.362800533341145e-23,0.7959430068193512,-0.7959430068193512
65,7768,-10.0,-64.0,-56.0,2.6365007486429874e-23,3.132103335535652e-23,0.7480818304286374,-0.7480818304286374
66,7770,-2.0,-64.0,-56.0,2.5128308852661583e-23,2.885889951359808e-23,0.601165046239986,-0.601165046239986
67,7772,6.000000000000001,-64.0,-56.0,2.4822480255200774e-23,2.826949529040364e-23,0.5647288096710694,-0.5647288096710694
68,7774,14.000000000000002,-64.0,-56.0,2.3812715757081233e-23,2.730703468506274e-23,0.5946561396328593,-0.5946561396328593
69,7776,22.0,-64.0,-56.0,2.180444435111452e-23,2.527024764027138e-23,0.6406447398636606,-0.6406447398636606
70,7778,30.000000000000004,-64.0,-56.0,2.0211643178546244e-23,2.4291703883616757e-23,0.7985635593439283,-0.7985635593439283
71,7780,38.0,-64.0,-56.0,1.938546763606032e-23,2.349443867420947e-23,0.8348879141586424,-0.8348879141586424
72,7782,46.000000000000014,-64.0,-56.0,1.627235175994128e-23,1.840671097154395e-23,0.5352586909211847,-0.5352586909211847
73,7834,-50.000000000000014,-56.0,-56.0,2.1284561094615755e-23,2.4079939240748995e-23,0.5359068767035439,-0.5359068767035439
74,7836,-42.0,-56.0,-56.0,2.3538853804400206e-23,2.774727467103613e-23,0.7143502169463762,-0.7143502169463762
75,7838,-34.0,-56.0,-56.0,2.622163456587428e-23,3.131999560106628e-23,0.7716193177698811,-0.7716193177698811
76,7840,-26.000000000000007,-56.0,-56.0,2.840978471187005e-23,3.397615453973197e-23,0.7770628069473008,-0.7770628069473008
77,7842,-18.0,-56.0,-56.0,2.950379129190002e-23,3.501488158647556e-23,0.7437483477634497,-0.7437483477634497
78,7844,-10.0,-56.0,-56.0,2.889175841650396e-23,3.376699659301569e-23,0.6771845923742341,-0.6771845923742341
79,7846,-2.0,-56.0,-56.0,2.7270143197009545e-23,3.131906995140034e-23,0.601214383514555,-0.601214383514555
80,7848,6.000000000000001,-56.0,-56.0,2.559725822366492e-23,2.903161102761526e-23,0.5467768684658671,-0.5467768684658671
81,7850,14.000000000000002,-56.0,-56.0,2.4021675751285416e-23,2.715418616307653e-23,0.5323349061075658,-0.5323349061075658
82,7852,22.0,-56.0,-56.0,2.221031553682554e-23,2.5405544037586013e-23,0.5837377086993923,-0.5837377086993923
83,7854,30.000000000000004,-56.0,-56.0,2.0528318588265293e-23,2.4134374914697207e-23,0.7028267588762559,-0.7028267588762559
84,7856,38.0,-56.0,-56.0,1.905801338511987e-23,2.278397878304063e-23,0.7755193989944592,-0.7755193989944592
85,7858,46.000000000000014,-56.0,-56.0,1.7074443600126282e-23,2.0289853755490008e-23,0.749323563941307,-0.749323563941307
86,7912,-42.0,-48.0,-56.0,2.255699653625818e-23,2.6100758654759284e-23,0.6337185803610723,-0.6337185803610723
87,7914,-34.0,-48.0,-56.0,2.4983262728841295e-23,2.948859996012026e-23,0.7200499878136895,-0.7200499878136895
88,7916,-26.000000000000007,-48.0,-56.0,2.7635971256032383e-23,3.255872517212394e-23,0.7119265956407278,-0.7119265956407278
