case_id,shape,parcel,method,eeg_snr_db,meg_snr_db,surface_true_count,surface_estimated_count,surface_dice_10pct_energy,elapsed_seconds,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,deep_sd_mm,surface_dle_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count
shape_01_eeg-10_meg+20,uniform_3hop,superiorfrontal-rh,OASTER-ERP-v4,-10,20,37,50,0.5517241379310345,4.828091299976222,0.8129948867786706,0.7353505705786032,0.7351706350500078,nan,1.0148935519572753,9.947223827673534,nan,12.798835779847707,nan,0,2.1391183268544775e-05,nan,0,0,61,50,11
shape_02_eeg-10_meg-10,thin_path,lateraloccipital-lh,OASTER-ERP-v3,-10,-10,10,17,0.14814814814814814,0.7455300000146963,0.9145,0.9726412579957356,0.9731036324786324,nan,1.6393260634212352,51.99170973574437,nan,5.1164345184078375,nan,0,0.04424289856606593,nan,0,0,25,17,8
shape_02_eeg-10_meg-10,thin_path,lateraloccipital-lh,OASTER-ERP-v4,-10,-10,10,17,0.0,7.911299800034612,0.495,0.24574893390191896,0.24508547008547013,nan,2.0000004525001556,89.44055138865725,nan,148.6857523941855,nan,0,1.4051258726626938e-05,nan,0,0,24,17,7
shape_02_eeg+05_meg+05,thin_path,lateraloccipital-lh,OASTER-ERP-v3,5,5,10,4,0.2857142857142857,0.7311642999993637,0.9591999999999998,0.9900053304904052,0.9907318376068376,nan,1.3566315324461617,6.238895410232134,nan,15.678064741129115,nan,0,0.04400894435443465,nan,0,0,19,4,15
shape_02_eeg+05_meg+05,thin_path,lateraloccipital-lh,OASTER-ERP-v4,5,5,10,5,0.26666666666666666,6.395999200001825,0.5983000000000002,0.4973480810234542,0.4974759615384616,nan,1.4015974117679,5.161188512533188,nan,14.084504055656986,nan,0,2.869023470621605e-05,nan,0,0,14,5,9
shape_02_eeg-10_meg+20,thin_path,lateraloccipital-lh,OASTER-ERP-v3,-10,20,10,11,0.19047619047619047,0.7281870999722742,0.9168500000000002,0.9868736673773988,0.9871527777777778,nan,1.714785877759111,7.454905819063507,nan,13.585738789770081,nan,0,0.6623397575867673,nan,0,1,12,11,1
shape_02_eeg-10_meg+20,thin_path,lateraloccipital-lh,OASTER-ERP-v4,-10,20,10,6,0.25,7.718188499973621,0.5982000000000001,0.5607809168443497,0.5606169871794873,nan,1.578129521302063,7.485012231910249,nan,14.084504055656986,nan,0,7.28266221035996e-06,nan,0,0,18,6,12
shape_03_eeg-10_meg-10,wide_path_plus_deep,superiorparietal-rh,OASTER-ERP-v3,-10,-10,37,1,0.0,0.8315479000448249,0.8890430971512051,0.7741544873419504,0.7695946851556019,0.2666666666666667,1.9205314412069272,119.42258057463046,19.179554019557365,125.62441476735655,20.000000377798674,1,0.047792897543448974,20.000000377798674,0,0,17,1,16
shape_03_eeg-10_meg-10,wide_path_plus_deep,superiorparietal-rh,OASTER-ERP-v4,-10,-10,37,13,0.0,7.929827700019814,0.49864864864864866,0.7607079496494044,0.780190323013001,0.0,2.0000226739062814,62.539086816171015,22.043752277998788,14.66406646144923,24.494897802791773,1,1.3858931747950201e-05,24.494897802791773,0,0,25,13,12
shape_03_eeg+05_meg+05,wide_path_plus_deep,superiorparietal-rh,OASTER-ERP-v3,5,5,37,43,0.0,0.799256999976933,0.8798027757487217,0.8899460730477879,0.8884505736134205,0.8,1.8705945785544782,10.882844971694448,14.31368259820868,26.514978250837117,9.999999399353555,1,0.04671262450201611,9.999999399353555,0,0,57,43,14
shape_03_eeg+05_meg+05,wide_path_plus_deep,superiorparietal-rh,OASTER-ERP-v4,5,5,37,8,0.044444444444444446,5.766214800009038,0.5045872899926953,0.3098582129481006,0.31416337930210064,0.2666666666666667,1.9505202815018492,8.401560017878033,9.999999399353555,14.66406646144923,9.999999399353555,1,0.6483318172141623,9.999999399353555,1,0,9,8,1
shape_03_eeg-10_meg+20,wide_path_plus_deep,superiorparietal-rh,OASTER-ERP-v3,-10,20,37,20,0.03508771929824561,0.8181546999840066,0.9461431701972243,0.91194981836614,0.9104858779165172,0.9333333333333333,1.7381556821167603,7.810651967024135,9.999999399353555,18.88757364949776,9.999999399353555,1,1.0,9.999999399353555,1,0,21,20,1
