condition,eeg_snr_db,meg_snr_db,n,auc_macro_scenario,rmse_macro_scenario,surface_sd_mm_macro_scenario,surface_dle_mm_macro_scenario,surface_sd_mm_penalized_macro_scenario,surface_dle_mm_penalized_macro_scenario,deep_sd_mm_conditional_macro_scenario,deep_dle_mm_conditional_macro_scenario,deep_sd_mm_penalized_macro_scenario,deep_dle_mm_penalized_macro_scenario,deep_sensitivity_macro_scenario,deep_specificity,deep_balanced_accuracy
EEG +5 dB / MEG +15 dB,5,15,185,0.8844291433597202,0.7768753436074847,4.0807162413739055,9.41007555565522,4.0807162413739055,9.41007555565522,5.263417238279774,4.828532787683041,5.263417238279774,4.828532787683041,0.7254901960784313,1.0,0.8627450980392157
EEG +5 dB / MEG +20 dB,5,20,185,0.8758323565590816,0.8087705389348276,4.00545046534024,9.688966257199725,4.00545046534024,9.688966257199725,5.926428490214579,5.395292148890552,5.926428490214579,5.395292148890552,0.6960784313725489,0.9852941176470589,0.8406862745098038
EEG +10 dB / MEG -10 dB,10,-10,185,0.868022434511423,0.805827456739244,3.8815821918727456,9.181129463392198,3.8815821918727456,9.181129463392198,5.183521148692253,5.21362292519595,5.183521148692253,5.21362292519595,0.7941176470588235,1.0,0.8970588235294117
EEG +10 dB / MEG -5 dB,10,-5,185,0.8925323290389607,0.7620467322368163,3.525701237644969,8.512931597540648,3.525701237644969,8.512931597540648,3.5496693679920113,3.3303608802437403,3.5496693679920113,3.3303608802437403,0.8480392156862746,1.0,0.9240196078431373
EEG +10 dB / MEG +0 dB,10,0,185,0.8966069668594854,0.7109781982205848,3.666908161465828,7.8046309210593465,3.666908161465828,7.8046309210593465,3.576499055395036,3.0721999682371712,3.576499055395036,3.0721999682371712,0.8333333333333334,0.9852941176470589,0.9093137254901962
EEG +10 dB / MEG +5 dB,10,5,185,0.9058343551979751,0.6823461503547703,3.590589572819166,6.796659756418143,3.590589572819166,6.796659756418143,3.26610325422184,3.2418855045769295,3.26610325422184,3.2418855045769295,0.8480392156862746,0.9852941176470589,0.9166666666666667
EEG +10 dB / MEG +10 dB,10,10,185,0.9126742198314155,0.6882030724598138,3.3827022059575502,6.762968464416016,3.3827022059575502,6.762968464416016,3.173767298913224,3.1720241916878478,3.173767298913224,3.1720241916878478,0.8284313725490197,0.9852941176470589,0.9068627450980393
EEG +10 dB / MEG +15 dB,10,15,185,0.8997277028427134,0.73609514581001,3.155487061674691,7.486202781586364,3.155487061674691,7.486202781586364,3.716617891329351,3.143531293771724,3.716617891329351,3.143531293771724,0.7892156862745098,1.0,0.8946078431372548
EEG +10 dB / MEG +20 dB,10,20,185,0.889021585438716,0.7751749523540584,3.770309146769146,9.25250604885661,3.770309146769146,9.25250604885661,5.278091468056823,4.897856985500667,5.278091468056823,4.897856985500667,0.7303921568627451,1.0,0.8651960784313726
EEG +15 dB / MEG -10 dB,15,-10,185,0.864546108392094,0.8342606198599007,4.648835244359546,8.650712922720976,4.648835244359546,8.650712922720976,6.0435270117643425,5.986717669095089,6.0435270117643425,5.986717669095089,0.7696078431372548,0.9852941176470589,0.8774509803921569
EEG +15 dB / MEG -5 dB,15,-5,185,0.871443525571426,0.8087020575844641,4.048502771676838,9.254033769586393,4.048502771676838,9.254033769586393,4.876232563830537,4.707120347542372,4.876232563830537,4.707120347542372,0.8137254901960785,1.0,0.9068627450980393
EEG +15 dB / MEG +0 dB,15,0,185,0.8963237097525953,0.7608248270971631,3.6731560814454727,8.392566875909152,3.6731560814454727,8.392566875909152,3.5778934349455462,3.332969279608582,3.5778934349455462,3.332969279608582,0.8480392156862745,1.0,0.9240196078431373
EEG +15 dB / MEG +5 dB,15,5,185,0.8995572708770908,0.7142038602185039,3.4381862722912815,8.320033679286949,3.4381862722912815,8.320033679286949,3.2823292556830075,2.884365548271038,3.2823292556830075,2.884365548271038,0.857843137254902,0.9852941176470589,0.9215686274509804
EEG +15 dB / MEG +10 dB,15,10,185,0.90718844984007,0.6823456938240119,3.807049940976395,6.3251797686417985,3.807049940976395,6.3251797686417985,2.9213205496946735,2.8928119071630607,2.9213205496946735,2.8928119071630607,0.8627450980392157,0.9705882352941176,0.9166666666666667
EEG +15 dB / MEG +15 dB,15,15,185,0.9125988615554064,0.6924257442132038,3.517546982874132,7.443560340748287,3.517546982874132,7.443560340748287,3.0948828081704782,2.913567376911228,3.0948828081704782,2.913567376911228,0.823529411764706,0.9558823529411765,0.8897058823529412
EEG +15 dB / MEG +20 dB,15,20,185,0.8969608061236284,0.741803167866396,3.0304726428085185,7.486202781586364,3.0304726428085185,7.486202781586364,3.7606838876489044,3.1925508971677083,3.7606838876489044,3.1925508971677083,0.7892156862745098,0.9852941176470589,0.8872549019607843
EEG +20 dB / MEG -10 dB,20,-10,185,0.8558881750528099,0.8386195234867051,4.668014572008063,8.300815462509798,4.668014572008063,8.300815462509798,6.317160189274819,6.1215068384266,6.317160189274819,6.1215068384266,0.7598039215686274,0.9852941176470589,0.8725490196078431
EEG +20 dB / MEG -5 dB,20,-5,185,0.8531060663398714,0.8442885386064902,4.652650016117224,8.29200390418252,4.652650016117224,8.29200390418252,6.421920946627679,6.138352982988027,6.421920946627679,6.138352982988027,0.7598039215686274,0.9852941176470589,0.8725490196078431
EEG +20 dB / MEG +0 dB,20,0,185,0.8768987962095897,0.7974657445825314,3.826116169807903,8.96898060311972,3.826116169807903,8.96898060311972,4.643872049036493,4.293932210615769,4.643872049036493,4.293932210615769,0.8333333333333334,0.9852941176470589,0.9093137254901962
EEG +20 dB / MEG +5 dB,20,5,185,0.8953702246882145,0.7620795036815532,3.89179830240259,8.302968817027367,3.89179830240259,8.302968817027367,3.6762940948312255,3.5896392946649844,3.6762940948312255,3.5896392946649844,0.8480392156862745,1.0,0.9240196078431373
EEG +20 dB / MEG +10 dB,20,10,185,0.8998124950486226,0.7175119008120796,3.301093358704602,8.303091856759695,3.301093358704602,8.303091856759695,3.3723465386042517,2.7446447664100027,3.3723465386042517,2.7446447664100027,0.8529411764705883,0.9852941176470589,0.9191176470588236
EEG +20 dB / MEG +15 dB,20,15,185,0.9058552312239206,0.6874285380501978,3.6809583222991193,6.27230010801804,3.6809583222991193,6.27230010801804,3.181413376277007,3.1310694441877334,3.181413376277007,3.1310694441877334,0.8627450980392157,0.9852941176470589,0.9240196078431373
EEG +20 dB / MEG +20 dB,20,20,185,0.9142032276449483,0.6884079162860803,3.275757341801015,6.788588735427147,3.275757341801015,6.788588735427147,3.048254262139521,3.034887028759293,3.048254262139521,3.034887028759293,0.8284313725490197,0.9705882352941176,0.8995098039215687
