subject,run,method,n_trials,band_hz,baseline_ms,movement_ms,roi,roi_mass_pct,roi_enrichment,peak_distance_to_roi_mm,peak_positive_erd_db,peak_label,peak_hemi,ground_truth_available,limitation
sm09,2,MNE,38,15-30,-1500:-1000,-400:200,right_postcentral,1.3416083207013831,0.53882200845947,22.479566157294414,1.3216301308412195,precentral-rh,right,False,
sm09,2,dSPM,38,15-30,-1500:-1000,-400:200,right_precentral,18.955370238992515,6.059271071634409,0.0,1.3216301308420142,precentral-rh,right,False,
sm09,2,dSPM,38,15-30,-1500:-1000,-400:200,right_postcentral,1.3416083206994363,0.5388220084586882,22.479566157294414,1.3216301308420142,precentral-rh,right,False,
sm09,2,sLORETA,38,15-30,-1500:-1000,-400:200,right_precentral,18.955370238988404,6.059271071633096,0.0,1.321630130841571,precentral-rh,right,False,
sm09,2,sLORETA,38,15-30,-1500:-1000,-400:200,right_postcentral,1.3416083207002798,0.538822008459027,22.479566157294414,1.321630130841571,precentral-rh,right,False,
sm09,2,eLORETA,38,15-30,-1500:-1000,-400:200,right_precentral,15.211060556666759,4.862365548012048,50.6357742355829,1.2406729550392572,superiorparietal-lh,left,False,
sm09,2,eLORETA,38,15-30,-1500:-1000,-400:200,right_postcentral,1.3749821661784134,0.5522257434933645,51.870572957538215,1.2406729550392572,superiorparietal-lh,left,False,
sm09,3,DICS,37,15-30,-1500:-1000,-400:200,right_precentral,23.759389463609647,7.594923203367466,8.10767236816369,1.1979124444104892,postcentral-rh,right,False,
sm09,3,DICS,37,15-30,-1500:-1000,-400:200,right_postcentral,26.67850067742035,10.714724331897283,0.0,1.1979124444104892,postcentral-rh,right,False,
sm09,3,LCMV,37,15-30,-1500:-1000,-400:200,right_precentral,24.64312632595552,7.877418408548639,0.0,1.2220531112144504,precentral-rh,right,False,
sm09,3,LCMV,37,15-30,-1500:-1000,-400:200,right_postcentral,30.02194180162197,12.057530301352278,8.616614922711808,1.2220531112144504,precentral-rh,right,False,
sm09,3,MNE,37,15-30,-1500:-1000,-400:200,right_precentral,17.616216432601302,5.631197348081192,50.6357742355829,1.5134947785511124,superiorparietal-lh,left,False,
sm09,3,MNE,37,15-30,-1500:-1000,-400:200,right_postcentral,5.346334906860177,2.1472160450714504,51.870572957538215,1.5134947785511124,superiorparietal-lh,left,False,
sm09,3,dSPM,37,15-30,-1500:-1000,-400:200,right_precentral,17.6162164325947,5.631197348079082,50.6357742355829,1.5134947785525448,superiorparietal-lh,left,False,
sm09,3,dSPM,37,15-30,-1500:-1000,-400:200,right_postcentral,5.346334906849457,2.147216045067145,51.870572957538215,1.5134947785525448,superiorparietal-lh,left,False,
sm09,3,sLORETA,37,15-30,-1500:-1000,-400:200,right_precentral,17.61621643259924,5.631197348080533,50.6357742355829,1.5134947785527224,superiorparietal-lh,left,False,
sm09,3,sLORETA,37,15-30,-1500:-1000,-400:200,right_postcentral,5.346334906859564,2.147216045071205,51.870572957538215,1.5134947785527224,superiorparietal-lh,left,False,
sm09,3,eLORETA,37,15-30,-1500:-1000,-400:200,right_precentral,14.447279350476322,4.618215351557022,50.6357742355829,1.4717119235492024,superiorparietal-lh,left,False,
sm09,3,eLORETA,37,15-30,-1500:-1000,-400:200,right_postcentral,5.689304489799667,2.284960837399029,51.870572957538215,1.4717119235492024,superiorparietal-lh,left,False,
sm09,pooled_1_2_3,DICS,113,15-30,-1500:-1000,-400:200,right_precentral,54.71469571597248,17.490092188391476,14.785998004122302,0.7269128158086064,superiorparietal-rh,right,False,
sm09,pooled_1_2_3,DICS,113,15-30,-1500:-1000,-400:200,right_postcentral,10.570935539211892,4.245540692201425,5.609517668170545,0.7269128158086064,superiorparietal-rh,right,False,
sm09,pooled_1_2_3,LCMV,113,15-30,-1500:-1000,-400:200,right_precentral,47.452309446197305,15.168598781474905,0.0,0.8337807638687208,precentral-rh,right,False,
sm09,pooled_1_2_3,LCMV,113,15-30,-1500:-1000,-400:200,right_postcentral,13.33132075137798,5.354177453908131,8.616614922711808,0.8337807638687208,precentral-rh,right,False,
sm09,pooled_1_2_3,MNE,113,15-30,-1500:-1000,-400:200,right_precentral,13.805502966005347,4.413065199813547,50.6357742355829,1.6757337846186675,superiorparietal-lh,left,False,
sm09,pooled_1_2_3,MNE,113,15-30,-1500:-1000,-400:200,right_postcentral,2.5005080458920514,1.0042638724484403,51.870572957538215,1.6757337846186675,superiorparietal-lh,left,False,
sm09,pooled_1_2_3,dSPM,113,15-30,-1500:-1000,-400:200,right_precentral,13.805502965999196,4.413065199811579,50.6357742355829,1.6757337846203717,superiorparietal-lh,left,False,
