source_index,hemisphere,vertex,x_m,y_m,z_m,label,beta_pmbr_db
4214,right,120380,0.03749063835918334,0.054684619001171095,0.07913014186436043,rostralmiddlefrontal-rh,1.0168857222679164
4215,right,120607,-0.0017040725795190916,0.045070236661308605,0.05993443185979057,unknown,0.40102133231660414
4216,right,120688,0.04813011593899186,0.04351526490621513,0.05350987960974709,parsopercularis-rh,0.4563657548755401
4217,right,120737,0.027634731245735088,0.04156527766618734,0.049991664037365754,insula-rh,0.35419726709903576
4218,right,120794,0.03257113858446055,0.03787722286125879,0.043610156680627454,insula-rh,0.4209000096390178
4219,right,120849,0.023314983035670023,0.03435853577170517,0.03689673957797462,insula-rh,0.4125781277163671
4220,right,120881,0.01039273761047668,0.033086786820753084,0.0360583533195602,insula-rh,0.4294220088214913
4221,right,120932,0.029391605548835877,0.032365773176932164,0.03267908703855724,insula-rh,0.4096468766783037
4222,right,121064,0.05030288189429774,0.028432391953854597,0.023448267909347044,middletemporal-rh,0.40520233902162694
4223,right,121125,0.025983547165948237,0.025889726494250212,0.019894122111132097,fusiform-rh,0.30232163404111106
4224,right,121159,0.02037727371251246,0.02572837359210982,0.0183465696263468,entorhinal-rh,0.2730612711884599
4225,right,121180,0.04007947844328299,0.024638601505319897,0.015559738430615063,inferiortemporal-rh,0.3276395902168406
4226,right,121288,0.024137762860332073,0.06103131830839782,0.08883596881336779,superiorfrontal-rh,0.9790411692529639
4227,right,121363,0.010755383828217913,0.05747234628859729,0.08349531343427045,superiorfrontal-rh,0.20870358891825305
4228,right,121416,0.032537411170708054,0.05533566506297603,0.0784313982235508,rostralmiddlefrontal-rh,0.9705853948895835
4229,right,121419,0.021991901895467948,0.0546374982691739,0.07783860801108375,rostralmiddlefrontal-rh,0.519571262678844
4230,right,121514,0.04632176740409564,0.05249598089064261,0.07193891252676862,rostralmiddlefrontal-rh,0.7567378515174438
4231,right,121547,0.023256651543289868,0.05192948905164277,0.07055747712182231,rostralmiddlefrontal-rh,0.4917537027941141
4232,right,121697,0.03792335435546712,0.04521018559424485,0.05593785763763709,parsopercularis-rh,0.4115476054599285
4233,right,121719,0.026049568790457094,0.044490090405514424,0.055370645756639005,insula-rh,0.411511976494307
4234,right,121751,0.04585661143330117,0.04325263360995055,0.05196701079316375,parsopercularis-rh,0.410736825522439
4235,right,121776,0.003230415740651769,0.04021866710990257,0.04680501566749816,unknown,0.411455236099816
4236,right,121778,0.030241840026212437,0.04040124568935921,0.046801271227219526,insula-rh,0.3736548498257942
4237,right,121826,0.0489707772934995,0.0364867069186606,0.03776765305836476,superiortemporal-rh,0.27154263193663525
4238,right,121836,0.03228361547990638,0.035552479396446346,0.03679670630828251,insula-rh,0.43879597756076366
4239,right,121842,0.02583453850758691,0.0354196307823446,0.036868977074989095,insula-rh,0.4318038655239617
4240,right,121853,0.00785876011018829,0.03561798905321866,0.0354723874493621,insula-rh,0.5011657592717711
4241,right,121865,0.027748934302332964,0.03470299767165465,0.036398795762618584,insula-rh,0.4225884769875833
4242,right,121899,0.0316887136960958,0.03434801891280804,0.03403022182070543,insula-rh,0.43265493320073883
4243,right,121947,0.030531368545660364,0.032891113297004504,0.031143701831591077,insula-rh,0.4250985624095079
4244,right,121965,0.04196853216037793,0.03290040157331461,0.03009974490750052,superiortemporal-rh,0.43451870219151045
4245,right,121984,0.03332315822937636,0.03170471913879587,0.029926161311649824,insula-rh,0.4321893513250431
4246,right,122010,0.035634869180343705,0.031344316361208484,0.027839782957465736,superiortemporal-rh,0.43998130358731696
4247,right,122248,0.006955315275023216,0.06185466730127273,0.09045102924680726,superiorfrontal-rh,0.36633713361058867
4248,right,122299,0.013801368775919578,0.060659557783141624,0.08729222943405121,superiorfrontal-rh,0.6358270874611306
4249,right,122454,0.0038706555315442264,0.054566107166301184,0.07600371093075756,caudalanteriorcingulate-rh,0.3441228306288528
4250,right,122561,0.038819918674180234,0.05332673805986571,0.07106699427021854,rostralmiddlefrontal-rh,0.7325000451425231
4251,right,122565,0.02967772802548386,0.05221135467839948,0.07055773414568062,rostralmiddlefrontal-rh,0.6440258838008728
4252,right,122572,0.04918978332683085,0.05243889136915547,0.06947315057701975,rostralmiddlefrontal-rh,0.7265667547310659
4253,right,122622,0.04219250471080745,0.050580757016221736,0.06633847315953394,rostralmiddlefrontal-rh,0.6146308440170004
4254,right,122642,0.03627287403018008,0.049928773552687086,0.06378708819033321,rostralmiddlefrontal-rh,0.545318980658104
4255,right,122655,0.04166139668942979,0.04869102666869621,0.061390533117768264,parsopercularis-rh,0.5151820206618559
4256,right,122671,0.04851818833479327,0.04798934621161524,0.05981936734319852,parsopercularis-rh,0.5434633890939967
4257,right,122836,0.03256124015068774,0.03763185497200164,0.038947230584102946,insula-rh,0.455228927071178
4258,right,122883,0.02960837652450414,0.03525093902113864,0.0353200394187883,insula-rh,0.4354255967850536
4259,right,123204,0.02497525403561456,0.024461905315129397,0.012889678918726263,fusiform-rh,0.2811060383034085
4260,right,123210,0.030706611414765283,0.02450212758241148,0.011312954524904795,inferiortemporal-rh,0.31501769732384416
4261,right,123243,0.009764426149989989,0.0634710480013416,0.09099644588758504,superiorfrontal-rh,0.42292217399006854
4262,right,123324,0.004449173526354478,0.06055378254462826,0.08474044553449968,superiorfrontal-rh,0.36463775333142273
4263,right,123377,0.03774311518955381,0.05867209439066316,0.07934956726518996,rostralmiddlefrontal-rh,0.8456282263374023
4264,right,123395,0.011702265624456542,0.0570791915331023,0.07805645627204871,superiorfrontal-rh,0.2194182637501174
4265,right,123415,0.042298000771580115,0.05728271429550515,0.07694960906733359,rostralmiddlefrontal-rh,0.7552493340832349
4266,right,123463,0.00812053924370748,0.05546870711598252,0.07397523454152946,caudalanteriorcingulate-rh,0.2961046273645019
4267,right,123497,0.03547522551694036,0.055568243931424205,0.07273901666976493,rostralmiddlefrontal-rh,0.7751135393901714
4268,right,123559,0.0031255747216930928,0.052812301829519695,0.06869847283754738,caudalanteriorcingulate-rh,0.3545485303073992
4269,right,123602,0.003974151307266286,0.050516261890771366,0.0648237763165001,caudalanteriorcingulate-rh,0.3753697665446226
4270,right,123809,0.028114755054338216,0.037830947490457914,0.036551867786560624,insula-rh,0.4625520337319714
4271,right,123816,0.011842435984549975,0.03686412930973064,0.03573879633291021,lateralorbitofrontal-rh,0.49279864818836255
4272,right,123825,0.03031912595582197,0.0364849549021366,0.036255493228679964,insula-rh,0.449380758878469
4273,right,123902,-0.0003682789559122374,0.033213336546177155,0.03139605923179974,unknown,0.5092842155472758
4274,right,123942,0.03968577056048885,0.032941410838699114,0.027390025549622478,superiortemporal-rh,0.4464410238720902
4275,right,123953,0.029039671508231113,0.03262121279544376,0.0271745363837371,insula-rh,0.42534312974459776
4276,right,124011,0.039847724930738564,0.03129710756324533,0.023255321205166428,middletemporal-rh,0.43078468689496285
4277,right,124033,0.03347243146959111,0.030647871778167288,0.021513221016192616,middletemporal-rh,0.42775300984840503
4278,right,124046,0.019486000418314428,0.029573024814317096,0.020169333872911564,entorhinal-rh,0.28785129002467524
4279,right,124061,0.042085536049779784,0.029168288489635666,0.016901647641930195,inferiortemporal-rh,0.3800013426138217
4280,right,124200,0.01944395595119391,0.0632703753748193,0.08793494867721918,superiorfrontal-rh,0.7214687568158019
4281,right,124232,0.028502924725273292,0.06193511150675991,0.08559058413441864,superiorfrontal-rh,0.9723414450217981
4282,right,124303,0.02665980271024223,0.05898200694672709,0.07802234985816023,rostralmiddlefrontal-rh,0.6834838704272983
4283,right,124585,0.04955215345152015,0.04882891316631369,0.055592672367853,parsopercularis-rh,0.5807561702360811
4284,right,124654,0.0013918326974830548,0.04397359042344916,0.049378735229566574,unknown,0.41619017136631176
4285,right,124693,0.03384002350723784,0.041784682945410295,0.042376886867879125,insula-rh,0.43168375790428765
4286,right,124699,0.002516626319662223,0.04077509433005032,0.04081962999291194,rostralanteriorcingulate-rh,0.4445641206683112
4287,right,124716,0.03061887540177245,0.039540225824043054,0.03788215543261214,insula-rh,0.46909935177338347
4288,right,124742,0.02451967259759657,0.03873833333598825,0.03547070650223179,insula-rh,0.4810470468300999
4289,right,124775,0.022901752310722938,0.03816890243482812,0.034155435720631996,insula-rh,0.4900174784864125
4290,right,124817,0.043770521646656506,0.03515496139054954,0.029048249929318055,superiortemporal-rh,0.43392862721522857
4291,right,124892,0.04638812597701662,0.032470559781960354,0.02233207984561209,middletemporal-rh,0.43243107567635775
4292,right,124905,0.025964666332822774,0.03243297882125715,0.022853714140384576,temporalpole-rh,0.37861483114995836
4293,right,124931,0.021837090862849195,0.03165420519229593,0.020601135763153727,temporalpole-rh,0.3025387079834288
4294,right,125042,0.005233835024275232,0.06655113643743261,0.09345375590653247,superiorfrontal-rh,0.23857399902464563
4295,right,125261,0.04489803943624513,0.05765549651965382,0.07278224106979143,rostralmiddlefrontal-rh,0.7472062776137071
4296,right,125284,0.012566386812597712,0.05636896782468952,0.07218942659721933,superiorfrontal-rh,0.2726157678738607
4297,right,125458,0.04456333509644585,0.050017957484327094,0.05645214478132215,parsopercularis-rh,0.4865544377682131
4298,right,125484,0.03585945718957878,0.04857398793302531,0.05435724424121599,parstriangularis-rh,0.4356390035584109
4299,right,125546,0.02931705639687429,0.044229551628001726,0.046855333653843735,insula-rh,0.37937895225056467
4300,right,125628,0.004110826678069708,0.03895580070946779,0.03631797405934189,medialorbitofrontal-rh,0.5033091803313497
4301,right,125657,0.04840898238275392,0.03870821285084787,0.03426942542840346,superiortemporal-rh,0.3259895585861155
4302,right,125732,0.03171244186558974,0.03428831708099443,0.024766553536492673,superiortemporal-rh,0.452727794025309
4303,right,125737,0.0450328016198394,0.034739633111921686,0.024184063429278577,middletemporal-rh,0.4401103061243351
4304,right,126012,0.006423693948960928,0.062168618345851204,0.08120648785733543,superiorfrontal-rh,0.3125461169983145
4305,right,126093,0.041260511931282835,0.05945622606497346,0.07354157828138434,rostralmiddlefrontal-rh,0.6888471273466406
4306,right,126129,0.026116800232109848,0.057240229731353745,0.07269485005117808,rostralmiddlefrontal-rh,0.5363457348543054
4307,right,126211,0.044957184254292216,0.05576119073417224,0.06657454935516816,rostralmiddlefrontal-rh,0.6809239136140327
4308,right,126248,0.0021965905732693456,0.05317104049329173,0.06181979180028707,caudalanteriorcingulate-rh,0.36353299299576586
4309,right,126267,0.04976401621226222,0.05324693901230648,0.061025425195408434,parsopercularis-rh,0.5918822187638398
4310,right,126366,0.02787008968138546,0.048103630732449484,0.05032399716225319,lateralorbitofrontal-rh,0.4016547865626004
4311,right,126385,0.04119222276872496,0.04717274160444204,0.04839822606150849,parstriangularis-rh,0.39309393100674833
4312,right,126690,0.02518390430928372,0.030542255194215988,0.015714492432110812,fusiform-rh,0.29783391779100576
4313,right,126694,0.030166503466297092,0.02961090833100338,0.014327905165523623,inferiortemporal-rh,0.3462351836337631
4314,right,126755,0.02550556455236662,0.06690084584321944,0.08854509276639345,superiorfrontal-rh,0.8303607549520566
4315,right,126782,0.007926052779326983,0.0661046029908374,0.08703408064976836,superiorfrontal-rh,0.28383559376858064
4316,right,126872,0.03301742770647026,0.06285663297712944,0.07933345994552435,rostralmiddlefrontal-rh,0.8022246612482008
4317,right,126890,0.02847703510216049,0.06197364038064411,0.07762680124287322,rostralmiddlefrontal-rh,0.6740802112458081
4318,right,126989,0.005567398930615381,0.05711941028565892,0.07050790118637165,caudalanteriorcingulate-rh,0.30836622932156904
4319,right,127010,0.043373774122503185,0.05838027158356218,0.06811143008907602,rostralmiddlefrontal-rh,0.7001346330841939
4320,right,127027,0.0305788643786338,0.05706028454128044,0.06726570285753894,rostralmiddlefrontal-rh,0.5570048385534722
4321,right,127046,0.02381200980348276,0.056370791345186355,0.06612706857357692,rostralmiddlefrontal-rh,0.4198663996372959
4322,right,127096,0.04431381672875133,0.054241559141496545,0.06079766351589513,parsopercularis-rh,0.5828998504934043
4323,right,127128,0.02816933839341825,0.05155135479424319,0.05661296402139961,parstriangularis-rh,0.4363948532358701
4324,right,127135,0.03264556139669669,0.05066898024706672,0.0555844474894378,parstriangularis-rh,0.4464946410490002
4325,right,127154,0.026657159371393353,0.05043704093923286,0.05359648741797971,insula-rh,0.41718225471313625
4326,right,127169,-0.0020126552604244267,0.049538662303537095,0.05252656538093211,unknown,0.39957499158112425
4327,right,127283,0.028636191521979753,0.044648014943313385,0.04223513643197957,insula-rh,0.4277887928456977
4328,right,127312,0.00804851273225767,0.04242300216908229,0.03839421436167728,lateralorbitofrontal-rh,0.49018447493828693
4329,right,127321,0.02671128069483141,0.0427501963395064,0.037155379065368976,insula-rh,0.48501820771252907
4330,right,127371,0.0006364792678973667,0.03950708629199498,0.03331845404959862,medialorbitofrontal-rh,0.5031611360940472
4331,right,127379,0.016559769314543542,0.03996596502286205,0.03294363740989621,lateralorbitofrontal-rh,0.5407220816417162
4332,right,127405,0.01943601274053868,0.038614486942053536,0.031231295797602553,lateralorbitofrontal-rh,0.5480268644764946
4333,right,127521,0.027270714272840252,0.03311541254816573,0.018489197928703495,inferiortemporal-rh,0.3690732429221939
4334,right,127576,0.00970523837622199,0.06988488510304659,0.09345808644416967,superiorfrontal-rh,0.2212023707006541
