case_id,scenario,eeg_snr_db,meg_snr_db,gate_score,gate_eeg_score,gate_meg_score,gate_threshold,deep_present_decision,selected_deep_index,secondary_surface_score,surface_threshold,surface_present_decision,null_converged,full_converged,selection_surface_converged,final_surface_converged,all_converged,status,error,elapsed_seconds
erp-v6-hierarchical-v1-surface-calibration-041-eeg+20-meg-10,deep_only,20,-10,0.6279560085650799,0.8244139259181581,0.038582256505845125,0.09002687749433512,1,7499,0.0,,,1,1,1,,1,ok,,167.03699000005145
erp-v6-hierarchical-v1-surface-calibration-042-eeg+20-meg-10,deep_only,20,-10,0.4878577782916546,0.5899049067430178,0.1817163929375652,0.09002687749433512,1,7505,0.0,,,1,1,1,,1,ok,,131.30036280001514
erp-v6-hierarchical-v1-surface-calibration-043-eeg+20-meg-10,deep_only,20,-10,0.6563224308894636,0.8515470998343204,0.07064842405489313,0.09002687749433512,1,7498,0.0,,,1,1,1,,1,ok,,87.04046380001819
erp-v6-hierarchical-v1-surface-calibration-044-eeg+20-meg-10,deep_only,20,-10,0.6152520333641659,0.8181281680246254,0.006623629382787404,0.09002687749433512,1,7508,0.0,,,1,1,1,,1,ok,,151.80393039999763
erp-v6-hierarchical-v1-surface-calibration-045-eeg+20-meg-10,deep_only,20,-10,0.6371753901522083,0.8261280241719028,0.07031748809312464,0.09002687749433512,1,7498,0.0,,,1,1,1,,1,ok,,109.10515499999747
erp-v6-hierarchical-v1-surface-calibration-046-eeg+20-meg-10,deep_only,20,-10,0.5458687305867166,0.7217312394238427,0.01828120407533859,0.09002687749433512,1,7507,0.0,,,1,1,1,,1,ok,,493.66882089996943
erp-v6-hierarchical-v1-surface-calibration-047-eeg+20-meg-10,deep_only,20,-10,0.36129168032920445,0.45108740141570786,0.09190451706969419,0.09002687749433512,1,7505,0.0,,,1,1,1,,1,ok,,181.99871949997032
erp-v6-hierarchical-v1-surface-calibration-048-eeg+20-meg-10,deep_only,20,-10,0.5227643463661956,0.6853979570007206,0.034863514462620454,0.09002687749433512,1,7508,-0.027484447038456886,,,1,1,1,,1,ok,,184.36105649999809
erp-v6-hierarchical-v1-surface-calibration-049-eeg+20-meg-10,deep_only,20,-10,0.47859522760807494,0.6203311101156358,0.053387580085392516,0.09002687749433512,1,7503,0.0,,,1,1,1,,1,ok,,140.6403897999553
erp-v6-hierarchical-v1-surface-calibration-050-eeg+20-meg-10,deep_only,20,-10,0.5144868956658656,0.6746198185678963,0.034088126959773445,0.09002687749433512,1,7499,0.0,,,1,1,1,,1,ok,,209.9098721999908
erp-v6-hierarchical-v1-surface-calibration-051-eeg+20-meg-10,deep_only,20,-10,0.33963088080866594,0.3989923456057714,0.16154648641734956,0.09002687749433512,1,7511,0.0,,,1,1,1,,1,ok,,95.11417920002714
erp-v6-hierarchical-v1-surface-calibration-052-eeg+20-meg-10,deep_only,20,-10,0.6302072732514764,0.8055503639838257,0.10417800105442804,0.09002687749433512,1,7498,0.0,,,1,1,1,,1,ok,,152.71829689998413
erp-v6-hierarchical-v1-surface-calibration-053-eeg+20-meg-10,deep_only,20,-10,0.5506535138599312,0.7183321229262742,0.04761768666090236,0.09002687749433512,1,7499,-0.014319436300176014,,,1,1,1,,1,ok,,202.69380900001852
erp-v6-hierarchical-v1-surface-calibration-054-eeg+20-meg-10,deep_only,20,-10,0.5422369612614608,0.6601971047594863,0.1883565307673844,0.09002687749433512,1,7505,0.0,,,1,1,1,,1,ok,,234.96125490003033
erp-v6-hierarchical-v1-surface-calibration-055-eeg+20-meg-10,deep_only,20,-10,,,,0.09002687749433512,,,,,,0,1,,,0,error,RuntimeError: 一级 H0/H1 模型没有全部到达固定点,255.1951722999802
erp-v6-hierarchical-v1-surface-calibration-056-eeg+20-meg-10,deep_only,20,-10,0.40121615040451547,0.49539491967479043,0.11867984259369065,0.09002687749433512,1,7511,0.0,,,1,1,1,,1,ok,,170.2397595999646
