metric,scenario,comparison,analysis_unit,configuration_count,mean_difference,mean_difference_ci95_low,mean_difference_ci95_high,median_difference,cohen_dz,wins,ties,losses,wilcoxon_statistic,wilcoxon_p,holm_adjusted_p
auc_tie_corrected,deep_only,OASTER-ERP - dSPM,source configuration (49 SNR cells averaged),30,0.004231757923454219,0.002673618562292512,0.006005981921585316,0.002234222585613621,0.8844605468846299,29,0,1,4.0,1.30385160446167e-08,6.51925802230835e-08
auc_tie_corrected,deep_only,OASTER-ERP - sLORETA,source configuration (49 SNR cells averaged),30,0.001760757544066475,0.0013373553867174232,0.002194017897322668,0.001815220963934605,1.4678774837460513,28,0,2,8.0,4.6566128730773926e-08,1.862645149230957e-07
auc_tie_corrected,deep_only,OASTER-ERP - eLORETA,source configuration (49 SNR cells averaged),30,0.017790931093587415,0.014559126991672463,0.021166660328446524,0.01697669617560843,1.9026185138935847,30,0,0,0.0,1.862645149230957e-09,1.30385160446167e-08
auc_tie_corrected,deep_only,OASTER-ERP - LCMV,source configuration (49 SNR cells averaged),30,-1.1589888184741307e-05,-0.00023891241575829843,0.00019372769738803893,3.5992035573639836e-05,-0.018936810548346606,16,0,14,213.0,0.6883514902795522,0.6883514902795522
auc_tie_corrected,deep_only,OASTER-ERP - Dipole fitting (grid),source configuration (49 SNR cells averaged),30,0.013252991866252712,0.00989581663891433,0.01637669536069454,0.014249450612136338,1.4136403343082096,23,0,7,28.0,2.7623027563095093e-06,8.286908268928528e-06
auc_tie_corrected,deep_only,OASTER-ERP - RAP-MUSIC,source configuration (49 SNR cells averaged),30,0.010871496209291676,0.008093821050315527,0.013801827399401152,0.010065546250444812,1.3371972368280773,23,0,7,28.0,2.7623027563095093e-06,8.286908268928528e-06
auc_tie_corrected,deep_plus_surface,OASTER-ERP - MNE,source configuration (49 SNR cells averaged),136,0.07724164518344108,0.06769653767970878,0.08651043111735035,0.07079744423548345,1.3619275231609131,131,0,5,276.0,1.7575530750781597e-21,7.030212300312639e-21
auc_tie_corrected,deep_plus_surface,OASTER-ERP - dSPM,source configuration (49 SNR cells averaged),136,0.05338859546277047,0.0458129906658383,0.06077922651250388,0.05226818966392527,1.1997204715767764,129,0,7,432.0,4.326706496892461e-20,4.337855937154628e-20
auc_tie_corrected,deep_plus_surface,OASTER-ERP - sLORETA,source configuration (49 SNR cells averaged),136,0.06755977767573466,0.05751641304621026,0.07783876208652166,0.06237869155963538,1.1194871683332868,126,0,10,395.0,2.044768966476468e-20,4.337855937154628e-20
auc_tie_corrected,deep_plus_surface,OASTER-ERP - eLORETA,source configuration (49 SNR cells averaged),136,0.06560508077991441,0.056301361019713156,0.07465339444265608,0.06025163466030797,1.185387962172705,127,0,9,378.0,1.4459519790515427e-20,4.337855937154628e-20
auc_tie_corrected,deep_plus_surface,OASTER-ERP - LCMV,source configuration (49 SNR cells averaged),136,0.27682811504666616,0.2435119650588757,0.3106613139225707,0.2177443058572367,1.372835005585906,133,0,3,18.0,6.849818426540567e-24,3.424909213270283e-23
auc_tie_corrected,deep_plus_surface,OASTER-ERP - Dipole fitting (grid),source configuration (49 SNR cells averaged),136,0.4485554916625895,0.4422714739959613,0.45426584656497915,0.45439509843321546,12.40558108600851,136,0,0,0.0,4.597822277805021e-24,3.2184755944635145e-23
auc_tie_corrected,deep_plus_surface,OASTER-ERP - RAP-MUSIC,source configuration (49 SNR cells averaged),136,0.44140475551518316,0.43472240770950205,0.44739161683975043,0.4479003364855464,11.86099381117163,136,0,0,0.0,4.597822277805021e-24,3.2184755944635145e-23
auc_tie_corrected,deep_plus_two_surface,OASTER-ERP - MNE,source configuration (49 SNR cells averaged),67,0.05559171559995467,0.039675236512211456,0.07109884540013282,0.06377194722053914,0.8450399814917645,52,0,15,281.0,8.339622833531588e-08,3.335849133412635e-07
auc_tie_corrected,deep_plus_two_surface,OASTER-ERP - dSPM,source configuration (49 SNR cells averaged),67,0.03324942314720014,0.018734710794469735,0.04622220125451646,0.04413224402534943,0.571272600196646,48,0,19,420.0,7.077702287535057e-06,1.4155404575070113e-05
auc_tie_corrected,deep_plus_two_surface,OASTER-ERP - sLORETA,source configuration (49 SNR cells averaged),67,0.037231664962207464,0.020132233166732866,0.05394426657778733,0.03842364719956626,0.5292201378589083,48,0,19,492.0,5.3092304496895965e-05,5.3092304496895965e-05
auc_tie_corrected,deep_plus_two_surface,OASTER-ERP - eLORETA,source configuration (49 SNR cells averaged),67,0.043420673527103146,0.027713836773635994,0.05881770252823799,0.04494690924498135,0.6653769985789049,49,0,18,386.0,2.554582032957981e-06,7.663746098873942e-06
auc_tie_corrected,deep_plus_two_surface,OASTER-ERP - LCMV,source configuration (49 SNR cells averaged),67,0.20502908627346536,0.17562674489490282,0.23398253644176523,0.20574160394299446,1.6854479507038809,63,0,4,11.0,1.8384822919315747e-12,9.192411459657874e-12
auc_tie_corrected,deep_plus_two_surface,OASTER-ERP - Dipole fitting (grid),source configuration (49 SNR cells averaged),67,0.3744223896380905,0.3585308697833171,0.3897530683860131,0.38003806954901587,5.689762049663091,67,0,0,0.0,1.119700309921998e-12,7.837902169453987e-12
auc_tie_corrected,deep_plus_two_surface,OASTER-ERP - RAP-MUSIC,source configuration (49 SNR cells averaged),67,0.37067284434092307,0.3549841965367986,0.38618391539735036,0.3765032977381224,5.603929304107381,67,0,0,0.0,1.119700309921998e-12,7.837902169453987e-12
surface_auc_tie_corrected,all,OASTER-ERP - MNE,source configuration (49 SNR cells averaged),339,0.057927174174988674,0.051403609057807345,0.06436394097051308,0.05183033797892256,0.9440029611390365,300,0,39,4204.0,2.6962725536316192e-42,1.0785090214526477e-41
surface_auc_tie_corrected,all,OASTER-ERP - dSPM,source configuration (49 SNR cells averaged),339,0.04132097009252566,0.036103820769607976,0.046430281117016144,0.043586244787303996,0.848163237616105,292,0,47,5665.0,1.269711125086991e-37,2.539422250173982e-37
surface_auc_tie_corrected,all,OASTER-ERP - sLORETA,source configuration (49 SNR cells averaged),339,0.05817737502300763,0.051294825827365234,0.06509019505249855,0.0540716286514602,0.8954829805891049,297,0,42,4890.0,4.5720475900158035e-40,1.371614277004741e-39
surface_auc_tie_corrected,all,OASTER-ERP - eLORETA,source configuration (49 SNR cells averaged),339,0.046426140516567245,0.040102563472075595,0.05288149670406268,0.04162331219142923,0.7733145223042022,288,0,51,6502.0,4.5026448297350766e-35,4.5026448297350766e-35
surface_auc_tie_corrected,all,OASTER-ERP - LCMV,source configuration (49 SNR cells averaged),339,0.27889897849300477,0.25774405601938555,0.3002699171284779,0.22651724147340446,1.364547101843607,329,0,10,131.0,8.125647470509791e-57,4.0628237352548956e-56
