case_id,scenario,eeg_snr_db,meg_snr_db,temporal_rank,mrf_strength,layer,source_count,global_lambda,layer_only_lambda,global_over_layer_lambda,global_null_winner_fraction,matched_16_surface_lambda_median,gain_norm_before_median,gain_norm_after_median,gain_norm_amplification_median,source_penalty_min,source_penalty_median,source_penalty_max,max_observed_kkt_ratio
erp-v3-development-00086-deep_plus_surface-eeg-10-meg-10,deep_plus_surface,-10,-10,3,0.5,surface,7498,8.76082749084846,8.76082749084846,1.0,1.0,6.137228973622104,1.0019934314284866,1.4529480198320952,1.5415008442651505,1.7411335912889794,8.774795994181755,22.721834208916814,6.561921150095014
erp-v3-development-00086-deep_plus_surface-eeg-10-meg-10,deep_plus_surface,-10,-10,3,0.5,deep,16,8.76082749084846,2.7283013211397162,3.2110923463500454,0.0,6.137228973622104,0.20908930860617964,0.20908930860617964,1.0,2.2314624511043495,2.5049870496993343,3.7721659760081785,0.9461643942080227
erp-v3-development-00154-deep_plus_two_surface-eeg-10-meg-10,deep_plus_two_surface,-10,-10,3,0.0,surface,7498,5.329703633291731,5.329703633291731,1.0,1.0,3.809810619705248,1.0028645080494383,1.0028645080494383,1.0,0.9194100020733084,5.341913721031078,13.2423235321592,7.806126227377357
erp-v3-development-00154-deep_plus_two_surface-eeg-10-meg-10,deep_plus_two_surface,-10,-10,3,0.0,deep,16,5.329703633291731,2.2231699320927087,2.3973442409212455,0.0,3.809810619705248,0.19217885332827844,0.19217885332827844,1.0,1.2574025047646147,1.4245158711915562,2.3384885182505917,3.0555749847185365
erp-v3-development-00154-deep_plus_two_surface-eeg-10-meg-10,deep_plus_two_surface,-10,-10,3,0.5,surface,7498,9.014468698285468,9.014468698285468,1.0,1.0,6.201587702175027,1.0028645080494383,1.4475797465143903,1.5356310886422837,1.555056951536644,9.035120400763283,22.397588906738385,8.692233092356455
erp-v3-development-00154-deep_plus_two_surface-eeg-10-meg-10,deep_plus_two_surface,-10,-10,3,0.5,deep,16,9.014468698285468,2.2231699320927087,4.054781673751763,0.0,6.201587702175027,0.19217885332827844,0.19217885332827844,1.0,2.1267252928556846,2.409374819803277,3.95523522497448,1.8065744796415057
erp-v3-development-04512-surface_only-eeg+05-meg+05,surface_only,5,5,3,0.0,surface,7498,5.3496736313617,5.3496736313617,1.0,1.0,3.7516044288790225,1.0030546503891298,1.0030546503891298,1.0,1.1303585853753906,5.362742737342131,14.207114534783964,42.257933208650506
erp-v3-development-04512-surface_only-eeg+05-meg+05,surface_only,5,5,3,0.0,deep,16,5.3496736313617,2.2777881350568365,2.3486265245771913,0.0,3.7516044288790225,0.23424190966735986,0.23424190966735986,1.0,1.4421906889412381,1.6751611564293944,2.2413427080892494,6.133329179850761
erp-v3-development-04512-surface_only-eeg+05-meg+05,surface_only,5,5,3,0.5,surface,7498,8.495124332804895,8.495124332804895,1.0,1.0,5.872805195431564,1.0030546503891298,1.4609515274372635,1.5435661767125568,1.79497617707441,8.51587768859309,22.56047989093285,46.12030929008866
erp-v3-development-04512-surface_only-eeg+05-meg+05,surface_only,5,5,3,0.5,deep,16,8.495124332804895,2.2777881350568365,3.729549821626813,0.0,5.872805195431564,0.23424190966735986,0.23424190966735986,1.0,2.2901563830634775,2.660106631164838,3.5591862774621745,3.8623695310972987
erp-v3-development-04580-deep_only-eeg+05-meg+05,deep_only,5,5,3,0.0,surface,7498,5.84922405196386,5.84922405196386,1.0,1.0,4.111052213821959,1.0026537600291268,1.0026537600291268,1.0,0.9270395381137332,5.861638616987166,15.54894807425632,17.690590888932128
erp-v3-development-04580-deep_only-eeg+05-meg+05,deep_only,5,5,3,0.0,deep,16,5.84922405196386,2.5023837890600342,2.337460815377562,0.0,4.111052213821959,0.18495258572957518,0.18495258572957518,1.0,1.2735558480753733,1.5160023328991072,2.395257885119837,14.049295840477143
erp-v3-development-04580-deep_only-eeg+05-meg+05,deep_only,5,5,3,0.5,surface,7498,12.03071811043549,12.03071811043549,1.0,1.0,6.6982064195701465,1.0026537600291268,1.4465785469684098,1.5391965946767066,1.906740323364784,12.056252460108578,31.98116699468368,16.945425585644053
erp-v3-development-04580-deep_only-eeg+05-meg+05,deep_only,5,5,3,0.5,deep,16,12.03071811043549,2.5023837890600342,4.807703024224979,0.0,6.6982064195701465,0.18495258572957518,0.18495258572957518,1.0,2.6194570886624144,3.1181224312561913,4.926580374024058,6.830637904481668
