case_id,development_role,label_posthoc,eeg_snr_db_posthoc_not_used,meg_snr_db_posthoc_not_used,old_fixed_3_to_1_score,eeg_gain,meg_gain,eeg_response_excess,meg_response_excess,cross_modal_consensus,snr_blind_consensus
erp-v6-hierarchical-v1-gate-calibration-034-eeg-10-meg+20,pure_surface_H0,0,-10,20,0.01203434658101795,0.005311470183185587,0.032202975774515044,0.4174260859967047,187.85634177312676,0.01838989308643292,0.004960738235774894
erp-v6-hierarchical-v1-gate-calibration-035-eeg-10-meg+20,pure_surface_H0,0,-10,20,-0.0014166235899928307,0.001262403713142286,-0.00945370549939818,0.7425500595666896,199.47360381784907,-0.00945370549939818,-0.002512394128060397
erp-v6-hierarchical-v1-gate-calibration-036-eeg-10-meg+20,pure_surface_H0,0,-10,20,-0.3032650514677238,-0.014923928090607315,-1.1682884215990732,0.12607701027296425,157.2397579556054,-1.1682884215990732,-0.329398160929993
erp-v6-hierarchical-v1-gate-calibration-037-eeg-10-meg+20,pure_surface_H0,0,-10,20,-0.04315957186454443,0.011156066727434598,-0.2061064876404815,0.5729160392162751,190.8623972945595,-0.2061064876404815,-0.0553788835058718
erp-v6-hierarchical-v1-gate-calibration-038-eeg+20-meg-10,pure_surface_H0,0,20,-10,-0.0003768235687435575,-0.0005767237331864763,0.00022287692458519887,418.8308001156432,0.15945909731670915,-0.0005767237331864763,-0.00012740874844585114
erp-v6-hierarchical-v1-gate-calibration-039-eeg+20-meg-10,pure_surface_H0,0,20,-10,-0.10037383193761241,-0.13336423614880336,-0.0014026193040395664,144.99685816119836,0.1824840830657184,-0.13336423614880336,-0.03836661679514127
erp-v6-hierarchical-v1-gate-calibration-040-eeg+20-meg-10,pure_surface_H0,0,20,-10,-0.05577284977675441,-0.07351133231873093,-0.0025574021508248434,167.92854941493866,0.1886877188467857,-0.07351133231873093,-0.020390530772994808
erp-v6-hierarchical-v1-gate-calibration-041-eeg+20-meg-10,pure_surface_H0,0,20,-10,0.028293763979516037,0.036608438608388076,0.0033497400928999325,234.32305471679265,0.06974162053659394,0.01442352691335947,0.0036826067928562127
erp-v6-hierarchical-v1-gate-calibration-042-eeg+20-meg-10,pure_surface_H0,0,20,-10,-0.018899778902376145,-0.02363265963038018,-0.00470113671836405,160.5706786023648,0.043662218566391964,-0.02363265963038018,-0.006628602294466246
erp-v6-hierarchical-v1-gate-calibration-043-eeg+20-meg-10,pure_surface_H0,0,20,-10,0.09002687749433512,0.12307815069342024,-0.009126942102920246,308.6784651316556,0.19118932363045582,-0.009126942102920246,-0.002175692647646185
erp-v6-hierarchical-v1-gate-calibration-044-eeg+20-meg-10,pure_surface_H0,0,20,-10,-0.00010738447014046774,-0.00014211333358189805,-3.197879816176764e-06,240.04498648981948,0.1462082462060732,-0.00014211333358189805,-3.606702336202301e-05
erp-v6-hierarchical-v1-gate-calibration-045-eeg+20-meg-10,pure_surface_H0,0,20,-10,8.28076317464339e-05,0.00011024016417592011,5.10034457975274e-07,815.3931167619775,0.1005716428614396,8.008453116770649e-06,1.4982138373952618e-06
erp-v6-hierarchical-v1-gate-calibration-046-eeg+20-meg-10,pure_surface_H0,0,20,-10,0.02049236537407715,0.027229932536729003,0.00027966388612159205,181.01756349901933,0.2859688365567121,0.003039234278782453,0.0008274387483597864
erp-v6-hierarchical-v1-gate-calibration-047-eeg+20-meg-10,pure_surface_H0,0,20,-10,-0.2732933499453174,-0.36082390217771676,-0.01070169324811951,63.73959532528853,0.18766564695851806,-0.36082390217771676,-0.1272045962491568
erp-v6-hierarchical-v1-gate-calibration-048-eeg+20-meg-10,pure_surface_H0,0,20,-10,0.0015149447311504228,0.001964690200031736,0.00016570832450648362,520.2346716856035,0.25015661843022086,0.0007362918164001478,0.0001540961007083347
erp-v6-hierarchical-v1-gate-calibration-049-eeg+20-meg-10,pure_surface_H0,0,20,-10,-0.2903085149400497,-0.38793643246037623,0.002575237620929887,228.36287329311875,0.0708587347263121,-0.38793643246037623,-0.09968499409941022
erp-v6-hierarchical-v1-gate-calibration-050-eeg+20-meg-10,pure_surface_H0,0,20,-10,-0.09266134022532069,-0.12390244216806187,0.0010619656029028375,138.14808534040358,0.21517068293003172,-0.12390244216806187,-0.03607535038127009
erp-v6-hierarchical-v1-gate-calibration-051-eeg+20-meg-10,pure_surface_H0,0,20,-10,-0.1427246300009369,-0.1877186933928005,-0.007742439825346128,18.68088882438212,0.1385473571267246,-0.1877186933928005,-0.08912434387766542
erp-v6-hierarchical-v1-gate-calibration-052-eeg+20-meg-10,pure_surface_H0,0,20,-10,-0.13255965944369438,-0.17586073806740232,-0.0026564235725705125,149.084182727362,0.1278931446635556,-0.17586073806740232,-0.05024411030110657
erp-v6-hierarchical-v1-gate-calibration-053-eeg+20-meg-10,pure_surface_H0,0,20,-10,0.08142583561061215,0.10896812758199642,-0.0012010403035406648,334.8007767708473,0.20713717718577973,-0.0012010403035406648,-0.0002805673674745935
erp-v6-hierarchical-v1-gate-calibration-054-eeg+20-meg-10,pure_surface_H0,0,20,-10,0.09300710261172988,0.12394189791343113,0.0002027167066261272,1102.745525510215,0.07189999617119858,0.005215210433106234,0.0009048041791200796
erp-v6-hierarchical-v1-gate-calibration-055-eeg+20-meg-10,pure_surface_H0,0,20,-10,-0.015833169882567947,-0.020993167941511647,-0.0003531757057368617,125.68265621014669,0.11772907358599838,-0.020993167941511647,-0.006257468756486672
erp-v6-hierarchical-v1-gate-calibration-056-eeg+20-meg-10,pure_surface_H0,0,20,-10,-0.244602623973294,-0.3262840046010173,0.00044151790987587104,597.3818950815728,0.2528872472452832,-0.3262840046010173,-0.06597071221388985
erp-v6-hierarchical-v1-surface-calibration-000-eeg-10-meg-10,pure_deep_H1,1,-10,-10,0.0,0.0,0.0,0.0,0.1516018850406613,0.0,0.0
erp-v6-hierarchical-v1-surface-calibration-001-eeg-10-meg-10,pure_deep_H1,1,-10,-10,0.0456389252907852,0.03698250437430319,0.07160818804023121,0.03994653636106826,0.0805724993429584,0.08844365600768364,0.08674674927708755
erp-v6-hierarchical-v1-surface-calibration-002-eeg-10-meg-10,pure_deep_H1,1,-10,-10,0.02197633865408971,0.013374791572827631,0.04778097989787595,0.06218549249065708,0.03599162993817773,0.038654440448544984,0.038075823023930644
