method,eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_active_count,deep_active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
LCMV,5,5,deep_plus_surface,case_weighted_within_scenario,1,1,0.8739814814814815,0.5962641761174116,0.575616458704694,0.7333333333333334,1.9764343364116839,58.68828057622652,47.01249124843472,26.866740403773846,17.320508398326936,0.0,nan,1076.0,1060.0,16.0,58.68828057622652,47.01249124843472,234.02911185627735,234.02911185627735,0.0,nan,nan
LCMV,5,5,deep_plus_two_surface,case_weighted_within_scenario,1,1,0.8256248512056592,0.6166132193123107,0.6046601816242769,0.8,1.9640902087014795,47.1307992205728,54.28172988714202,26.129275937918283,14.142136204249597,0.0,nan,894.0,878.0,16.0,47.1307992205728,54.28172988714202,234.02911185627735,234.02911185627735,0.0,nan,nan
LCMV,5,5,surface_only,case_weighted_within_scenario,1,1,0.3570061728395062,0.48399887347325987,0.48503416518122394,nan,1.9963836513598852,60.60902436192197,89.28234287529534,nan,nan,0.0,nan,1641.0,1625.0,16.0,60.60902436192197,89.28234287529534,nan,nan,nan,1.0,nan
LCMV,20,-10,deep_only,case_weighted_within_scenario,1,1,1.0,1.0,nan,1.0,1.5253522290926236,nan,nan,0.0,0.0,0.0,nan,1097.0,1096.0,1.0,nan,nan,234.02911185627735,234.02911185627735,0.0,nan,nan
LCMV,20,-10,deep_plus_surface,case_weighted_within_scenario,1,1,0.8978703703703704,0.6619360275271233,0.6444370172311349,1.0,1.9214137199849486,68.37688610117195,57.107618505776216,17.247400119463403,0.0,1.0,0.0,507.0,496.0,11.0,68.37688610117195,57.107618505776216,17.247400119463403,0.0,1.0,nan,nan
LCMV,20,-10,deep_plus_two_surface,case_weighted_within_scenario,1,1,0.858943560180934,0.720532691965081,0.7121342930088042,1.0,1.9010718227233865,38.06330069783547,37.01956789134749,14.30209945442602,0.0,1.0,0.0,699.0,690.0,9.0,38.06330069783547,37.01956789134749,14.30209945442602,0.0,1.0,nan,nan
LCMV,20,-10,surface_only,case_weighted_within_scenario,1,1,0.39913580246913577,0.5263177398316139,0.5273469994058229,nan,1.9961122425843574,72.33206604656326,65.5873418793903,nan,nan,0.0,nan,1097.0,1081.0,16.0,72.33206604656326,65.5873418793903,nan,nan,nan,1.0,nan
LCMV,20,20,deep_only,case_weighted_within_scenario,1,1,1.0,1.0,nan,1.0,0.7351630858574966,nan,nan,0.0,0.0,1.0,0.0,741.0,740.0,1.0,nan,nan,0.0,0.0,1.0,nan,nan
LCMV,20,20,deep_plus_surface,case_weighted_within_scenario,1,1,0.9237654320987654,0.666444296197465,0.6492052881758763,1.0,1.8381797437899454,54.00819198648445,53.77419408883848,5.395424603879195,0.0,1.0,0.0,361.0,359.0,2.0,54.00819198648445,53.77419408883848,5.395424603879195,0.0,1.0,nan,nan
LCMV,20,20,deep_plus_two_surface,case_weighted_within_scenario,1,1,0.8175902118831413,0.6040040976305007,0.5915115812023028,1.0,1.833366125838583,44.46002464973595,57.02979323736804,0.0,0.0,1.0,0.0,652.0,651.0,1.0,44.46002464973595,57.02979323736804,0.0,0.0,1.0,nan,nan
