method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
MNE,10,20,case_weighted,186,4,0.8735819045265572,0.9443724468281682,1.7455524826843842,18.560770424558953,18.485227925107996,20.318852462390975,17.71745258179659,0.2710549078161398,17.802198332727166,233.53763440860214,18.560770424558953,18.485227925107996,20.318852462390975,17.71745258179659,0.288135593220339,0.35294117647058826,0.3205383848454636
MNE,15,-10,case_weighted,186,4,0.7640159440977885,0.8883364302339295,1.8078470338031716,30.871978823273132,24.040115927894373,22.291896994114346,17.253954951531345,0.19204145230260317,17.08237459822024,625.9086021505376,30.871978823273132,24.040115927894373,22.291896994114346,17.253954951531345,0.3050847457627119,0.38235294117647056,0.34371884346959125
MNE,15,-5,case_weighted,186,4,0.7867665730278701,0.9031672081103835,1.7943890255953021,28.512353435158833,22.215950050615593,21.977786230324057,17.06520239641363,0.2152781974056789,17.3202537837136,639.8172043010753,28.512353435158833,22.215950050615593,21.977786230324057,17.06520239641363,0.2796610169491525,0.45588235294117646,0.3677716849451645
MNE,15,0,case_weighted,186,4,0.8137676712253945,0.91751247588067,1.7716358525580143,24.303949635975766,16.040541002591134,21.522699261545903,16.054296411135383,0.23380176841633632,16.402942344353473,576.3279569892474,24.303949635975766,16.040541002591134,21.522699261545903,16.054296411135383,0.3220338983050847,0.4411764705882353,0.38160518444666003
MNE,15,5,case_weighted,186,4,0.8441994801855226,0.9338778321561566,1.7431953906789155,19.18818074401985,13.220696427421142,21.173783829082442,17.009615008717876,0.253671291512225,16.673051501022762,382.994623655914,19.18818074401985,13.220696427421142,21.173783829082442,17.009615008717876,0.3305084745762712,0.4117647058823529,0.37113659022931206
MNE,15,10,case_weighted,186,4,0.8732388127214753,0.9436798895842439,1.7266589701853026,17.48122130158733,12.514940326742076,20.741826467498058,17.2763841335161,0.276407950583709,16.8432365909688,315.68817204301075,17.48122130158733,12.514940326742076,20.741826467498058,17.2763841335161,0.3305084745762712,0.38235294117647056,0.3564307078763709
MNE,15,15,case_weighted,186,4,0.8827862201867107,0.9467031226734922,1.7232738296776264,17.72626548543259,14.453882991465207,20.517569902143215,17.832475882898326,0.28844253379212537,17.783375907557936,280.01075268817203,17.72626548543259,14.453882991465207,20.517569902143215,17.832475882898326,0.3389830508474576,0.27941176470588236,0.30919740777667
MNE,15,20,case_weighted,186,4,0.8849625469393807,0.9469800733413775,1.728025871959683,17.82965644609941,16.499373094307767,20.14812633868929,16.763975411331323,0.2776470475519127,16.61719143936675,238.01075268817203,17.82965644609941,16.499373094307767,20.14812633868929,16.763975411331323,0.3559322033898305,0.25,0.3029661016949152
MNE,20,-10,case_weighted,186,4,0.8113306091156014,0.9136841928006232,1.781187171806975,23.265369890439285,20.584244623529745,22.165985623581992,17.640670104887587,0.2216532724505606,17.608343980807742,580.7258064516129,23.265369890439285,20.584244623529745,22.165985623581992,17.640670104887587,0.2796610169491525,0.39705882352941174,0.33835992023928213
MNE,20,-5,case_weighted,186,4,0.8209127178306264,0.9188067070291858,1.7707172845766985,21.833937946474325,19.09017524374848,21.91627535451853,17.123030721928398,0.21889893688613893,17.123030721928398,546.9193548387096,21.833937946474325,19.09017524374848,21.91627535451853,17.123030721928398,0.2966101694915254,0.4852941176470588,0.3909521435692921
MNE,20,0,case_weighted,186,4,0.8343184453407825,0.9255059691958231,1.7543080916609077,19.929847787710905,16.780982661479896,21.615618406968945,17.035795919715003,0.2223628111111594,17.31778268549933,477.0483870967742,19.929847787710905,16.780982661479896,21.615618406968945,17.035795919715003,0.2711864406779661,0.4264705882352941,0.3488285144566301
MNE,20,5,case_weighted,186,4,0.8528580454328628,0.9344318129642009,1.7325290269218263,17.732972942223856,13.85873899999755,21.155850415578136,16.631994336015932,0.23631710086643168,16.54724857839429,362.258064516129,17.732972942223856,13.85873899999755,21.155850415578136,16.631994336015932,0.3305084745762712,0.4852941176470588,0.40790129611166503
MNE,20,10,case_weighted,186,4,0.8710380671165766,0.9440843469434623,1.7110991286298667,16.565489324746594,12.631803652055405,20.663184212466497,16.752875782399556,0.2537314002641115,16.752875782399556,316.7258064516129,16.565489324746594,12.631803652055405,20.663184212466497,16.752875782399556,0.3050847457627119,0.4117647058823529,0.3584247258225324
MNE,20,15,case_weighted,186,4,0.8850435111924521,0.9481857300150589,1.7050126955346725,16.860433205849265,12.551002117599374,20.54392365787359,17.1434349723399,0.27509604332691173,16.829334855706872,295.8010752688172,16.860433205849265,12.551002117599374,20.54392365787359,17.1434349723399,0.3474576271186441,0.36764705882352944,0.35755234297108673
MNE,20,20,case_weighted,186,4,0.888915907912959,0.9490744256877407,1.7108925920546278,17.484546663016648,13.9850100280394,20.17372864649239,17.22877909848714,0.2887769140398844,17.228779103131714,271.52150537634407,17.484546663016648,13.9850100280394,20.17372864649239,17.22877909848714,0.3474576271186441,0.3235294117647059,0.335493519441675
