method,eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
MNE,-5,10,deep_only,case_weighted_within_scenario,16,1,0.9625,0.9923465992280047,1.9300930437668011,nan,nan,15.699222626161347,8.973139997659512,0.7431389351522283,8.973139997659512,309.5625,nan,nan,15.699222626161347,8.973139997659512,0.5625,nan,nan
MNE,-5,10,deep_plus_surface,case_weighted_within_scenario,68,1,0.7510035373770849,0.9189690265419722,1.838711896178309,41.84326344810482,33.45153750455796,22.693465946411244,18.878419899118306,0.22334546487236068,18.563475686929113,248.91176470588235,41.84326344810482,33.45153750455796,22.693465946411244,18.878419899118306,0.29411764705882354,nan,nan
MNE,-5,10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8223147947627388,0.8690417631972044,1.8393150954035082,34.7970041943958,36.069337363881786,23.387351146255728,20.26726901485564,0.2062550277226133,19.546830854124558,208.02941176470588,34.7970041943958,36.069337363881786,23.387351146255728,20.26726901485564,0.3235294117647059,nan,nan
MNE,-5,10,surface_only,case_weighted_within_scenario,68,1,0.8485856867214175,0.9317196683024136,1.8060629170720706,40.39762938496614,28.86503792535444,nan,nan,0.19833385620032595,nan,230.01470588235293,40.39762938496614,28.86503792535444,nan,nan,nan,0.20588235294117646,nan
MNE,-5,15,deep_only,case_weighted_within_scenario,16,1,0.9725,0.9954578730200985,1.9110621555046734,nan,nan,14.070142956971429,8.515608170280187,0.8971229505415219,8.515608170280187,681.375,nan,nan,14.070142956971429,8.515608170280187,0.625,nan,nan
MNE,-5,15,deep_plus_surface,case_weighted_within_scenario,68,1,0.7832608404417225,0.9300740581870696,1.814079004955478,27.11478550283685,20.453745260335346,22.25327968557066,20.857000570750607,0.23639758127298785,20.911336341949315,267.86764705882354,27.11478550283685,20.453745260335346,22.25327968557066,20.857000570750607,0.16176470588235295,nan,nan
MNE,-5,15,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8460797097936832,0.8867316399590123,1.813639528695588,25.062125260993852,27.80962244156776,22.522581123165146,17.013901932226155,0.2360232621841421,17.94398362022645,299.5882352941176,25.062125260993852,27.80962244156776,22.522581123165146,17.013901932226155,0.38235294117647056,nan,nan
MNE,-5,15,surface_only,case_weighted_within_scenario,68,1,0.8597938069191685,0.9398915104472839,1.770650516794655,26.305789732774603,17.746149384408582,nan,nan,0.21031400616518184,nan,258.30882352941177,26.305789732774603,17.746149384408582,nan,nan,nan,0.19117647058823528,nan
MNE,-5,20,deep_only,case_weighted_within_scenario,16,1,0.9724999999999999,0.9957074404365767,1.8997956385934471,nan,nan,13.723375880168671,8.683076369650557,0.8802557620054255,8.683076369650557,596.5625,nan,nan,13.723375880168671,8.683076369650557,0.6875,nan,nan
MNE,-5,20,deep_plus_surface,case_weighted_within_scenario,68,1,0.8027351757820466,0.9319504552925612,1.7951858584227347,21.146340140549988,15.645683157108877,22.172717105716085,21.426374863031892,0.2410176931954944,21.744356875435738,282.55882352941177,21.146340140549988,15.645683157108877,22.172717105716085,21.426374863031892,0.22058823529411764,nan,nan
MNE,-5,20,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8492452666247514,0.8900065174670643,1.7998518373337151,20.74537579859862,24.679848041492047,22.308822650562053,18.74557512000299,0.24549397298769216,18.74557512000299,326.5882352941176,20.74537579859862,24.679848041492047,22.308822650562053,18.74557512000299,0.35294117647058826,nan,nan
MNE,-5,20,surface_only,case_weighted_within_scenario,68,1,0.8616808117653062,0.9434526867689276,1.7560863740708257,20.958671036378853,16.38983345018936,nan,nan,0.22514629083845458,nan,281.36764705882354,20.958671036378853,16.38983345018936,nan,nan,nan,0.11764705882352941,nan
MNE,0,-10,deep_only,case_weighted_within_scenario,16,1,0.585,0.8637029149474245,1.974386359803265,nan,nan,21.313170593730064,10.172034342770509,0.50772211962849,9.140608238625287,711.375,nan,nan,21.313170593730064,10.172034342770509,0.625,nan,nan
MNE,0,-10,deep_plus_surface,case_weighted_within_scenario,68,1,0.5794695770676158,0.775020933424267,1.9166739402224404,73.55718800987265,65.9139892939069,23.85097061259184,23.03554572263803,0.1970591990633924,22.013517802568003,1611.8970588235295,73.55718800987265,65.9139892939069,23.85097061259184,23.03554572263803,0.1323529411764706,nan,nan
MNE,0,-10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.7072179644954364,0.7073174805042991,1.9166377258312992,51.35329480208845,52.63291323082021,24.444207500716416,24.502942746227102,0.18514506599102334,24.46385137802163,1615.2058823529412,51.35329480208845,52.63291323082021,24.444207500716416,24.502942746227102,0.20588235294117646,nan,nan
MNE,0,-10,surface_only,case_weighted_within_scenario,68,1,0.7325627128943454,0.8191962850370623,1.8924964891552511,72.2272054178932,59.35603989844084,nan,nan,0.17701086534855118,nan,1422.2941176470588,72.2272054178932,59.35603989844084,nan,nan,nan,0.1323529411764706,nan
MNE,0,-5,deep_only,case_weighted_within_scenario,16,1,0.709375,0.9419339810994276,1.9644010150754774,nan,nan,20.528154484941226,10.482023445061639,0.48061847680272085,7.631724647857398,245.125,nan,nan,20.528154484941226,10.482023445061639,0.6875,nan,nan
MNE,0,-5,deep_plus_surface,case_weighted_within_scenario,68,1,0.6353641306713457,0.8408881517998985,1.894172021975821,66.15420150092397,45.31690983278313,23.454411408317124,23.09240026356004,0.245018953598216,21.63233535396542,1145.235294117647,66.15420150092397,45.31690983278313,23.454411408317124,23.09240026356004,0.20588235294117646,nan,nan
MNE,0,-5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.7471236595794029,0.768113102335492,1.893320380504492,47.1297940625704,41.875223288546536,24.046340237934523,22.366994364306176,0.23428440930249894,20.928631655342926,1526.5588235294117,47.1297940625704,41.875223288546536,24.046340237934523,22.366994364306176,0.23529411764705882,nan,nan
