method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_score,deep_peak_distance_mm,active_count,deep_sensitivity,deep_specificity,deep_balanced_accuracy
eLORETA,-5,-5,scenario_macro,186,4,0.7883675249393151,0.8616583107231844,1.9236355055136816,62.48945803440773,26.771021428165483,22.941032470562323,15.760920928843044,62.48945803440773,26.771021428165483,22.941032470562323,15.760920928843044,0.487245437651172,13.064998119077657,5686.8308823529405,0.5196078431372549,0.0,0.25980392156862747
eLORETA,-5,0,scenario_macro,186,4,0.8336731570282553,0.9108321676226696,1.8992731609622338,49.25225881993823,12.622240626127871,22.417033840576646,12.589306457564648,49.25225881993823,12.622240626127871,22.417033840576646,12.589306457564648,0.4823587210296182,11.908159170743772,4602.298713235295,0.5490196078431373,0.029411764705882353,0.28921568627450983
eLORETA,-5,5,scenario_macro,186,4,0.8689075330909917,0.9383856093336815,1.867008893982112,32.527278213909575,8.86830688871754,21.707372057480317,12.8214660922657,32.527278213909575,8.86830688871754,21.707372057480317,12.8214660922657,0.47642179609782653,12.801985325445154,3047.936580882353,0.5245098039215687,0.07352941176470588,0.29901960784313725
eLORETA,-5,10,scenario_macro,186,4,0.8939758038207399,0.9461637014021367,1.8323324572751838,22.31528057054821,8.842834894051185,20.323754826418075,12.790013710475266,22.31528057054821,8.842834894051185,20.323754826418075,12.790013710475266,0.46923913870021605,12.481633713860987,1259.6047794117646,0.5441176470588235,0.07352941176470588,0.30882352941176466
eLORETA,-5,15,scenario_macro,186,4,0.9009671614951403,0.9459089388154095,1.80756628450088,20.83310969371235,8.309072974266092,19.350468087253944,12.158641006474985,20.83310969371235,8.309072974266092,19.350468087253944,12.158641006474985,0.4724407947666335,12.194525850860487,749.6185661764705,0.5539215686274509,0.04411764705882353,0.2990196078431372
eLORETA,-5,20,scenario_macro,186,4,0.8985178864730184,0.9434878399001241,1.7986349407635804,21.53746814736509,8.39476521021015,18.998651377408752,12.307863193600213,21.53746814736509,8.39476521021015,18.998651377408752,12.307863193600213,0.4830127541457807,12.356882802369327,725.4852941176471,0.5392156862745098,0.029411764705882353,0.28431372549019607
eLORETA,0,-10,scenario_macro,186,4,0.7107833996428629,0.8141326319322132,1.9205000997454875,60.928125650892326,25.90516442327231,22.9341931273444,16.291036451095323,60.928125650892326,25.90516442327231,22.9341931273444,16.291036451095323,0.4301018945178181,14.93896363882457,5308.492647058823,0.48897058823529416,0.0,0.24448529411764708
eLORETA,0,-5,scenario_macro,186,4,0.8090377043046934,0.8850137346264115,1.9019168065237795,53.16548770440932,20.901440598647508,22.533883542850585,13.729179957109617,53.16548770440932,20.901440598647508,22.533883542850585,13.729179957109617,0.46987127163204123,12.710083320204811,4630.604779411764,0.5637254901960785,0.014705882352941176,0.28921568627450983
eLORETA,0,0,scenario_macro,186,4,0.8409036153796042,0.9169841587730467,1.8765478272815033,39.93220948572085,10.56480091971368,22.088418954590367,12.379718753545879,39.93220948572085,10.56480091971368,22.088418954590367,12.379718753545879,0.46184268513528165,11.784656555086386,3779.7352941176473,0.5637254901960783,0.058823529411764705,0.3112745098039215
eLORETA,0,5,scenario_macro,186,4,0.872297861960444,0.9376778098360787,1.8452152593874291,26.997375877252022,9.617489805709388,21.439013671083135,12.129513415206612,26.997375877252022,9.617489805709388,21.439013671083135,12.129513415206612,0.4552862121337051,12.289791850263413,2415.7141544117644,0.5245098039215687,0.11764705882352941,0.32107843137254904
