variant,paired_5_5,case_id,configuration_id,scenario,eeg_snr_db,meg_snr_db,method,status,has_surface_true,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,deep_sd_mm,surface_dle_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count,null_converged,full_converged,both_converged,prediction_score,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized
"IRLS wide, 300",1,erp-v6-development-04-eeg+05-meg+05,erp-v6-development-04,deep_plus_two_surface,5,5,v6-surface-only,ok,1,0.45394921436588104,0.7968354712275074,0.8239250972987198,0.5,1.9488791580990676,10.219876911681387,nan,13.8948251319721,nan,1,0.0,nan,0,0,5,5,0,1,1,1,-0.0022645409105274336,10.219876911681387,13.8948251319721,234.02911185627735,234.02911185627735
"IRLS wide, 300",1,erp-v6-development-04-eeg+05-meg+05,erp-v6-development-04,deep_plus_two_surface,5,5,v6-full-ungated,ok,1,0.5666086793864572,0.8209201852841618,0.8402777457167787,0.1333333333333333,1.9383759549529027,10.130331035563335,14.142136204249597,15.995016031753396,14.142136204249597,1,1.0,14.142136204249597,0,0,8,7,1,1,1,1,-0.0022645409105274336,10.130331035563335,15.995016031753396,234.02911185627735,234.02911185627735
ADMM,1,erp-v6-development-00-eeg+05-meg+05,erp-v6-development-00,surface_only,5,5,v6-surface-only,ok,1,0.6468518518518518,0.9869263607257204,0.9868983957219252,nan,1.8383851811899463,8.427301384084798,nan,11.94345982554302,nan,0,0.0,nan,0,0,6,6,0,1,1,1,-0.006524683847030355,8.427301384084798,11.94345982554302,nan,nan
ADMM,1,erp-v6-development-00-eeg+05-meg+05,erp-v6-development-00,surface_only,5,5,v6-full-ungated,ok,1,0.6255401234567901,0.9880380647456422,0.9884135472370768,nan,1.9161067621213483,8.26604808265196,nan,11.94345982554302,nan,0,1.0,nan,0,1,5,2,3,1,1,1,-0.006524683847030355,8.26604808265196,11.94345982554302,nan,nan
ADMM,1,erp-v6-development-01-eeg+05-meg+05,erp-v6-development-01,surface_only,5,5,v6-surface-only,ok,1,0.6128787878787879,0.9622371179139889,0.9621562227321203,nan,1.9082763989483431,9.379776745363323,nan,13.922088938290743,nan,0,0.0,nan,0,0,5,5,0,1,1,1,-0.0029073717455747453,9.379776745363323,13.922088938290743,nan,nan
ADMM,1,erp-v6-development-01-eeg+05-meg+05,erp-v6-development-01,surface_only,5,5,v6-full-ungated,ok,1,0.5385044893378227,0.9707368760509525,0.9710758491419706,nan,1.9727275199170946,8.201433862554262,nan,11.598578662478465,nan,0,1.0,nan,0,1,6,3,3,1,1,1,-0.0029073717455747453,8.201433862554262,11.598578662478465,nan,nan
ADMM,1,erp-v6-development-02-eeg+05-meg+05,erp-v6-development-02,deep_only,5,5,v6-surface-only,ok,0,0.485,0.0009982696659124324,nan,0.5,1.9999999999999916,nan,nan,nan,nan,1,0.0,nan,0,0,15,15,0,1,1,1,0.24287017341977374,nan,nan,234.02911185627735,234.02911185627735
ADMM,1,erp-v6-development-02-eeg+05-meg+05,erp-v6-development-02,deep_only,5,5,v6-full-ungated,ok,0,1.0,1.0,nan,1.0,0.09231140220632285,nan,0.0,nan,0.0,1,1.0,0.0,1,0,2,1,1,1,1,1,0.24287017341977374,nan,nan,0.0,0.0
ADMM,1,erp-v6-development-03-eeg+05-meg+05,erp-v6-development-03,deep_plus_surface,5,5,v6-surface-only,ok,1,0.6034104938271605,0.9388820617253608,0.9909685086155675,0.5,1.9181785387313606,7.803113928711931,nan,11.94345982554302,nan,1,0.0,nan,0,0,1,1,0,0,1,0,-0.06720398197260603,7.803113928711931,11.94345982554302,234.02911185627735,234.02911185627735
ADMM,1,erp-v6-development-03-eeg+05-meg+05,erp-v6-development-03,deep_plus_surface,5,5,v6-full-ungated,ok,1,0.7997067901234567,0.9880130613391385,0.9878862150920975,0.8,1.775651876849482,7.80311392871193,23.86742523958415,11.94345982554302,14.142136204249597,1,1.0,14.142136204249597,0,0,6,1,5,0,1,0,-0.06720398197260603,7.80311392871193,11.94345982554302,234.02911185627735,234.02911185627735
