source_index,mni_x_mm,mni_y_mm,mni_z_mm,DICS_erd_db,LCMV_erd_db,MNE_erd_db,dSPM_erd_db,sLORETA_erd_db,eLORETA_erd_db
2149,-10.0,32.000000000000014,8.000000000000007,0.3714342966142583,0.3583714949856611,0.11651534491076143,0.11651534491307931,0.11651534491295351,0.03327302785475156
2150,-2.0,32.000000000000014,8.000000000000007,0.3967577823468582,0.3901473730313087,0.11035748990627567,0.11035748990885258,0.11035748990874164,0.04103341777401432
2151,6.000000000000001,32.000000000000014,8.000000000000007,0.38197464141661003,0.3910302506022612,0.10876310234704031,0.10876310234957678,0.10876310234946862,0.050395378128338414
2152,14.000000000000002,32.000000000000014,8.000000000000007,0.27971732635881014,0.316920285901732,0.10510252492141622,0.1051025249234249,0.10510252492332513,0.012228201580349337
2153,22.0,32.000000000000014,8.000000000000007,0.31851940508092835,0.35715093058837755,0.11758502737585377,0.11758502737728416,0.11758502737717716,-0.012772946215756854
2154,30.000000000000004,32.000000000000014,8.000000000000007,0.32692805352279897,0.37668803618216073,0.13502887344931255,0.13502887345004638,0.13502887344995101,0.014990923878907823
2155,38.0,32.000000000000014,8.000000000000007,0.37036650435543517,0.41170969699411175,0.1126725603408709,0.11267256034101655,0.11267256034097614,0.038565736636562105
2156,46.000000000000014,32.000000000000014,8.000000000000007,0.43197898602896806,0.4540775597433902,0.0526412307332244,0.05264123073320344,0.05264123073321011,0.03660208203085886
2157,54.000000000000014,32.000000000000014,8.000000000000007,0.4634446722563087,0.46704516869703516,-0.013275250358123535,-0.013275250358110478,-0.013275250358114828,0.03191410608285395
2158,62.000000000000014,32.000000000000014,8.000000000000007,0.4449439462874508,0.4353783250419888,-0.06943099421733695,-0.06943099421726934,-0.06943099421731588,0.009092248033762107
2159,-50.000000000000014,40.000000000000014,8.000000000000007,-0.06914463322028955,-0.09157250317402575,0.08535531852383402,0.08535531852377728,0.08535531852376972,0.06820334186023382
2160,-42.0,40.000000000000014,8.000000000000007,0.06480779552818204,0.03655292298063498,0.09750709743411543,0.0975070974341192,0.09750709743408054,0.11682505357308912
2161,-34.0,40.000000000000014,8.000000000000007,0.2127630868530258,0.18591780065414376,0.1243372514761059,0.124337251476343,0.12433725147623803,0.1169323095306607
2162,-26.000000000000007,40.000000000000014,8.000000000000007,0.3282030065119881,0.3044659984180526,0.15695236724765438,0.1569523672484756,0.15695236724829614,0.08579742094671378
2163,-18.0,40.000000000000014,8.000000000000007,0.3822327891527406,0.36203302779052876,0.14318268815285046,0.14318268815415486,0.1431826881539869,0.05313437932514178
2164,-10.0,40.000000000000014,8.000000000000007,0.4167776868371047,0.3998957773569648,0.09619105684080961,0.09619105684202256,0.09619105684191222,0.015058519750893382
2165,-2.0,40.000000000000014,8.000000000000007,0.47058621220082786,0.4541896750372734,0.07008892844623597,0.07008892844727502,0.0700889284471972,0.02658064478864824
2166,6.000000000000001,40.000000000000014,8.000000000000007,0.4696217048021196,0.5228054404782113,0.054187804613481605,0.05418780461427779,0.05418780461421969,0.03965942240591569
2167,14.000000000000002,40.000000000000014,8.000000000000007,0.38836421155133527,0.3567596880113338,0.03726181902584661,0.03726181902628737,0.03726181902624913,-0.018681447328078724
2168,22.0,40.000000000000014,8.000000000000007,0.4308989104604882,0.3903810751668096,0.06133022102722839,0.0613302210276553,0.06133022102760301,-0.042391802048864904
2169,30.000000000000004,40.000000000000014,8.000000000000007,0.5161781956749113,0.47556363746885355,0.09001095111631272,0.09001095111653845,0.09001095111649594,-0.015310929009010429
2170,38.0,40.000000000000014,8.000000000000007,0.37144546113728216,0.3982403577196437,0.044639988618178014,0.04463998861818469,0.04463998861818183,-0.0019681565752282266
2171,46.000000000000014,40.000000000000014,8.000000000000007,0.40340097549312204,0.41965556114742064,-0.012213213897327466,-0.01221321389732118,-0.012213213897323598,-0.004156624417333055
2172,54.000000000000014,40.000000000000014,8.000000000000007,0.4468137205460696,0.44799899304106316,-0.01396560798054993,-0.013965607980537354,-0.013965607980545577,-0.00920412843410933
2173,-50.000000000000014,48.000000000000014,8.000000000000007,0.00275848588278437,-0.012142310258626743,0.06503992960827627,0.06503992960823163,0.06503992960823067,-0.05753470439102486
2174,-42.0,48.000000000000014,8.000000000000007,0.05123399030056647,0.03486171826221308,0.11220649612061052,0.11220649612058514,0.11220649612054849,0.06892245292252294
2175,-34.0,48.000000000000014,8.000000000000007,0.20999746613898876,0.19613433603553804,0.15245914049519516,0.1524591404953311,0.15245914049522497,0.10350771141079299
2176,-26.000000000000007,48.000000000000014,8.000000000000007,0.31334416705305257,0.29453339152952746,0.18218266053721138,0.18218266053769777,0.1821826605375239,0.09347274502897282
2177,-18.0,48.000000000000014,8.000000000000007,0.3789916546771599,0.3583139523086231,0.13803178381687628,0.13803178381753392,0.13803178381739006,0.052855899478006646
2178,-10.0,48.000000000000014,8.000000000000007,0.4358657817320244,0.41581765760544903,0.06669239736797475,0.06669239736842868,0.06669239736835746,0.0029464450307032384
2179,-2.0,48.000000000000014,8.000000000000007,0.47358001174035874,0.47096371213834265,0.04480152301251017,0.04480152301286999,0.04480152301281845,0.04644809292077023
2180,6.000000000000001,48.000000000000014,8.000000000000007,0.34164923494522775,0.3462712708720836,0.03459887444383022,0.03459887444409043,0.03459887444405408,0.06682979204523966
2181,14.000000000000002,48.000000000000014,8.000000000000007,0.3716678238259299,0.3651953580990157,0.009019811760698005,0.009019811760750934,0.009019811760743235,-0.017384890529325837
2182,22.0,48.000000000000014,8.000000000000007,0.4222192010434625,0.40144792420615427,0.028166327797638058,0.028166327797722372,0.02816632779770417,-0.06904834153691737
2183,30.000000000000004,48.000000000000014,8.000000000000007,0.46742883693953247,0.4312754146326347,0.07916772623303313,0.07916772623309185,0.07916772623307383,-0.040986009072274406
2184,38.0,48.000000000000014,8.000000000000007,0.4914547900515174,0.4386353127356658,0.05317948800141857,0.05317948800139951,0.053179488001407135,-0.01988059815872927
2185,46.000000000000014,48.000000000000014,8.000000000000007,0.4945269802186752,0.4623118043389667,-0.028155768920005497,-0.028155768919980746,-0.02815576891999336,-0.04291098298364232
2186,54.000000000000014,48.000000000000014,8.000000000000007,0.344673311616296,0.34754753165722796,-0.012750257249001442,-0.012750257248989837,-0.012750257248998541,0.027155548018327404
2187,-42.0,56.000000000000014,8.000000000000007,0.10177552548620677,0.10867232308209496,0.14984294439663243,0.14984294439656257,0.14984294439652995,-0.04158333705379478
2188,-34.0,56.000000000000014,8.000000000000007,0.215504102170946,0.20658231553895567,0.17876205702244485,0.17876205702246983,0.17876205702238562,0.13276174925391102
2189,-26.000000000000007,56.000000000000014,8.000000000000007,0.29328049408774937,0.2768670088739934,0.18042558146287596,0.18042558146304524,0.18042558146292498,0.10211683127585346
2190,-18.0,56.000000000000014,8.000000000000007,0.36242681095953677,0.3419434093713541,0.11711620435389203,0.11711620435412201,0.11711620435402625,0.05294985851087445
2191,-10.0,56.000000000000014,8.000000000000007,0.4193646527362176,0.4025917769454543,0.04870008997981921,0.04870008997996224,0.04870008997991838,0.011402081098361768
2192,-2.0,56.000000000000014,8.000000000000007,0.33633242438371963,0.35716671253331667,0.05072398916557076,0.05072398916573947,0.0507239891656899,0.09382779633476764
2193,6.000000000000001,56.000000000000014,8.000000000000007,0.28133804687470904,0.30823822733021555,0.058603804067055155,0.058603804067225464,0.0586038040671798,0.11308563638496055
2194,14.000000000000002,56.000000000000014,8.000000000000007,0.3304421630019242,0.3479522027830757,0.03402893901766168,0.034028939017721964,0.03402893901770187,0.018667853651466833
2195,22.0,56.000000000000014,8.000000000000007,0.3962762276765618,0.39937382874334043,0.025681314853541613,0.02568131485355887,0.025681314853548326,-0.06321212920819894
2196,30.000000000000004,56.000000000000014,8.000000000000007,0.45325489183107115,0.44039926211053737,0.056768847206317294,0.056768847206300155,0.05676884720630302,-0.0651080029944743
2197,38.0,56.000000000000014,8.000000000000007,0.46930148922063053,0.4412096322766268,0.07217482268672676,0.07217482268667365,0.07217482268669641,0.01943412047343683
2198,46.000000000000014,56.000000000000014,8.000000000000007,0.44903724673076795,0.41170271087668653,0.01845311319571184,0.018453113195694554,0.018453113195702236,0.030453536695901787
2199,-34.0,64.00000000000003,8.000000000000007,0.2064835450967462,0.19963767994888026,0.18562175086546479,0.1856217508654029,0.18562175086535115,0.039665192728379775
2200,-26.000000000000007,64.00000000000003,8.000000000000007,0.27447264336978366,0.25993085588391984,0.15519394500639014,0.15519394500639758,0.1551939450063278,0.09725237115968968
2201,-18.0,64.00000000000003,8.000000000000007,0.33598426899859135,0.3186108789802872,0.09105738314329882,0.09105738314333942,0.09105738314328843,0.05169479761182655
2202,-10.0,64.00000000000003,8.000000000000007,0.35530236465294274,0.3511222800232502,0.048270210679815725,0.048270210679856734,0.04827021067982144,0.036232726104529434
2203,-2.0,64.00000000000003,8.000000000000007,0.23970287032821458,0.2733955610817806,0.06347231124822,0.06347231124826942,0.06347231124822857,0.1267410811213095
2204,6.000000000000001,64.00000000000003,8.000000000000007,0.23137029254985125,0.2731826532902773,0.07876224599482272,0.07876224599486628,0.07876224599482745,0.10810338182648371
2205,14.000000000000002,64.00000000000003,8.000000000000007,0.28296172464606023,0.31789987253334806,0.06586445420320725,0.06586445420321199,0.0658644542031968,0.038806402625717294
2206,22.0,64.00000000000003,8.000000000000007,0.35011508013500364,0.37255375635189036,0.04732087169751841,0.04732087169750124,0.04732087169750124,-0.02543641249295614
2207,30.000000000000004,64.00000000000003,8.000000000000007,0.4111147128918416,0.4180600243416478,0.04338133904784453,0.04338133904781112,0.043381339047823535,-0.049882159460318536
2208,38.0,64.00000000000003,8.000000000000007,0.412314595368823,0.40667059385255494,0.042722483296713444,0.04272248329667143,0.042722483296695306,-0.0018627594304534414
2209,-18.0,72.00000000000001,8.000000000000007,0.3191961713027239,0.3048721444845738,0.02846942708895642,0.028469427088944926,0.02846942708894013,0.02380489840374024
2210,-10.0,72.00000000000001,8.000000000000007,0.2749350786730282,0.2856028568681171,0.05579403950309487,0.05579403950308821,0.055794039503068216,-0.006028344927443566
2211,-2.0,72.00000000000001,8.000000000000007,0.0876426265096397,0.1441763540841935,0.05952659355939881,0.05952659355938073,0.059526593559364564,0.036178817205611356
2212,6.000000000000001,72.00000000000001,8.000000000000007,0.18501384548033087,0.23624522876990292,0.07193812013951423,0.07193812013948386,0.07193812013947248,0.003940948627704277
2213,14.000000000000002,72.00000000000001,8.000000000000007,0.2253403450391409,0.27187359727823773,0.06899175992934845,0.06899175992930763,0.06899175992931428,0.005421681418269325
2214,22.0,72.00000000000001,8.000000000000007,0.2693108907203735,0.30486205043025005,0.06287316360922685,0.06287316360917837,0.0628731636091936,0.023582852314897776
2215,30.000000000000004,72.00000000000001,8.000000000000007,0.3153868975137675,0.3104390556352909,-0.07276381578910239,-0.0727638157890318,-0.07276381578906416,0.005444389811190471
2216,-18.0,-104.0,16.000000000000007,-0.21496549277099303,-0.17385564781301743,0.04401718199178872,0.04401718199174194,0.044017181991765804,0.08567154799237195
2217,-10.0,-104.0,16.000000000000007,-0.146003334345351,-0.10420803899093894,0.012560021101153299,0.01256002110114272,0.01256002110114753,0.021430433223827157
2218,-2.0,-104.0,16.000000000000007,-0.15781972731700583,-0.12679029566011257,-0.10521750395473213,-0.10521750395462937,-0.10521750395469606,-0.000363586287356034
2219,6.000000000000001,-104.0,16.000000000000007,-0.1756976243234521,-0.16946763130715706,-0.06484722498590254,-0.06484722498584038,-0.06484722498587855,-0.06804213011595248
2220,14.000000000000002,-104.0,16.000000000000007,-0.14650245250901492,-0.16917363078194475,-0.05013760218864668,-0.050137602188595955,-0.05013760218863156,-0.04561327777720167
2221,-34.0,-96.0,16.000000000000007,-0.20427210713846117,-0.12486938000881825,0.09245362429484842,0.09245362429475969,0.09245362429481443,-0.041494499588297894
2222,-26.000000000000007,-96.0,16.000000000000007,-0.2029307042376298,-0.15398131997899606,0.04712852699091877,0.047128526990874886,0.047128526990895876,-0.018645939165712035
2223,-18.0,-96.0,16.000000000000007,-0.24525122092039214,-0.19764848599268087,0.027746864934893502,0.027746864934871468,0.027746864934876256,0.06010063373195998
2224,-10.0,-96.0,16.000000000000007,-0.19480124273448007,-0.14265993886037942,0.0042662366500613585,0.004266236650062321,0.0042662366500613585,-0.015225180201064979
2225,-2.0,-96.0,16.000000000000007,-0.15780913070497343,-0.11736586106396947,-0.0748101934599304,-0.07481019345986956,-0.07481019345989458,-0.0785453064500162
2226,6.000000000000001,-96.0,16.000000000000007,-0.14939030316658966,-0.13270425088555002,-0.021445359904423995,-0.021445359904408004,-0.021445359904412847,-0.011515894286494141
2227,14.000000000000002,-96.0,16.000000000000007,-0.1589953424936415,-0.17059132299208785,-0.04393322858937239,-0.043933228589334884,-0.043933228589346576,0.010549311642028261
2228,22.0,-96.0,16.000000000000007,-0.17843974941110363,-0.2009233605562482,-0.1053774064301194,-0.10537740643002161,-0.10537740643007644,-0.09776690949293387
2229,30.000000000000004,-96.0,16.000000000000007,-0.18317359427363544,-0.19699019004743457,-0.1178319550596125,-0.11783195505949656,-0.11783195505957236,-0.12756093285882236
2230,-42.0,-88.0,16.000000000000007,-0.05075670760550789,0.023845122370689455,0.08095018250426894,0.0809501825041904,0.08095018250423393,-0.059264171659164464
2231,-34.0,-88.0,16.000000000000007,-0.13070545572514736,-0.06851978491978852,0.08488130730757874,0.08488130730750498,0.0848813073075258,0.007520306317345861
2232,-26.000000000000007,-88.0,16.000000000000007,-0.29025361558356394,-0.23107864238279496,0.045671086500420316,0.04567108650038787,0.04567108650038787,-0.0421433673767651
2233,-18.0,-88.0,16.000000000000007,-0.30665792429754507,-0.2573606788488141,-0.0015399698985024872,-0.0015399698985010403,-0.001539969898502005,-0.007370323483542572
2234,-10.0,-88.0,16.000000000000007,-0.23074472286576536,-0.17192279025318155,-0.0007757306958934265,-0.0007757306958968023,-0.0007757306958929444,0.011472149830149736
2235,-2.0,-88.0,16.000000000000007,-0.16126438247848446,-0.10943882021355797,-0.016100870093476626,-0.016100870093484855,-0.016100870093474207,-0.025349829240863094
2236,6.000000000000001,-88.0,16.000000000000007,-0.12901529939319833,-0.10053940400817024,0.0004023801487274431,0.0004023801487293715,0.0004023801487274431,0.0113766573963575
