source_index,original_4mm_grid_index,mni_x_mm,mni_y_mm,mni_z_mm,rest_beta_power,hold_beta_power,hold_vs_rest_db,rest_vs_hold_erd_db
164,11498,14.000000000000002,-56.0,-48.00000000000001,1.2702863956242274e-24,1.4249266997438429e-24,0.49890877239636505,-0.49890877239636505
165,11500,22.0,-56.0,-48.00000000000001,1.2221467090026102e-24,1.3739332679056068e-24,0.5084229686552795,-0.5084229686552795
166,11502,30.000000000000004,-56.0,-48.00000000000001,1.140696126986817e-24,1.2910666839573957e-24,0.5377870729101643,-0.5377870729101643
167,11504,38.0,-56.0,-48.00000000000001,1.0431346761713815e-24,1.1903560433188327e-24,0.5733649857811061,-0.5733649857811061
168,11506,46.000000000000014,-56.0,-48.00000000000001,9.517214605041585e-25,1.0898337869802252e-24,0.5885040536494626,-0.5885040536494626
169,11508,54.000000000000014,-56.0,-48.00000000000001,8.54965685048903e-25,9.892591872446646e-25,0.6336140803710449,-0.6336140803710449
170,11558,-50.000000000000014,-48.0,-48.00000000000001,1.0690744397481149e-24,1.202772550467199e-24,0.5117556189929774,-0.5117556189929774
171,11560,-42.0,-48.0,-48.00000000000001,1.1608008035910775e-24,1.3517568522217417e-24,0.6614087966517801,-0.6614087966517801
172,11562,-34.0,-48.0,-48.00000000000001,1.300013868036426e-24,1.5381098910045536e-24,0.7303937973877499,-0.7303937973877499
173,11564,-26.000000000000007,-48.0,-48.00000000000001,1.4379617369532764e-24,1.6935468760284614e-24,0.7104989211102628,-0.7104989211102628
174,11566,-18.0,-48.0,-48.00000000000001,1.5109130507992012e-24,1.7528816032078064e-24,0.6451311054296305,-0.6451311054296305
175,11568,-10.0,-48.0,-48.00000000000001,1.516886270305608e-24,1.724101364090397e-24,0.5560977501219085,-0.5560977501219085
176,11570,-2.0,-48.0,-48.00000000000001,1.4669223954463583e-24,1.6295940589385045e-24,0.4567229369171069,-0.4567229369171069
177,11572,6.000000000000001,-48.0,-48.00000000000001,1.4027113942124298e-24,1.5256492118672106e-24,0.36486364242095226,-0.36486364242095226
178,11574,14.000000000000002,-48.0,-48.00000000000001,1.340549169151694e-24,1.45261223004661e-24,0.34866948494186234,-0.34866948494186234
179,11576,22.0,-48.0,-48.00000000000001,1.271744223425028e-24,1.3890815149553525e-24,0.3832795839184574,-0.3832795839184574
180,11578,30.000000000000004,-48.0,-48.00000000000001,1.1837579057700084e-24,1.3066742257890815e-24,0.42904432233159323,-0.42904432233159323
181,11580,38.0,-48.0,-48.00000000000001,1.0798593861050892e-24,1.2024593977394415e-24,0.4670321338932307,-0.4670321338932307
182,11582,46.000000000000014,-48.0,-48.00000000000001,9.76362910798936e-25,1.091644726054542e-24,0.4847004748420545,-0.4847004748420545
183,11584,54.000000000000014,-48.0,-48.00000000000001,8.661553819587527e-25,9.679589235121738e-25,0.4826111962748473,-0.4826111962748473
184,11636,-42.0,-40.0,-48.00000000000001,1.1901946472231918e-24,1.3092345721757966e-24,0.41399472203627935,-0.41399472203627935
185,11638,-34.0,-40.0,-48.00000000000001,1.217879057411336e-24,1.3697036869846967e-24,0.5102246237230793,-0.5102246237230793
186,11640,-26.000000000000007,-40.0,-48.00000000000001,1.3291219484586904e-24,1.5246330659767366e-24,0.5960050465307493,-0.5960050465307493
187,11642,-18.0,-40.0,-48.00000000000001,1.417522315205171e-24,1.6058402543837375e-24,0.5417243593149486,-0.5417243593149486
188,11644,-10.0,-40.0,-48.00000000000001,1.4565216193802193e-24,1.6189588112670534e-24,0.45918864479824006,-0.45918864479824006
189,11646,-2.0,-40.0,-48.00000000000001,1.4440243645402383e-24,1.5715696840934808e-24,0.3675912158851987,-0.3675912158851987
190,11648,6.000000000000001,-40.0,-48.00000000000001,1.3881714707367366e-24,1.4845910866510934e-24,0.2916373408565496,-0.2916373408565496
191,11650,14.000000000000002,-40.0,-48.00000000000001,1.3232582097047294e-24,1.409528239920566e-24,0.27429184287754393,-0.27429184287754393
192,11652,22.0,-40.0,-48.00000000000001,1.2638673962480327e-24,1.3546946855740162e-24,0.3013991650687908,-0.3013991650687908
193,11654,30.000000000000004,-40.0,-48.00000000000001,1.1901501855375938e-24,1.2867138861902484e-24,0.3388021923267961,-0.3388021923267961
194,11656,38.0,-40.0,-48.00000000000001,1.0974605459282716e-24,1.19246937323677e-24,0.36058317498035886,-0.36058317498035886
195,11658,46.000000000000014,-40.0,-48.00000000000001,9.619804187880295e-25,1.0649974681904968e-24,0.44182343313102246,-0.44182343313102246
196,11716,-26.000000000000007,-31.999999999999993,-48.00000000000001,1.1807479954478487e-24,1.3189104034870909e-24,0.48058077010674427,-0.48058077010674427
197,11718,-18.0,-31.999999999999993,-48.00000000000001,1.3590241962317406e-24,1.4869788890312638e-24,0.3907761375770849,-0.3907761375770849
198,11720,-10.0,-31.999999999999993,-48.00000000000001,1.404566934265036e-24,1.5216889244153108e-24,0.34783439404629724,-0.34783439404629724
199,11722,-2.0,-31.999999999999993,-48.00000000000001,1.4145987748529429e-24,1.518481892144939e-24,0.30776339719825907,-0.30776339719825907
200,11724,6.000000000000001,-31.999999999999993,-48.00000000000001,1.3644505377346091e-24,1.4483656521985962e-24,0.25920420211212575,-0.25920420211212575
201,11726,14.000000000000002,-31.999999999999993,-48.00000000000001,1.2921854435564701e-24,1.3607952869464582e-24,0.22467952034668448,-0.22467952034668448
202,11728,22.0,-31.999999999999993,-48.00000000000001,1.2361476602151708e-24,1.3062216607814906e-24,0.23946530130137586,-0.23946530130137586
