source_index,original_4mm_grid_index,mni_x_mm,mni_y_mm,mni_z_mm,rest_beta_power,hold_beta_power,hold_vs_rest_db,rest_vs_hold_erd_db
18,4198,-2.0,-56.0,-64.0,1.1977467551327155e-24,1.3969650396648071e-24,0.668205346652839,-0.668205346652839
19,4200,6.000000000000001,-56.0,-64.0,1.139925599441435e-24,1.3066268794200823e-24,0.5927508131343827,-0.5927508131343827
20,4202,14.000000000000002,-56.0,-64.0,1.0774569188209478e-24,1.2278538776071729e-24,0.5674677179226958,-0.5674677179226958
21,4204,22.0,-56.0,-64.0,9.792079678965647e-25,1.1214266015399314e-24,0.5889591514738005,-0.5889591514738005
22,4206,30.000000000000004,-56.0,-64.0,9.130869986671824e-25,1.0510007552151604e-24,0.6109086913891012,-0.6109086913891012
23,4208,38.0,-56.0,-64.0,7.68631031528681e-25,9.345384944583061e-25,0.8487928103224176,-0.8487928103224176
24,4266,-34.0,-48.0,-64.0,1.1046737761074706e-24,1.303127323973378e-24,0.7175280676954611,-0.7175280676954611
25,4268,-26.000000000000007,-48.0,-64.0,1.0138123102238653e-24,1.1887673752176568e-24,0.6913931736716122,-0.6913931736716122
26,4270,-18.0,-48.0,-64.0,1.2853558207042457e-24,1.5161455338877677e-24,0.7171752237659679,-0.7171752237659679
27,4272,-10.0,-48.0,-64.0,1.316968949181664e-24,1.5221972756251647e-24,0.6289540481113519,-0.6289540481113519
28,4274,-2.0,-48.0,-64.0,1.2802165593375533e-24,1.4509783668614627e-24,0.5437749703345585,-0.5437749703345585
29,4276,6.000000000000001,-48.0,-64.0,1.2097678696144718e-24,1.3586924613750635e-24,0.5041911991227321,-0.5041911991227321
30,4278,14.000000000000002,-48.0,-64.0,1.1245819527971146e-24,1.265310975847964e-24,0.512061656063389,-0.512061656063389
31,4280,22.0,-48.0,-64.0,1.0422860914456034e-24,1.1801576677353148e-24,0.539530899766695,-0.539530899766695
32,4282,30.000000000000004,-48.0,-64.0,9.1414684454971e-25,1.0458960551359359e-24,0.5847256044478177,-0.5847256044478177
33,4284,38.0,-48.0,-64.0,8.362123884550683e-25,1.0034295664855e-24,0.7917029623614015,-0.7917029623614015
34,4346,-18.0,-40.0,-64.0,1.1933294041472062e-24,1.3737660795024698e-24,0.6115244678462993,-0.6115244678462993
35,4348,-10.0,-40.0,-64.0,1.3316989890846406e-24,1.486942047197616e-24,0.47887972382607213,-0.47887972382607213
36,4350,-2.0,-40.0,-64.0,1.3092264713985645e-24,1.4430245006070675e-24,0.4225892711565089,-0.4225892711565089
37,4352,6.000000000000001,-40.0,-64.0,1.2474901081667331e-24,1.3692263793015403e-24,0.4043814697647843,-0.4043814697647843
38,4354,14.000000000000002,-40.0,-64.0,1.1740631468008192e-24,1.2861923172497747e-24,0.3961445510441115,-0.3961445510441115
39,4356,22.0,-40.0,-64.0,8.513880556983228e-25,1.0388447504748535e-24,0.8642309645474744,-0.8642309645474744
40,4424,-10.0,-31.999999999999993,-64.0,1.0276326821923439e-24,1.197622882234967e-24,0.664821773622897,-0.664821773622897
41,4426,-2.0,-31.999999999999993,-64.0,1.30898871352423e-24,1.4112756948705652e-24,0.3267596017962314,-0.3267596017962314
42,4428,6.000000000000001,-31.999999999999993,-64.0,1.1764718929217167e-24,1.2473600453298062e-24,0.2541027297316295,-0.2541027297316295
43,7610,-34.0,-80.0,-56.0,1.119354735501347e-24,1.304406190016115e-24,0.6644511015556005,-0.6644511015556005
44,7612,-26.000000000000007,-80.0,-56.0,1.131075884048284e-24,1.3443646528117174e-24,0.7502534232063596,-0.7502534232063596
45,7614,-18.0,-80.0,-56.0,1.0717201529800265e-24,1.3155341766823008e-24,0.89020737836852,-0.89020737836852
