scenario,method,active_count,surface_active_count,deep_active_count,auc,rmse,sd_mm,dle_mm
surface_only,SISSES_MEG_only,34,34,0,0.911659624935142,0.569086123151727,17.893237840054887,4.5907390672515085
surface_only,SISSES_EEG_only,90,75,15,0.9978726558446371,0.8387825280233497,13.700053403391562,15.656309642870257
deep_plus_surface,SISSES_EEG_MEG_direct,54,50,4,0.9986726223083731,0.7211558314841797,6.463246364535178,10.329332082234876
deep_plus_surface,SISSES_adaptive_threshold_0.105,52,48,4,0.9986866686331521,0.719516892783368,6.446018962516046,10.329332082234876
deep_plus_surface,SISSES_evidence_compact,57,53,4,0.9986515528212043,0.7232113056597002,6.491475497389142,10.329332082234876
deep_plus_surface,SISSES_component_refit_v2,60,56,4,0.9989254561543972,0.5508700742648305,8.695478763326609,3.258264066372838
deep_plus_surface,SISSES_component_refit_v3_localize,60,55,5,0.9989043866672285,0.5652131054544953,7.641455853194857,3.258264066372838
deep_plus_surface,SISSES_component_refit_v4_deep_rescue,60,55,5,0.9989043866672285,0.5652131054544953,7.641455853194857,3.258264066372838
deep_plus_surface,SISSES_component_refit_v5_compact_deep_prior,60,55,5,0.9989043866672285,0.5641623726404451,7.628831723001982,3.258264066372838
deep_plus_surface,SISSES_component_refit_v6_sisses_refit_weak,60,55,5,0.9987639234194373,0.5921927918984402,8.26244863275163,3.258264066372838
deep_plus_surface,SISSES_component_refit_v6_sisses_refit_mid,60,55,5,0.9987639234194373,0.5918488955002839,8.263526163670496,3.258264066372838
deep_plus_surface,SISSES_component_refit_v6_sisses_refit_strong,60,55,5,0.9987639234194373,0.5907850391824393,8.267816112897343,3.258264066372838
deep_plus_surface,SISSES_component_refit_v7_tbf_refit,55,50,5,0.9988622476928911,0.48064397794336566,6.497517889666608,4.8903548169178706
deep_plus_surface,SISSES_component_refit_v8_protected_sisses_no_protect,26,21,5,0.9999086988889357,0.18439323077256115,1.3001460840963972,3.086507716287932
deep_plus_surface,SISSES_component_refit_v8_protected_sisses_p050,27,22,5,0.9999016757265462,0.18479907998679224,1.337997497026351,3.086507716287932
deep_plus_surface,SISSES_component_refit_v8_protected_sisses_p025,27,22,5,0.9999016757265462,0.18400592205875294,1.3439655531486274,3.086507716287932
deep_plus_surface,SISSES_component_refit_v8_protected_sisses_p010,25,20,5,0.999887629401767,0.1873372538674838,1.4334528993324054,3.086507716287932
deep_plus_surface,SISSES_weighted_multilayer,43,39,4,0.9581911142949447,0.7329349346430295,6.1816840847895635,10.329332082234876
deep_plus_surface,SISSES_protected_multilayer,44,40,4,0.9580646973719327,0.7418823550238217,6.404208654579295,10.329332082234876
deep_plus_surface,SISSES_MEG_only,26,26,0,0.881772084334134,1.0988442389823858,20.561645650811123,32.71867646042758
deep_plus_surface,SISSES_EEG_only,95,80,15,0.997057294958774,1.007749720126537,11.156327571336202,16.48840914014651
deep_plus_two_surface,SISSES_EEG_MEG_direct,131,125,6,0.9861925717303291,0.8204556971035717,7.777993474547496,11.400621278885003
deep_plus_two_surface,SISSES_adaptive_threshold_0.115,111,106,5,0.9863263509945432,0.8109828896644479,7.579813777383842,11.400621278885003
deep_plus_two_surface,SISSES_evidence_compact,128,124,4,0.9863580355571202,0.8155835208060328,6.901445414978207,11.400621278885003
deep_plus_two_surface,SISSES_component_refit_v2,145,143,2,0.9960711142404506,0.7302779186689078,10.276715854632583,6.686575934976977
deep_plus_two_surface,SISSES_component_refit_v3_localize,139,137,2,0.9962471395881007,0.7260835337664775,10.182329689430954,6.686575934976977
deep_plus_two_surface,SISSES_component_refit_v4_deep_rescue,140,137,3,0.9961239218447456,0.7749535613799983,11.109743254849409,12.46007873441929
deep_plus_two_surface,SISSES_component_refit_v5_compact_deep_prior,140,137,3,0.9961239218447456,0.7736092015575179,11.087717779582494,12.46007873441929
deep_plus_two_surface,SISSES_component_refit_v6_sisses_refit_weak,140,137,3,0.9955500792114065,0.8219416776999322,12.262373933443795,12.46007873441929
deep_plus_two_surface,SISSES_component_refit_v6_sisses_refit_mid,140,137,3,0.9955641612392184,0.8213338829824711,12.259895303578213,12.46007873441929
deep_plus_two_surface,SISSES_component_refit_v6_sisses_refit_strong,140,137,3,0.9955993663087485,0.819321820102431,12.254162644227984,12.46007873441929
deep_plus_two_surface,SISSES_component_refit_v7_tbf_refit,131,128,3,0.9965393416651998,0.7157564309063813,11.017940005765404,6.686575934976977
deep_plus_two_surface,SISSES_component_refit_v8_protected_sisses_no_protect,53,50,3,0.9991550783312797,0.3892031933830146,2.130951292720373,5.698144090884097
deep_plus_two_surface,SISSES_component_refit_v8_protected_sisses_p050,52,49,3,0.9991374757965147,0.38035081083481753,2.2769160092381635,4.926234533619922
deep_plus_two_surface,SISSES_component_refit_v8_protected_sisses_p025,53,50,3,0.9991093117408907,0.3778288811828058,2.4584416595177663,4.926234533619922
deep_plus_two_surface,SISSES_component_refit_v8_protected_sisses_p010,54,51,3,0.9991198732617497,0.379037560657872,2.4652587387625204,4.926234533619922
deep_plus_two_surface,SISSES_weighted_multilayer,100,96,4,0.9640098574194684,0.8875862633817957,9.114914891650002,11.400621278885003
deep_plus_two_surface,SISSES_protected_multilayer,97,93,4,0.9644428797746876,0.8002460750066992,6.6447981953460955,11.400621278885003
deep_plus_two_surface,SISSES_MEG_only,39,24,15,0.47464178841753213,1.429868537810884,14.655724439006553,12.157038825602285
deep_plus_two_surface,SISSES_EEG_only,200,185,15,0.9920225312444992,1.1580565332789796,24.805342600657976,50.87525677079319
