method,eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
LCMV,0,15,deep_plus_surface,case_weighted_within_scenario,68,1,0.8279319830514819,0.6931221812775121,1.930638971121775,55.98476517344285,51.400380704948645,10.789871558434188,1.8360707996518997,0.9358461290260758,1.2730668024006917,702.3970588235294,55.98476517344285,51.400380704948645,10.789871558434188,1.8360707996518997,0.9411764705882353,nan,nan
LCMV,0,15,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8028240709253015,0.679668449644274,1.930539587993248,40.469734786710035,42.32859899054381,12.511936595670326,3.854807063948872,0.8614075504625331,2.90108924654369,732.9411764705883,40.469734786710035,42.32859899054381,12.511936595670326,3.854807063948872,0.9411764705882353,nan,nan
LCMV,0,15,surface_only,case_weighted_within_scenario,68,1,0.5791446818289692,0.6768420047006953,1.9869691806464862,56.01938462041593,47.17424999687235,nan,nan,0.2728962511614731,nan,710.0,56.01938462041593,47.17424999687235,nan,nan,nan,0.16176470588235295,nan
LCMV,0,20,deep_only,case_weighted_within_scenario,15,1,1.0,1.0,1.0885101481516608,nan,nan,0.0,0.0,1.0,0.0,499.6666666666667,nan,nan,0.0,0.0,1.0,nan,nan
LCMV,0,20,deep_plus_surface,case_weighted_within_scenario,68,1,0.8367714134177282,0.6966572899108993,1.8953869755235018,55.63837207516485,55.49245681688139,6.748952900386054,1.0041804690966576,0.9390767564718219,1.0041804690966576,527.4117647058823,55.63837207516485,55.49245681688139,6.748952900386054,1.0041804690966576,0.9705882352941176,nan,nan
LCMV,0,20,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8074451465385328,0.6796113121779546,1.9030518502989338,40.38928606002886,40.624591233104724,9.240578403881868,2.0083609114960086,0.8751666854829555,1.2982980975062939,539.8235294117648,40.38928606002886,40.624591233104724,9.240578403881868,2.0083609114960086,0.9705882352941176,nan,nan
LCMV,0,20,surface_only,case_weighted_within_scenario,68,1,0.5752038065784427,0.6737289248201195,1.9879563814666965,55.546173136671854,48.45458212965919,nan,nan,0.26901632410957255,nan,537.9117647058823,55.546173136671854,48.45458212965919,nan,nan,nan,0.0,nan
LCMV,5,-10,deep_only,case_weighted_within_scenario,15,1,1.0,1.0,1.8483462279822034,nan,nan,10.299357076925434,0.0,0.9333333333333333,0.0,1588.4,nan,nan,10.299357076925434,0.0,0.9333333333333333,nan,nan
LCMV,5,-10,deep_plus_surface,case_weighted_within_scenario,68,1,0.8381223334047521,0.6884015924944584,1.9604813463850002,61.12316185232493,52.031386510632,19.956346078994084,10.480903545018206,0.20588235294117646,0.0,1492.3235294117646,61.12316185232493,52.031386510632,19.956346078994084,10.480903545018206,0.20588235294117646,nan,nan
LCMV,5,-10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8111914493176159,0.6716432615298741,1.9534273776180466,42.42940714740874,44.79431883929481,20.740044496974857,12.809554533607312,0.18316075008581997,3.448876532423015,1614.3823529411766,42.42940714740874,44.79431883929481,20.740044496974857,12.809554533607312,0.17647058823529413,nan,nan
LCMV,5,-10,surface_only,case_weighted_within_scenario,68,1,0.5986098966572233,0.6717724118338313,1.9715434054876813,59.99947546228925,52.66253098926735,nan,nan,0.0,nan,1532.5882352941176,59.99947546228925,52.66253098926735,nan,nan,nan,1.0,nan
LCMV,5,-5,deep_only,case_weighted_within_scenario,15,1,1.0,1.0,1.823497166193507,nan,nan,8.2956014602757,0.0,1.0,0.0,1681.9333333333334,nan,nan,8.2956014602757,0.0,1.0,nan,nan
LCMV,5,-5,deep_plus_surface,case_weighted_within_scenario,68,1,0.8386840084205861,0.685762200960569,1.959744669849135,60.55648978976418,52.812384036367305,19.597668242654485,10.353205382608863,0.25,0.5882353263852056,1579.514705882353,60.55648978976418,52.812384036367305,19.597668242654485,10.353205382608863,0.25,nan,nan
LCMV,5,-5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8135723209802962,0.6763007744679893,1.9514973148425383,41.555043390980266,42.70883515867985,20.379019373462285,11.456913776761349,0.3225690482617268,0.0,1633.4411764705883,41.555043390980266,42.70883515867985,20.379019373462285,11.456913776761349,0.35294117647058826,nan,nan
LCMV,5,-5,surface_only,case_weighted_within_scenario,68,1,0.5990061781551711,0.6697575267109427,1.9733507877326852,59.67306265289634,52.195152628582576,nan,nan,0.0,nan,1576.2058823529412,59.67306265289634,52.195152628582576,nan,nan,nan,1.0,nan
LCMV,5,0,deep_only,case_weighted_within_scenario,15,1,1.0,1.0,1.784563749320714,nan,nan,5.666719009243677,0.0,1.0,0.0,1726.6,nan,nan,5.666719009243677,0.0,1.0,nan,nan
LCMV,5,0,deep_plus_surface,case_weighted_within_scenario,68,1,0.8395127893943698,0.688855381404307,1.9577725525359084,59.75622246730978,49.83928007268583,18.73981704901474,7.804568796283043,0.5,0.5882353263852054,1596.4705882352941,59.75622246730978,49.83928007268583,18.73981704901474,7.804568796283043,0.5,nan,nan
LCMV,5,0,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8124150341121094,0.6766105883207931,1.9501960910046865,40.96123953436851,38.52917662173949,19.77907677877376,11.387481995430164,0.35972152143148295,0.0,1536.1764705882354,40.96123953436851,38.52917662173949,19.77907677877376,11.387481995430164,0.4117647058823529,nan,nan
LCMV,5,0,surface_only,case_weighted_within_scenario,68,1,0.5939619882464078,0.6665505919764181,1.97669660538813,58.62693335540869,49.24042479301265,nan,nan,0.0,nan,1538.2058823529412,58.62693335540869,49.24042479301265,nan,nan,nan,1.0,nan
