method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
Dipole fitting (grid),20,15,case_weighted,185,4,0.6027842110114812,0.5667918876032862,1.4491082546661014,4.0563788525116555,8.258071606822686,1.1253006652834223,1.1253006652834223,0.19123325671567623,1.1253006652834223,1.8594594594594596,4.0563788525116555,8.258071606822686,120.56315255810085,120.56315255810085,0.47863247863247865,1.0,0.7393162393162394
Dipole fitting (grid),20,20,case_weighted,185,4,0.6055148243351716,0.5673550249455723,1.4446856799807573,4.438281169158422,9.154099324795938,0.8470925113324039,0.8470925113324039,0.19398852437396377,0.8470925113324039,1.854054054054054,4.438281169158422,9.154099324795938,120.42761525232983,120.42761525232983,0.4700854700854701,1.0,0.7350427350427351
LCMV,-10,-10,case_weighted,185,4,0.7030029071816716,0.6741176644456078,1.9654123810982191,57.33854964308536,58.34059442328197,20.53346137602891,14.190027233482732,0.05405405405405406,0.0,1832.881081081081,57.33854964308536,58.34059442328197,20.53346137602891,14.190027233482732,0.08547008547008547,1.0,0.5427350427350427
LCMV,-10,-5,case_weighted,185,4,0.7037354437764477,0.6870068138503049,1.963937291709292,55.70439203915491,55.990283320153125,19.750924849206427,12.208578779217534,0.10270270270270271,0.0,1446.2864864864864,55.70439203915491,55.990283320153125,19.750924849206427,12.208578779217534,0.1623931623931624,1.0,0.5811965811965812
LCMV,-10,0,case_weighted,185,4,0.7095197414237444,0.6967927994493429,1.962397120634107,54.16603277421596,53.90208254200276,18.43089942636449,10.691185892105995,0.17130810798709764,0.0,1029.9513513513514,54.16603277421596,53.90208254200276,18.43089942636449,10.691185892105995,0.2905982905982906,1.0,0.6452991452991453
LCMV,-10,5,case_weighted,185,4,0.7185464812365089,0.7049269897904836,1.9574201258772894,53.19231831450456,50.58416173164785,16.341552999617907,7.90114286739885,0.35309412214029545,0.6997720482690472,738.4810810810811,53.19231831450456,50.58416173164785,16.341552999617907,7.90114286739885,0.5726495726495726,1.0,0.7863247863247863
LCMV,-10,10,case_weighted,185,4,0.7312137564763006,0.7076861316223924,1.9430712678739936,52.800994201713266,48.382783070169,13.557570682827775,4.503872453080149,0.5674415885502778,1.7130109657608938,567.3945945945947,52.800994201713266,48.382783070169,13.557570682827775,4.503872453080149,0.8974358974358975,0.75,0.8237179487179487
LCMV,-10,15,case_weighted,185,4,0.740493713205334,0.7096760960707751,1.9149165209093586,52.58008750607268,49.30724702830968,10.012323423454117,2.470894251351857,0.6220148143583787,1.0817824047962992,478.20540540540543,52.58008750607268,49.30724702830968,10.012323423454117,2.470894251351857,0.9658119658119658,0.1323529411764706,0.5490824534942182
LCMV,-10,20,case_weighted,185,4,0.7475249509838808,0.7101654638298849,1.8693753621616884,52.50044903676047,49.77204415169465,6.578153974996631,1.1171852810124876,0.6502498499082813,0.7399020736286996,424.0648648648649,52.50044903676047,49.77204415169465,6.578153974996631,1.1171852810124876,0.9658119658119658,0.029411764705882353,0.4976118652589241
LCMV,-5,-10,case_weighted,185,4,0.7330375077616368,0.6892262525975502,1.9618947675759513,58.077053841262256,56.60073936336823,20.51168043291736,13.509463484351219,0.05405405405405406,1.4142136031724077,1963.8,58.077053841262256,56.60073936336823,20.51168043291736,13.509463484351219,0.07692307692307693,1.0,0.5384615384615384
LCMV,-5,-5,case_weighted,185,4,0.7255122674665678,0.6910058208604934,1.9612593539527694,56.71023095936924,53.80009604502627,19.726508521046043,12.235841407881168,0.10810810810810811,0.0,1745.345945945946,56.71023095936924,53.80009604502627,19.726508521046043,12.235841407881168,0.17094017094017094,1.0,0.5854700854700855
LCMV,-5,0,case_weighted,185,4,0.7246595573198349,0.6991283223641606,1.959206454491509,55.00258373146,51.92316853498789,18.328155622899153,10.24391208213786,0.17603812292933232,0.0,1388.6162162162161,55.00258373146,51.92316853498789,18.328155622899153,10.24391208213786,0.2905982905982906,1.0,0.6452991452991453
LCMV,-5,5,case_weighted,185,4,0.7263522896508522,0.703729856507511,1.954432441477062,53.73051934204588,52.3420757118421,16.26299139438657,7.938463752461893,0.3934717161925175,0.8107325630082226,990.1027027027027,53.73051934204588,52.3420757118421,16.26299139438657,7.938463752461893,0.6324786324786325,1.0,0.8162393162393162
LCMV,-5,10,case_weighted,185,4,0.7345120662842711,0.7076504432723549,1.9409937297958697,53.05526955194556,49.09893808014633,13.491978750203728,4.362822741688351,0.5817018302105892,1.251209145196605,724.027027027027,53.05526955194556,49.09893808014633,13.491978750203728,4.362822741688351,0.9401709401709402,0.8088235294117647,0.8744972347913524
LCMV,-5,15,case_weighted,185,4,0.7434845318823758,0.7108000658699778,1.9131886939293745,52.704748692253055,47.15180199429142,10.047116522162774,2.1519155372976355,0.638044270758863,1.4974835522020364,558.1351351351351,52.704748692253055,47.15180199429142,10.047116522162774,2.1519155372976355,0.9487179487179487,0.22058823529411764,0.5846530920060331
